Simulation Results from reaction file: /Users/blink/Documents/Teaching/ Coursework_2025-2026/Chem_3530_2026/Kinetiscope/MM1.rxn
The simulation was run on Saturday, 7 February 2026 15:16:09 AST
This table was created on Saturday, 7 February 2026 15:16:24 AST
--------------------------------------

           Data           Time              E             ES              P              S              
          Point            sec     mole/liter     mole/liter     mole/liter     mole/liter              
              
              1              0    1.00001e-06              0              0            0.1              
              2     0.12220969    1.00001e-06              0   0.0001100011    0.099889999              
              3     0.24596224    1.00001e-06              0  0.00023400234    0.099765998              
              4     0.36828356    1.00001e-06              0  0.00033200332    0.099667997              
              5       0.492516    1.00001e-06              0  0.00044100441    0.099558996              
              6     0.61464807    1.00001e-06              0  0.00055100551    0.099448994              
              7     0.73730342    1.00001e-06              0  0.00066700667    0.099332993              
              8     0.85979265    1.00001e-06              0  0.00075400754    0.099245992              
              9     0.98078052    1.00001e-06              0  0.00086600866    0.099133991              
             10       1.104639    1.00001e-06              0  0.00096900969     0.09903099              
             11      1.2270722    1.00001e-06              0   0.0010790108    0.098920989              
             12      1.3506417    1.00001e-06              0   0.0011790118    0.098820988              
             13         1.4715    1.00001e-06              0   0.0013100131    0.098689987              
             14      1.5943379    1.00001e-06              0   0.0014270143    0.098572986              
             15       1.717913    1.00001e-06              0   0.0015380154    0.098461985              
             16      1.8413822    1.00001e-06              0   0.0016310163    0.098368984              
             17      1.9653277    1.00001e-06              0   0.0017420174    0.098257983              
             18      2.0878336    1.00001e-06              0   0.0018650186    0.098134981              
             19      2.2101054    1.00001e-06              0   0.0019740197     0.09802598              
             20      2.3330547    1.00001e-06              0    0.002096021    0.097903979              
             21      2.4574727    1.00001e-06              0   0.0022200222    0.097779978              
             22      2.5811979    1.00001e-06              0   0.0023380234    0.097661977              
             23      2.7023805    1.00001e-06              0   0.0024570246    0.097542975              
             24      2.8250619    1.00001e-06              0   0.0025690257    0.097430974              
             25      2.9483055    1.00001e-06              0    0.002696027    0.097303973              
             26      3.0728251    1.00001e-06              0   0.0028190282    0.097180972              
             27      3.1944182    1.00001e-06              0   0.0029300293    0.097069971              
             28      3.3185604    1.00001e-06              0   0.0030240302     0.09697597              
             29      3.4433552    1.00001e-06              0   0.0031290313    0.096870969              
             30      3.5672215    1.00001e-06              0   0.0032390324    0.096760968              
             31      3.6895907    1.00001e-06              0   0.0033490335    0.096650967              
             32      3.8111358    1.00001e-06              0   0.0034880349    0.096511965              
             33      3.9337071    1.00001e-06              0   0.0035880359    0.096411964              
             34      4.0580597    1.00001e-06              0    0.003696037    0.096303963              
             35      4.1812307    1.00001e-06              0    0.003796038    0.096203962              
             36      4.3046613    1.00001e-06              0   0.0039200392    0.096079961              
             37      4.4278777    1.00001e-06              0   0.0040210402     0.09597896              
             38      4.5521076    1.00001e-06              0   0.0041400414    0.095859959              
             39      4.6767375    1.00001e-06              0   0.0042530425    0.095746957              
             40      4.8001886    1.00001e-06              0   0.0043660437    0.095633956              
             41      4.9224814    1.00001e-06              0   0.0044690447    0.095530955              
             42      5.0457336    1.00001e-06              0   0.0045730457    0.095426954              
             43      5.1669575    1.00001e-06              0    0.004697047    0.095302953              
             44      5.2918532    1.00001e-06              0   0.0048140481    0.095185952              
             45      5.4161809    1.00001e-06              0   0.0049410494    0.095058951              
             46      5.5378699    1.00001e-06              0   0.0050610506    0.094938949              
             47      5.6624619    1.00001e-06              0   0.0051830518    0.094816948              
             48      5.7864885    1.00001e-06              0   0.0052890529    0.094710947              
             49      5.9112777    1.00001e-06              0   0.0053920539    0.094607946              
             50      6.0329834    1.00001e-06              0   0.0055200552    0.094479945              
             51      6.1556956    1.00001e-06              0   0.0056260563    0.094373944              
             52      6.2796758    1.00001e-06              0   0.0057380574    0.094261943              
             53      6.4014052    1.00001e-06              0   0.0058540585    0.094145941              
             54       6.526065    1.00001e-06              0   0.0059670597     0.09403294              
             55      6.6516896    1.00001e-06              0   0.0060650606    0.093934939              
             56      6.7741916    1.00001e-06              0   0.0061750618    0.093824938              
             57      6.8958445    1.00001e-06              0   0.0062860629    0.093713937              
             58      7.0185028    1.00001e-06              0    0.006403064    0.093596936              
             59      7.1415197    1.00001e-06              0   0.0065250652    0.093474935              
             60      7.2657065    1.00001e-06              0   0.0066420664    0.093357934              
             61      7.3893986    1.00001e-06              0   0.0067610676    0.093238932              
             62       7.513095    1.00001e-06              0   0.0068700687    0.093129931              
             63      7.6353713    1.00001e-06              0   0.0069680697     0.09303193              
             64      7.7570426    1.00001e-06              0   0.0070940709    0.092905929              
             65       7.880354    1.00001e-06              0   0.0072140721    0.092785928              
             66      8.0049282    1.00001e-06              0   0.0073280733    0.092671927              
             67      8.1292431    1.00001e-06              0   0.0074480745    0.092551926              
             68      8.2526926    1.00001e-06              0   0.0075710757    0.092428924              
             69      8.3770911    1.00001e-06              0   0.0076780768    0.092321923              
             70      8.4994128    1.00001e-06              0   0.0077850779    0.092214922              
             71       8.623577    1.00001e-06              0   0.0079060791    0.092093921              
             72      8.7478154    1.00001e-06              0   0.0080130801     0.09198692              
             73      8.8725503    1.00001e-06              0   0.0081180812    0.091881919              
