Simulation Results from reaction file: /Users/blink/Documents/Teaching/ Coursework_2025-2026/Chem_3530_2026/Kinetiscope/MM1.rxn
The simulation was run on Saturday, 7 February 2026 13:10:43 AST
This table was created on Saturday, 7 February 2026 13:21:15 AST
--------------------------------------

           Data           Time              E             ES              P              S              
          Point            sec     mole/liter     mole/liter     mole/liter     mole/liter              
              
              1              0    1.00001e-06              0              0            0.1              
              2     0.11036734   1.400014e-07   8.600086e-07  0.00010170102    0.099897439              
              3     0.22074117    8.00008e-08   9.200092e-07  0.00020309203    0.099795988              
              4     0.33122667   1.600016e-07   8.400084e-07  0.00030537305    0.099693787              
              5     0.44146166    1.00001e-07    9.00009e-07  0.00040486405    0.099594236              
              6     0.55181073   1.200012e-07   8.800088e-07  0.00050482505    0.099494295              
              7     0.66238129    8.00008e-08   9.200092e-07  0.00060457605    0.099394504              
              8     0.77299562    8.00008e-08   9.200092e-07  0.00070363704    0.099295443              
              9     0.88328543    4.00004e-08   9.600096e-07  0.00080323803    0.099195802              
             10     0.99366085    1.00001e-07    9.00009e-07  0.00090445904    0.099094641              
             11       1.104165    1.00001e-07    9.00009e-07     0.00100466     0.09899444              
             12      1.2144143    1.00001e-07    9.00009e-07    0.001104581    0.098894519              
             13      1.3248988    1.00001e-07    9.00009e-07    0.001203572    0.098795528              
             14      1.4354072    1.00001e-07    9.00009e-07    0.001302853    0.098696247              
             15      1.5459365   1.200012e-07   8.800088e-07    0.001403254    0.098595866              
             16      1.6565388    6.00006e-08   9.400094e-07    0.001503125    0.098495935              
             17      1.7672791    6.00006e-08   9.400094e-07    0.001602576    0.098396484              
             18      1.8777318    8.00008e-08   9.200092e-07    0.001702127    0.098296953              
             19      1.9882684    8.00008e-08   9.200092e-07    0.001802768    0.098196312              
             20      2.0988939    1.00001e-07    9.00009e-07    0.001903079    0.098096021              
             21      2.2093593    1.00001e-07    9.00009e-07      0.0020035      0.0979956              
             22      2.3198908    1.00001e-07    9.00009e-07    0.002104101    0.097894999              
             23      2.4303539   1.400014e-07   8.600086e-07    0.002204112    0.097795028              
             24      2.5410258    8.00008e-08   9.200092e-07    0.002302663    0.097696417              
             25      2.6517001   1.200012e-07   8.800088e-07    0.002402334    0.097596786              
             26         2.7625   1.400014e-07   8.600086e-07    0.002502235    0.097496905              
             27      2.8731551   1.400014e-07   8.600086e-07    0.002603446    0.097395694              
             28      2.9839199    6.00006e-08   9.400094e-07    0.002702307    0.097296753              
             29      3.0946449    6.00006e-08   9.400094e-07    0.002800768    0.097198292              
             30      3.2053085    1.00001e-07    9.00009e-07    0.002901409    0.097097691              
             31      3.3159359   1.200012e-07   8.800088e-07     0.00300083     0.09699829              
             32      3.4266247    8.00008e-08   9.200092e-07    0.003100721    0.096898359              
             33      3.5372348    6.00006e-08   9.400094e-07    0.003201522    0.096797538              
             34      3.6478503   1.600016e-07   8.400084e-07    0.003301033    0.096698127              
             35      3.7586589   1.800018e-07   8.200082e-07    0.003399944    0.096599236              
             36      3.8693633    8.00008e-08   9.200092e-07    0.003500095    0.096498985              
             37       3.980172    1.00001e-07    9.00009e-07    0.003601296    0.096397804              
             38       4.091096    6.00006e-08   9.400094e-07    0.003702997    0.096296063              
             39      4.2018585   1.400014e-07   8.600086e-07    0.003803728    0.096195412              
             40      4.3127206    1.00001e-07    9.00009e-07    0.003903349    0.096095751              
             41      4.4235025    8.00008e-08   9.200092e-07     0.00400379     0.09599529              
             42      4.5343088   1.200012e-07   8.800088e-07    0.004102451    0.095896669              
             43      4.6451745    1.00001e-07    9.00009e-07    0.004203122    0.095795978              
             44      4.7561535   1.200012e-07   8.800088e-07    0.004302343    0.095696777              
             45      4.8668594    8.00008e-08   9.200092e-07    0.004400564    0.095598516              
             46      4.9777012    6.00006e-08   9.400094e-07    0.004500355    0.095498705              
             47      5.0884511   1.200012e-07   8.800088e-07    0.004599126    0.095399994              
             48      5.1992326   1.200012e-07   8.800088e-07    0.004699547    0.095299573              
             49      5.3099674    6.00006e-08   9.400094e-07    0.004798828    0.095200232              
             50      5.4207912   1.200012e-07   8.800088e-07    0.004900199    0.095098921              
             51      5.5317526    1.00001e-07    9.00009e-07     0.00500193     0.09499717              
             52       5.642462   1.200012e-07   8.800088e-07    0.005102651    0.094896469              
             53      5.7534356   1.200012e-07   8.800088e-07    0.005202492    0.094796628              
             54      5.8644515    1.00001e-07    9.00009e-07    0.005300933    0.094698167              
             55      5.9754372   1.200012e-07   8.800088e-07    0.005402314    0.094596806              
             56      6.0862631   1.200012e-07   8.800088e-07    0.005504045    0.094495075              
             57        6.19734   1.400014e-07   8.600086e-07    0.005602216    0.094396924              
             58      6.3082101   1.800018e-07   8.200082e-07    0.005702297    0.094296883              
             59      6.4191762   1.200012e-07   8.800088e-07    0.005801488    0.094197632              
             60      6.5302119   1.200012e-07   8.800088e-07    0.005901979    0.094097141              
             61      6.6411767    1.00001e-07    9.00009e-07      0.0060015      0.0939976              
             62      6.7520036   1.200012e-07   8.800088e-07    0.006101041    0.093898079              
             63      6.8629573   1.200012e-07   8.800088e-07    0.006202302    0.093796818              
