Simulation Results from reaction file: /Users/blink/Documents/Teaching/ Coursework_2025-2026/Chem_3530_2026/Kinetiscope/MM1.rxn
The simulation was run on Saturday, 7 February 2026 15:22:14 AST
This table was created on Saturday, 7 February 2026 15:22:32 AST
--------------------------------------

           Data           Time              E             ES              P              S              
          Point            sec     mole/liter     mole/liter     mole/liter     mole/liter              
              
              1              0    1.00001e-06              0              0            0.1              
              2     0.12266392    1.00001e-06              0   9.500095e-05    0.099904999              
              3     0.24629308    1.00001e-06              0  0.00020100201    0.099798998              
              4     0.36908687    1.00001e-06              0  0.00032500325    0.099674997              
              5     0.49109186    1.00001e-06              0  0.00044700447    0.099552996              
              6      0.6130978    1.00001e-06              0  0.00057100571    0.099428994              
              7     0.73587025    1.00001e-06              0  0.00068300683    0.099316993              
              8     0.85776143    1.00001e-06              0  0.00078900789    0.099210992              
              9     0.98014427    1.00001e-06              0  0.00089200892    0.099107991              
             10      1.1031393    1.00001e-06              0  0.00098700987     0.09901299              
             11      1.2255416    1.00001e-06              0   0.0010760108    0.098923989              
             12       1.349229    1.00001e-06              0   0.0011940119    0.098805988              
             13      1.4714389    1.00001e-06              0   0.0013120131    0.098687987              
             14      1.5944294    1.00001e-06              0    0.001402014    0.098597986              
             15      1.7165743    1.00001e-06              0    0.001503015    0.098496985              
             16      1.8382048    1.00001e-06              0   0.0016140161    0.098385984              
             17      1.9630498    1.00001e-06              0   0.0017170172    0.098282983              
             18      2.0846136    1.00001e-06              0   0.0018120181    0.098187982              
             19       2.209125    1.00001e-06              0   0.0019090191    0.098090981              
             20      2.3316478    1.00001e-06              0   0.0020140201     0.09798598              
             21      2.4553983    1.00001e-06              0   0.0021190212    0.097880979              
             22       2.576361    1.00001e-06              0   0.0022310223    0.097768978              
             23      2.7011238    1.00001e-06              0   0.0023350234    0.097664977              
             24      2.8250021    1.00001e-06              0   0.0024510245    0.097548975              
             25       2.948637    1.00001e-06              0   0.0025570256    0.097442974              
             26      3.0740884    1.00001e-06              0   0.0026820268    0.097317973              
             27      3.1975761    1.00001e-06              0   0.0027870279    0.097212972              
             28      3.3207874    1.00001e-06              0    0.002895029    0.097104971              
             29      3.4436308    1.00001e-06              0     0.00299803     0.09700197              
             30      3.5667832    1.00001e-06              0   0.0030940309    0.096905969              
             31      3.6890148    1.00001e-06              0   0.0032210322    0.096778968              
             32      3.8104577    1.00001e-06              0   0.0033370334    0.096662967              
             33      3.9323766    1.00001e-06              0   0.0034420344    0.096557966              
             34      4.0562534    1.00001e-06              0   0.0035720357    0.096427964              
             35      4.1795428    1.00001e-06              0    0.003696037    0.096303963              
             36       4.302703    1.00001e-06              0   0.0038200382    0.096179962              
             37      4.4250176    1.00001e-06              0   0.0039240392    0.096075961              
             38      4.5483171    1.00001e-06              0   0.0040400404     0.09595996              
             39      4.6707408    1.00001e-06              0   0.0041490415    0.095850958              
             40      4.7930723    1.00001e-06              0   0.0042620426    0.095737957              
             41      4.9159853    1.00001e-06              0   0.0043750437    0.095624956              
             42      5.0405776    1.00001e-06              0   0.0044860449    0.095513955              
             43      5.1635799    1.00001e-06              0   0.0046050461    0.095394954              
             44      5.2868836    1.00001e-06              0   0.0047330473    0.095266953              
             45      5.4069497    1.00001e-06              0   0.0048440484    0.095155952              
             46       5.530529    1.00001e-06              0   0.0049570496     0.09504295              
             47      5.6513188    1.00001e-06              0   0.0050650506    0.094934949              
             48      5.7742089    1.00001e-06              0   0.0051840518    0.094815948              
             49      5.8984704    1.00001e-06              0   0.0052930529    0.094706947              
             50      6.0227708    1.00001e-06              0   0.0054150542    0.094584946              
             51      6.1471303    1.00001e-06              0   0.0055280553    0.094471945              
             52      6.2709045    1.00001e-06              0   0.0056550565    0.094344943              
             53      6.3949542    1.00001e-06              0   0.0057700577    0.094229942              
             54      6.5166729    1.00001e-06              0   0.0058880589    0.094111941              
             55      6.6407614    1.00001e-06              0   0.0060120601     0.09398794              
             56      6.7635975    1.00001e-06              0   0.0061370614    0.093862939              
             57      6.8875816    1.00001e-06              0   0.0062550626    0.093744937              
             58      7.0123944    1.00001e-06              0   0.0063720637    0.093627936              
             59      7.1359718    1.00001e-06              0   0.0064740647    0.093525935              
             60      7.2604528    1.00001e-06              0    0.006598066    0.093401934              
             61      7.3827341    1.00001e-06              0   0.0067140671    0.093285933              
             62      7.5061304    1.00001e-06              0   0.0068240682    0.093175932              
             63      7.6283462    1.00001e-06              0   0.0069360694    0.093063931              
             64      7.7532904    1.00001e-06              0   0.0070400704     0.09295993              
             65       7.878777    1.00001e-06              0   0.0071610716    0.092838928              
             66      8.0035103    1.00001e-06              0   0.0072690727    0.092730927              
             67       8.128557    1.00001e-06              0   0.0073770738    0.092622926              
             68      8.2519657    1.00001e-06              0    0.007499075    0.092500925              
             69      8.3736915    1.00001e-06              0   0.0076160762    0.092383924              
             70      8.4984303    1.00001e-06              0   0.0077270773    0.092272923              
             71      8.6215305    1.00001e-06              0   0.0078320783    0.092167922              
             72       8.744114    1.00001e-06              0   0.0079440794    0.092055921              
             73      8.8671437    1.00001e-06              0   0.0080720807    0.091927919              
             74      8.9910681    1.00001e-06              0   0.0081820818    0.091817918              
