### Data from table 4 of 
###
### The protonation of weak bases. A study of the protonation of some nitroaniline indicators and the determination of the H0 values of aqueous sulphuric acid
### P. Tickle, A. G. Briggs and J. M. Wilson
### J. Chem. Soc. B, 1970, 65-70
### https://doi.org/10.1039/J29700000065
### 
### Temp = 25.0 deg C
### Concentrations in %wt H2SO4 
###
"%H2SO4",  "H0"
4,        0.22
6,        0
8,       -0.18
10,      -0.33
12,      -0.46
14,      -0.59
16,      -0.73
18,      -0.86
20,      -0.99
22,      -1.13
24,      -1.24
26,      -1.35
28,      -1.49
30,      -1.63
32,      -1.79
34,      -1.94
36,      -2.09
38,      -2.24
40,      -2.39
42,      -2.54
44,      -2.69
46,      -2.84
48,      -3.00
50,      -3.21
52,      -3.44
54,      -3.65
56,      -3.87
58,      -4.10 
60,      -4.35 
62,      -4.60 
64,      -4.85 
66,      -5.10 
68,      -5.39 
70,      -5.68 
72,      -5.96 
74,      -6.24 
76,      -6.54 
78,      -6.85 
80,      -7.17 
82,      -7.48 
84,      -7.79 
86,      -8.11 
88,      -8.44 
90,      -8.77 
92,      -9.11 
94,      -9.43 
95,      -9.60 
96,      -9.83
97,      -10.02 
98,      -10.22
