,time,abs
0,       0.5,   0.01917
1,    0.6667,   0.02706
2,    0.8333,   0.03108
3,         1,   0.03689
4,     1.167,   0.04544
5,     1.333,   0.05023
6,       1.5,   0.05619
7,     1.667,     0.062
8,     1.833,   0.06987
9,         2,    0.0764
10,     2.167,   0.08165
11,     2.333,   0.08845
12,       2.5,   0.09249
13,     2.667,     0.101
14,     2.833,    0.1054
15,         3,    0.1126
16,     3.167,    0.1198
17,     3.333,    0.1252
18,       3.5,    0.1313
19,     3.667,    0.1376
20,     3.833,    0.1451
21,         4,    0.1488
22,     4.167,    0.1571
23,     4.333,     0.162
24,       4.5,    0.1694
25,     4.667,    0.1752
26,     4.833,    0.1822
27,         5,    0.1864
28,     5.167,    0.1937
29,     5.333,    0.1998
30,       5.5,    0.2061
31,     5.667,    0.2124
32,     5.833,    0.2177
33,         6,    0.2243
34,     6.167,    0.2306
35,     6.333,    0.2376
36,       6.5,    0.2404
37,     6.667,    0.2493
38,     6.833,     0.256
39,         7,    0.2601
40,     7.167,    0.2657
41,     7.333,    0.2747
42,       7.5,    0.2806
43,     7.667,    0.2866
44,     7.833,    0.2906
45,         8,    0.2959
46,     8.167,    0.3029
47,     8.333,    0.3118
48,       8.5,    0.3168
49,     8.667,    0.3229
50,     8.833,    0.3276
51,         9,    0.3334
52,     9.167,    0.3428
53,     9.333,    0.3459
54,       9.5,    0.3499
55,     9.667,     0.358
56,     9.833,    0.3614
57,        10,    0.3698
58,     10.17,    0.3766
59,     10.33,    0.3786
60,      10.5,    0.3894
61,     10.67,    0.3927
62,     10.83,    0.3984
63,        11,    0.4057
64,     11.17,    0.4106
65,     11.33,    0.4181
66,      11.5,     0.422
67,     11.67,    0.4273
68,     11.83,    0.4368
69,        12,    0.4395
70,     12.17,    0.4472
71,     12.33,    0.4499
72,      12.5,    0.4589
73,     12.67,    0.4661
74,     12.83,    0.4682
75,        13,    0.4772
76,     13.17,    0.4798
77,     13.33,    0.4863
78,      13.5,    0.4923
79,     13.67,    0.5009
80,     13.83,    0.5038
81,        14,     0.512
82,     14.17,    0.5176
83,     14.33,    0.5207
84,      14.5,    0.5272
85,     14.67,     0.536
86,     14.83,    0.5389
87,        15,    0.5438
88,     15.17,      0.55
89,     15.33,    0.5598
90,      15.5,    0.5643
91,     15.67,    0.5669
92,     15.83,    0.5723
93,        16,    0.5784
94,     16.17,    0.5856
95,     16.33,    0.5926
96,      16.5,    0.5986
97,     16.67,    0.5993
98,     16.83,     0.611
99,        17,    0.6157
100,     17.17,    0.6194
101,     17.33,    0.6253
102,      17.5,    0.6286
103,     17.67,    0.6354
104,     17.83,     0.641
105,        18,    0.6469
106,     18.17,    0.6537
107,     18.33,    0.6596
108,      18.5,    0.6597
109,     18.67,    0.6708
110,     18.83,    0.6768
111,        19,    0.6801
112,     19.17,    0.6833
113,     19.33,    0.6943
114,      19.5,    0.7006
115,     19.67,    0.7023
116,     19.83,    0.7084
117,        20,     0.717
118,     20.17,      0.72
119,     20.33,    0.7257
120,      20.5,    0.7292
121,     20.67,    0.7324
122,     20.83,    0.7367
123,        21,    0.7496
124,     21.17,    0.7476
125,     21.33,    0.7535
126,      21.5,    0.7614
127,     21.67,    0.7677
128,     21.83,    0.7698
129,        22,    0.7761
130,     22.17,    0.7824
131,     22.33,    0.7886
132,      22.5,    0.7923
133,     22.67,    0.7949
134,     22.83,    0.8037
135,        23,    0.8091
136,     23.17,    0.8156
137,     23.33,    0.8167
138,      23.5,    0.8244
139,     23.67,    0.8279
140,     23.83,     0.834
141,        24,    0.8415
142,     24.17,    0.8468
143,     24.33,    0.8512
144,      24.5,    0.8551
145,     24.67,    0.8565
146,     24.83,    0.8674
147,        25,    0.8724
148,     25.17,    0.8822
