,time,abs
0,       0.5,    0.0035
1,    0.6667,   0.00117
2,    0.8333,  0.002802
3,         1,  0.003006
4,     1.167,  0.005109
5,     1.333,  0.003834
6,       1.5,  0.005076
7,     1.667,  0.006464
8,     1.833,   0.00352
9,         2,  0.005477
10,     2.167,  0.005147
11,     2.333,  0.005924
12,       2.5,  0.007214
13,     2.667,  0.006301
14,     2.833,  0.008786
15,         3,  0.008959
16,     3.167,   0.01044
17,     3.333,  0.009351
18,       3.5,  0.009207
19,     3.667,   0.01073
20,     3.833,   0.01163
21,         4,   0.01115
22,     4.167,   0.01128
23,     4.333,   0.01332
24,       4.5,    0.0119
25,     4.667,    0.0138
26,     4.833,   0.01495
27,         5,   0.01526
28,     5.167,   0.01622
29,     5.333,   0.01723
30,       5.5,   0.01675
31,     5.667,   0.01665
32,     5.833,   0.01661
33,         6,   0.01697
34,     6.167,   0.01714
35,     6.333,   0.01908
36,       6.5,   0.02011
37,     6.667,   0.01843
38,     6.833,   0.01885
39,         7,   0.02035
40,     7.167,   0.02058
41,     7.333,   0.01992
42,       7.5,   0.02071
43,     7.667,   0.02355
44,     7.833,   0.02432
45,         8,   0.02454
46,     8.167,   0.02419
47,     8.333,   0.02489
48,       8.5,   0.02265
49,     8.667,   0.02405
50,     8.833,   0.02616
51,         9,   0.02484
52,     9.167,   0.02713
53,     9.333,   0.02707
54,       9.5,   0.02815
55,     9.667,    0.0277
56,     9.833,   0.02828
57,        10,   0.02754
58,     10.17,   0.02945
59,     10.33,   0.03035
60,      10.5,   0.02901
61,     10.67,   0.03099
62,     10.83,   0.03303
63,        11,     0.031
64,     11.17,   0.03122
65,     11.33,   0.03356
66,      11.5,    0.0335
67,     11.67,   0.03618
68,     11.83,   0.03398
69,        12,   0.03428
70,     12.17,   0.03708
71,     12.33,   0.03477
72,      12.5,   0.03452
73,     12.67,   0.03751
74,     12.83,    0.0376
75,        13,   0.03884
76,     13.17,   0.03793
77,     13.33,   0.03965
78,      13.5,    0.0431
79,     13.67,   0.04134
80,     13.83,   0.03857
81,        14,    0.0416
82,     14.17,   0.03942
83,     14.33,   0.04142
84,      14.5,   0.04236
85,     14.67,   0.04163
86,     14.83,    0.0425
87,        15,   0.04413
88,     15.17,   0.04262
89,     15.33,   0.04276
90,      15.5,     0.046
91,     15.67,   0.04481
92,     15.83,   0.04583
93,        16,   0.04782
94,     16.17,   0.04554
95,     16.33,   0.04739
96,      16.5,   0.04899
97,     16.67,   0.04789
98,     16.83,    0.0477
99,        17,   0.05204
100,     17.17,   0.04824
101,     17.33,   0.05046
102,      17.5,   0.04999
103,     17.67,   0.05139
104,     17.83,   0.05071
105,        18,   0.05218
106,     18.17,   0.05216
107,     18.33,    0.0531
108,      18.5,   0.05477
109,     18.67,   0.05353
110,     18.83,   0.05436
111,        19,   0.05227
112,     19.17,   0.05683
113,     19.33,   0.05682
114,      19.5,   0.05563
115,     19.67,   0.05792
116,     19.83,   0.05586
117,        20,   0.05771
118,     20.17,   0.05725
119,     20.33,   0.06025
120,      20.5,   0.05899
121,     20.67,    0.0581
122,     20.83,   0.05913
123,        21,   0.05862
124,     21.17,   0.06133
125,     21.33,   0.05969
126,      21.5,   0.06089
127,     21.67,   0.06249
128,     21.83,   0.06203
129,        22,   0.06445
130,     22.17,   0.06713
131,     22.33,   0.06497
132,      22.5,   0.06337
133,     22.67,   0.06426
134,     22.83,   0.06475
135,        23,   0.06368
136,     23.17,    0.0672
137,     23.33,   0.06583
138,      23.5,    0.0654
139,     23.67,   0.07051
140,     23.83,   0.06612
141,        24,   0.06777
142,     24.17,   0.06956
143,     24.33,   0.06875
144,      24.5,   0.07115
