,time,abs
0,       0.5,  0.002303
1,    0.6667,  0.001362
2,    0.8333,   0.00485
3,         1,  0.002176
4,     1.167,  0.004376
5,     1.333,  0.005202
6,       1.5,  0.004735
7,     1.667,  0.005638
8,     1.833,  0.007654
9,         2,  0.007865
10,     2.167,   0.00689
11,     2.333,  0.007663
12,       2.5,  0.008435
13,     2.667,  0.007235
14,     2.833,  0.006808
15,         3,    0.0102
16,     3.167,  0.008453
17,     3.333,   0.01189
18,       3.5,  0.009331
19,     3.667,   0.01143
20,     3.833,   0.01177
21,         4,   0.01272
22,     4.167,   0.01193
23,     4.333,   0.01474
24,       4.5,   0.01493
25,     4.667,   0.01248
26,     4.833,   0.01533
27,         5,    0.0152
28,     5.167,   0.01711
29,     5.333,   0.01486
30,       5.5,   0.01648
31,     5.667,   0.01769
32,     5.833,   0.01559
33,         6,   0.01885
34,     6.167,   0.01824
35,     6.333,   0.01817
36,       6.5,   0.01858
37,     6.667,   0.02028
38,     6.833,   0.02233
39,         7,   0.01935
40,     7.167,   0.02139
41,     7.333,   0.02142
42,       7.5,   0.02282
43,     7.667,   0.01988
44,     7.833,   0.02283
45,         8,    0.0232
46,     8.167,   0.02291
47,     8.333,   0.02282
48,       8.5,   0.02483
49,     8.667,   0.02556
50,     8.833,   0.02385
51,         9,   0.02616
52,     9.167,   0.02646
53,     9.333,     0.026
54,       9.5,   0.02669
55,     9.667,   0.02611
56,     9.833,   0.02703
57,        10,   0.02651
58,     10.17,   0.02893
59,     10.33,   0.02735
60,      10.5,   0.03018
61,     10.67,   0.02878
62,     10.83,   0.03024
63,        11,   0.03109
64,     11.17,   0.03112
65,     11.33,   0.03091
66,      11.5,   0.03031
67,     11.67,   0.03213
68,     11.83,   0.03223
69,        12,   0.03391
70,     12.17,   0.03215
71,     12.33,   0.03285
72,      12.5,    0.0334
73,     12.67,   0.03225
74,     12.83,   0.03415
75,        13,   0.03446
76,     13.17,   0.03381
77,     13.33,   0.03403
78,      13.5,   0.03215
79,     13.67,   0.03629
80,     13.83,   0.03613
81,        14,   0.03646
82,     14.17,   0.03549
83,     14.33,   0.03699
84,      14.5,   0.03731
85,     14.67,   0.03625
86,     14.83,   0.03715
87,        15,   0.04074
88,     15.17,   0.03636
89,     15.33,   0.04086
90,      15.5,   0.04016
91,     15.67,   0.03854
92,     15.83,   0.03938
93,        16,    0.0396
94,     16.17,   0.04152
95,     16.33,   0.03966
96,      16.5,    0.0383
97,     16.67,   0.04084
98,     16.83,   0.04153
99,        17,   0.04185
100,     17.17,   0.04027
101,     17.33,    0.0411
102,      17.5,   0.04464
103,     17.67,    0.0429
104,     17.83,   0.04246
105,        18,   0.04283
106,     18.17,   0.04362
107,     18.33,   0.04274
108,      18.5,   0.04577
109,     18.67,   0.04482
110,     18.83,   0.04559
111,        19,   0.04658
112,     19.17,   0.04527
113,     19.33,   0.04531
114,      19.5,   0.04594
115,     19.67,   0.04684
116,     19.83,   0.04707
117,        20,   0.04806
118,     20.17,   0.04771
119,     20.33,   0.04782
120,      20.5,   0.04848
121,     20.67,   0.04797
122,     20.83,   0.04859
123,        21,   0.04833
124,     21.17,   0.04702
125,     21.33,   0.04699
126,      21.5,   0.04766
127,     21.67,   0.05032
128,     21.83,   0.04974
129,        22,   0.04879
130,     22.17,   0.05073
131,     22.33,    0.0507
132,      22.5,   0.04712
133,     22.67,   0.04916
134,     22.83,    0.0498
135,        23,   0.05133
136,     23.17,   0.05152
137,     23.33,   0.05289
138,      23.5,   0.05029
139,     23.67,   0.05412
140,     23.83,    0.0517
141,        24,   0.05116
142,     24.17,    0.0519
143,     24.33,    0.0522
144,      24.5,   0.05143
145,     24.67,   0.05045
146,     24.83,   0.05515
147,        25,   0.05237
148,     25.17,   0.05271
149,     25.33,   0.05399
150,      25.5,   0.05386
151,     25.67,   0.05356
152,     25.83,   0.05498
153,        26,   0.05463
154,     26.17,   0.05574
155,     26.33,   0.05459
156,      26.5,   0.05491
157,     26.67,   0.05313
158,     26.83,   0.05627
159,        27,   0.05537
160,     27.17,   0.05548
161,     27.33,   0.05732
162,      27.5,   0.05629
163,     27.67,   0.05761
164,     27.83,   0.05737
165,        28,   0.05559
166,     28.17,   0.05793
167,     28.33,   0.05766
168,      28.5,   0.05798
169,     28.67,   0.05506
170,     28.83,   0.05723
171,        29,   0.05921
172,     29.17,   0.05765
173,     29.33,   0.05795
174,      29.5,   0.05911
175,     29.67,   0.05833
176,     29.83,   0.06014
177,        30,    0.0577
178,     30.17,   0.06058
179,     30.33,    0.0599
180,      30.5,   0.06064
181,     30.67,    0.0586
182,     30.83,    0.0592
183,        31,   0.05959
184,     31.17,   0.06136
185,     31.33,   0.06022
186,      31.5,   0.06129
187,     31.67,   0.06093
188,     31.83,    0.0622
189,        32,   0.06244
190,     32.17,   0.06183
191,     32.33,   0.06245
192,      32.5,   0.06252
193,     32.67,   0.06066
194,     32.83,   0.06251
195,        33,    0.0628
196,     33.17,   0.06406
197,     33.33,   0.06412
198,      33.5,   0.06259
199,     33.67,   0.06547
200,     33.83,   0.06485
201,        34,   0.06343
202,     34.17,   0.06388
203,     34.33,   0.06296
204,      34.5,   0.06279
205,     34.67,   0.06436
206,     34.83,   0.06224
207,        35,   0.06229
208,     35.17,   0.06292
209,     35.33,   0.06253
210,      35.5,   0.06367
211,     35.67,   0.06238
212,     35.83,    0.0648
213,        36,   0.06494
214,     36.17,   0.06325
215,     36.33,   0.06541
216,      36.5,   0.06347
217,     36.67,   0.06366
218,     36.83,   0.06445
219,        37,   0.06344
220,     37.17,   0.06675
221,     37.33,   0.06369
222,      37.5,   0.06656
223,     37.67,   0.06417
224,     37.83,   0.06493
225,        38,   0.06585
226,     38.17,   0.06598
227,     38.33,   0.06563
228,      38.5,   0.06689
229,     38.67,   0.06432
230,     38.83,   0.06655
231,        39,    0.0662
232,     39.17,   0.06707
233,     39.33,   0.06754
234,      39.5,   0.06741
235,     39.67,   0.06859
236,     39.83,   0.06611
237,        40,   0.06938
238,     40.17,   0.06726
239,     40.33,   0.06678
240,      40.5,   0.06862
241,     40.67,   0.06521
242,     40.83,   0.06918
243,        41,   0.06799
244,     41.17,   0.06803
245,     41.33,    0.0686
246,      41.5,   0.06904
247,     41.67,    0.0704
248,     41.83,   0.06877
249,        42,   0.07038
250,     42.17,   0.06847
251,     42.33,   0.06931
252,      42.5,   0.06942
253,     42.67,   0.06847
254,     42.83,   0.06885
255,        43,   0.06834
256,     43.17,   0.06875
257,     43.33,    0.0692
258,      43.5,   0.06782
259,     43.67,   0.06968
260,     43.83,    0.0689
261,        44,    0.0701
262,     44.17,    0.0681
263,     44.33,   0.06939
264,      44.5,   0.07067
265,     44.67,   0.07116
266,     44.83,   0.06851
267,        45,   0.07091
268,     45.17,   0.07234
269,     45.33,   0.07128
270,      45.5,   0.07183
271,     45.67,   0.07123
272,     45.83,   0.06867
273,        46,   0.07266
274,     46.17,   0.07305
275,     46.33,    0.0729
276,      46.5,   0.07166
277,     46.67,   0.07299
278,     46.83,   0.07017
279,        47,   0.07233
280,     47.17,   0.07404
281,     47.33,   0.07126
282,      47.5,   0.07205
283,     47.67,   0.07178
284,     47.83,   0.07204
285,        48,   0.07306
286,     48.17,   0.07161
287,     48.33,   0.07258
288,      48.5,   0.07252
289,     48.67,   0.07134
290,     48.83,   0.07253
291,        49,   0.07135
292,     49.17,   0.07294
293,     49.33,   0.07019
294,      49.5,   0.07357
295,     49.67,   0.07456
296,     49.83,   0.07089
297,        50,   0.07206
298,     50.17,   0.07139
299,     50.33,   0.07329
300,      50.5,   0.07578
301,     50.67,   0.07067
