,time,abs
0,       0.5,  0.003881
1,    0.6667,  0.006932
2,    0.8333,   0.01151
3,         1,   0.01245
4,     1.167,   0.01631
5,     1.333,   0.01811
6,       1.5,    0.0199
7,     1.667,   0.02075
8,     1.833,   0.02362
9,         2,   0.02659
10,     2.167,    0.0279
11,     2.333,   0.02898
12,       2.5,    0.0296
13,     2.667,   0.03428
14,     2.833,   0.03624
15,         3,   0.03703
16,     3.167,   0.03956
17,     3.333,   0.04145
18,       3.5,   0.04306
19,     3.667,   0.04637
20,     3.833,   0.05004
21,         4,   0.04986
22,     4.167,   0.05286
23,     4.333,    0.0548
24,       4.5,   0.05874
25,     4.667,   0.05725
26,     4.833,   0.06147
27,         5,   0.06214
28,     5.167,   0.06436
29,     5.333,   0.06384
30,       5.5,   0.06662
31,     5.667,   0.06952
32,     5.833,   0.07306
33,         6,   0.07524
34,     6.167,   0.07818
35,     6.333,    0.0788
36,       6.5,   0.08001
37,     6.667,   0.08023
38,     6.833,   0.08335
39,         7,   0.08599
40,     7.167,   0.08734
41,     7.333,   0.08866
42,       7.5,    0.0915
43,     7.667,   0.09238
44,     7.833,   0.09581
45,         8,   0.09605
46,     8.167,   0.09697
47,     8.333,    0.1003
48,       8.5,    0.1035
49,     8.667,    0.1062
50,     8.833,    0.1079
51,         9,    0.1108
52,     9.167,    0.1125
53,     9.333,    0.1144
54,       9.5,     0.114
55,     9.667,    0.1167
56,     9.833,    0.1206
57,        10,    0.1214
58,     10.17,    0.1213
59,     10.33,    0.1237
60,      10.5,    0.1271
61,     10.67,    0.1269
62,     10.83,     0.131
63,        11,    0.1313
64,     11.17,    0.1353
65,     11.33,    0.1359
66,      11.5,    0.1379
67,     11.67,    0.1385
68,     11.83,    0.1422
69,        12,    0.1427
70,     12.17,    0.1459
71,     12.33,    0.1472
72,      12.5,    0.1491
73,     12.67,    0.1508
74,     12.83,    0.1512
75,        13,    0.1527
76,     13.17,    0.1546
77,     13.33,    0.1574
78,      13.5,    0.1576
79,     13.67,    0.1596
80,     13.83,    0.1615
81,        14,     0.164
82,     14.17,    0.1665
83,     14.33,    0.1673
84,      14.5,    0.1681
85,     14.67,     0.171
86,     14.83,    0.1742
87,        15,    0.1755
88,     15.17,    0.1747
89,     15.33,    0.1774
90,      15.5,    0.1797
91,     15.67,    0.1807
92,     15.83,    0.1854
93,        16,    0.1839
94,     16.17,    0.1865
95,     16.33,    0.1872
96,      16.5,    0.1891
97,     16.67,    0.1906
98,     16.83,    0.1934
99,        17,    0.1932
100,     17.17,    0.1944
101,     17.33,    0.1985
102,      17.5,    0.1978
103,     17.67,    0.1994
104,     17.83,    0.2022
105,        18,     0.204
106,     18.17,    0.2058
107,     18.33,    0.2082
108,      18.5,    0.2118
109,     18.67,    0.2133
110,     18.83,    0.2123
111,        19,    0.2146
112,     19.17,    0.2152
113,     19.33,    0.2148
114,      19.5,    0.2183
115,     19.67,      0.22
116,     19.83,    0.2233
117,        20,    0.2216
118,     20.17,     0.227
119,     20.33,    0.2255
120,      20.5,    0.2278
121,     20.67,    0.2285
122,     20.83,    0.2308
123,        21,     0.232
124,     21.17,    0.2328
125,     21.33,    0.2378
126,      21.5,    0.2366
127,     21.67,    0.2398
128,     21.83,    0.2418
129,        22,     0.245
130,     22.17,    0.2427
131,     22.33,    0.2427
132,      22.5,     0.245
133,     22.67,    0.2473
134,     22.83,    0.2507
135,        23,    0.2492
136,     23.17,    0.2526
137,     23.33,    0.2556
138,      23.5,    0.2534
139,     23.67,    0.2565
140,     23.83,    0.2579
141,        24,    0.2598
142,     24.17,    0.2611
143,     24.33,    0.2613
144,      24.5,    0.2616
