,time,abs
0,       0.5, -0.001398
1,    0.6667,  0.001941
2,    0.8333, 0.0003645
3,         1, 0.0001939
4,     1.167, 0.0003379
5,     1.333,-0.0007487
6,       1.5, -0.001499
7,     1.667,  0.001403
8,     1.833, 0.0006636
9,         2,  0.002907
10,     2.167,-0.0007865
11,     2.333,-0.0003924
12,       2.5,  0.001342
13,     2.667, 0.0007301
14,     2.833, 0.0003108
15,         3,  0.001912
16,     3.167,  0.002514
17,     3.333, 0.0006689
18,       3.5,  0.001775
19,     3.667,  0.001336
20,     3.833,  0.001477
21,         4,  0.001177
22,     4.167, 0.0008249
23,     4.333,  0.001471
24,       4.5,  0.002824
25,     4.667, -0.001725
26,     4.833,  0.001103
27,         5,  0.001512
28,     5.167,  0.003217
29,     5.333,  0.002635
30,       5.5,  1.14e-05
31,     5.667, 0.0007155
32,     5.833,  0.003438
33,         6,-0.0002703
34,     6.167,  0.003075
35,     6.333,  0.001283
36,       6.5,  0.003955
37,     6.667,  0.004042
38,     6.833,  0.002637
39,         7,  0.001445
40,     7.167,  0.001445
41,     7.333,  0.002258
42,       7.5,  0.002492
43,     7.667,  0.001944
44,     7.833,  0.003124
45,         8, 0.0007316
46,     8.167, 9.713e-05
47,     8.333,    0.0035
48,       8.5, 0.0004621
49,     8.667,  0.001351
50,     8.833,  0.001643
51,         9,  0.002812
52,     9.167,  0.002525
53,     9.333, 0.0004581
54,       9.5,  0.002894
55,     9.667,  0.004259
56,     9.833,   0.00142
57,        10,  0.001825
58,     10.17,  0.002472
59,     10.33,  0.003342
60,      10.5,  0.003203
61,     10.67,  0.002449
62,     10.83,  0.006084
63,        11,  0.002814
64,     11.17,  0.001885
65,     11.33,  0.003521
66,      11.5,  0.004417
67,     11.67,  0.004906
68,     11.83,  0.002349
69,        12,  0.001056
70,     12.17,   0.00277
71,     12.33,  0.002088
72,      12.5,  0.001037
73,     12.67,  0.003296
74,     12.83,  0.004079
75,        13,  0.004048
76,     13.17,  0.004821
77,     13.33,  0.003339
78,      13.5,   0.00302
79,     13.67,  0.001243
80,     13.83,  0.001961
81,        14,  0.002626
82,     14.17,  0.005195
83,     14.33,  0.002923
84,      14.5,  0.003129
85,     14.67,  0.003468
86,     14.83,  0.003958
87,        15,  0.004885
88,     15.17,  0.005027
89,     15.33,  0.004436
90,      15.5,  0.004062
91,     15.67,   0.00216
92,     15.83,  0.003961
93,        16,  0.003792
94,     16.17,   0.00662
95,     16.33,  0.005147
96,      16.5,  0.002456
97,     16.67,  0.003563
98,     16.83,  0.005134
99,        17,  0.006241
100,     17.17,   0.00455
101,     17.33,  0.004941
102,      17.5,  0.006463
103,     17.67,  0.003634
104,     17.83,  0.004887
105,        18,  0.006832
106,     18.17,  0.003816
107,     18.33,  0.005869
108,      18.5,  0.003555
109,     18.67,  0.004396
110,     18.83,  0.006546
111,        19,  0.007929
112,     19.17,  0.005612
113,     19.33,  0.004988
114,      19.5,  0.006839
115,     19.67,  0.006015
116,     19.83,  0.007972
117,        20,  0.004597
118,     20.17,  0.003997
119,     20.33,  0.003485
120,      20.5,  0.004938
121,     20.67,  0.003453
122,     20.83,  0.004732
123,        21,  0.007529
124,     21.17,  0.006339
125,     21.33,  0.006908
126,      21.5,   0.00788
127,     21.67,  0.007268
128,     21.83,  0.005978
129,        22,  0.005796
130,     22.17,  0.006088
131,     22.33,  0.005514
132,      22.5,  0.006294
133,     22.67,  0.006729
134,     22.83,  0.005427
135,        23,  0.006473
136,     23.17,  0.007544
137,     23.33,  0.006465
138,      23.5,  0.004513
139,     23.67,  0.007473
140,     23.83,   0.00577
141,        24,  0.006847
142,     24.17,  0.004564
143,     24.33,  0.007609
144,      24.5,   0.01015
145,     24.67,  0.004838
146,     24.83,  0.007499
147,        25,  0.006923
148,     25.17,  0.004911
149,     25.33,  0.005917
150,      25.5,  0.005401
151,     25.67,  0.007761
152,     25.83,  0.006425
153,        26,  0.007599
154,     26.17,  0.006226
155,     26.33,  0.008104
156,      26.5,   0.00553
157,     26.67,  0.006338
158,     26.83,  0.006097
159,        27,  0.007559
160,     27.17,  0.008959
161,     27.33,  0.007782
162,      27.5,  0.007152
163,     27.67,  0.007634
164,     27.83,  0.006497
165,        28,  0.006143
166,     28.17,  0.006818
167,     28.33,  0.007611
168,      28.5,  0.007887
169,     28.67,  0.006786
170,     28.83,  0.006706
171,        29,  0.008966
172,     29.17,  0.009337
173,     29.33,  0.006915
174,      29.5,  0.008141
175,     29.67,  0.009422
176,     29.83,  0.007937
177,        30,  0.007922
178,     30.17,  0.007316
179,     30.33,  0.008008
180,      30.5,  0.007473
181,     30.67,  0.007237
182,     30.83,  0.007777
183,        31,  0.007133
184,     31.17,  0.006077
185,     31.33,  0.009284
186,      31.5,  0.008715
187,     31.67,  0.008646
188,     31.83,  0.008136
189,        32,    0.0092
190,     32.17,  0.007313
191,     32.33,  0.008284
192,      32.5,  0.009929
193,     32.67,  0.009809
194,     32.83,   0.01119
195,        33,  0.008732
196,     33.17,  0.007886
197,     33.33,  0.008657
198,      33.5,      0.01
199,     33.67,  0.007103
200,     33.83,   0.00954
201,        34,  0.008824
202,     34.17,  0.009079
203,     34.33,  0.008903
204,      34.5,   0.01028
205,     34.67,  0.007805
206,     34.83,  0.008208
207,        35,  0.008958
208,     35.17,  0.009345
