,time,abs
0,       0.5,  0.004369
1,    0.6667,   0.00351
2,    0.8333,  0.007295
3,         1,   0.00594
4,     1.167,  0.009281
5,     1.333,   0.01154
6,       1.5,  0.009898
7,     1.667,   0.01124
8,     1.833,   0.01198
9,         2,   0.01311
10,     2.167,   0.01496
11,     2.333,   0.01381
12,       2.5,   0.01674
13,     2.667,   0.01812
14,     2.833,    0.0169
15,         3,   0.02096
16,     3.167,   0.02113
17,     3.333,   0.02064
18,       3.5,   0.02137
19,     3.667,   0.02488
20,     3.833,   0.02674
21,         4,   0.02557
22,     4.167,   0.02629
23,     4.333,   0.02602
24,       4.5,   0.02838
25,     4.667,   0.02966
26,     4.833,   0.02894
27,         5,   0.03086
28,     5.167,    0.0356
29,     5.333,   0.03436
30,       5.5,   0.03451
31,     5.667,   0.03634
32,     5.833,   0.03581
33,         6,    0.0377
34,     6.167,    0.0382
35,     6.333,   0.03823
36,       6.5,    0.0408
37,     6.667,   0.04108
38,     6.833,   0.04291
39,         7,    0.0434
40,     7.167,   0.04549
41,     7.333,   0.04498
42,       7.5,   0.04746
43,     7.667,   0.04856
44,     7.833,   0.04698
45,         8,   0.05052
46,     8.167,   0.04932
47,     8.333,    0.0514
48,       8.5,   0.05314
49,     8.667,   0.05561
50,     8.833,    0.0531
51,         9,   0.05294
52,     9.167,   0.05392
53,     9.333,   0.05595
54,       9.5,   0.05811
55,     9.667,    0.0585
56,     9.833,   0.05724
57,        10,   0.05964
58,     10.17,   0.06146
59,     10.33,   0.06306
60,      10.5,    0.0619
61,     10.67,   0.06448
62,     10.83,   0.06382
63,        11,   0.06467
64,     11.17,   0.06414
65,     11.33,   0.06651
66,      11.5,   0.06724
67,     11.67,   0.06852
68,     11.83,   0.06838
69,        12,   0.06968
70,     12.17,   0.07215
71,     12.33,   0.07193
72,      12.5,   0.07192
73,     12.67,   0.07423
74,     12.83,   0.07331
75,        13,    0.0752
76,     13.17,   0.07616
77,     13.33,   0.07582
78,      13.5,   0.07596
79,     13.67,   0.07798
80,     13.83,   0.08023
81,        14,   0.08071
82,     14.17,   0.07885
83,     14.33,   0.08228
84,      14.5,   0.07935
85,     14.67,   0.08281
86,     14.83,   0.08367
87,        15,   0.08386
88,     15.17,   0.08471
89,     15.33,   0.08628
90,      15.5,   0.08856
91,     15.67,   0.08692
92,     15.83,   0.08672
93,        16,   0.08851
94,     16.17,   0.09159
95,     16.33,   0.09186
96,      16.5,   0.09423
97,     16.67,   0.09289
98,     16.83,    0.0928
99,        17,   0.09384
100,     17.17,   0.09653
101,     17.33,   0.09534
102,      17.5,   0.09755
103,     17.67,   0.09664
104,     17.83,   0.09729
105,        18,   0.09837
106,     18.17,   0.09993
107,     18.33,    0.1009
108,      18.5,    0.0994
109,     18.67,    0.1008
110,     18.83,    0.1007
111,        19,    0.1044
112,     19.17,    0.1032
113,     19.33,    0.1027
114,      19.5,    0.1038
115,     19.67,    0.1047
116,     19.83,     0.106
117,        20,    0.1073
118,     20.17,    0.1077
119,     20.33,     0.108
120,      20.5,    0.1082
121,     20.67,    0.1085
122,     20.83,    0.1111
123,        21,    0.1116
124,     21.17,     0.111
125,     21.33,    0.1111
126,      21.5,    0.1135
127,     21.67,    0.1126
128,     21.83,     0.115
129,        22,     0.115
