,time,abs
0,       0.5,  0.004632
1,    0.6667,  0.003275
2,    0.8333,  0.005241
3,         1,  0.003838
4,     1.167,  0.005187
5,     1.333,  0.007681
6,       1.5,  0.007777
7,     1.667,  0.008752
8,     1.833,  0.008541
9,         2,  0.008753
10,     2.167,   0.01269
11,     2.333,   0.01121
12,       2.5,   0.01248
13,     2.667,   0.01232
14,     2.833,   0.01303
15,         3,   0.01527
16,     3.167,   0.01577
17,     3.333,   0.01625
18,       3.5,   0.01753
19,     3.667,    0.0166
20,     3.833,   0.01822
21,         4,   0.01847
22,     4.167,   0.01988
23,     4.333,   0.02003
24,       4.5,   0.02079
25,     4.667,   0.02077
26,     4.833,   0.02289
27,         5,   0.02291
28,     5.167,   0.02274
29,     5.333,   0.02545
30,       5.5,    0.0247
31,     5.667,   0.02566
32,     5.833,   0.02657
33,         6,    0.0277
34,     6.167,   0.02695
35,     6.333,   0.02696
36,       6.5,   0.02912
37,     6.667,   0.02982
38,     6.833,    0.0301
39,         7,   0.03196
40,     7.167,   0.03046
41,     7.333,    0.0321
42,       7.5,   0.03433
43,     7.667,   0.03568
44,     7.833,    0.0375
45,         8,   0.03629
46,     8.167,   0.03544
47,     8.333,   0.03695
48,       8.5,   0.03806
49,     8.667,   0.03758
50,     8.833,   0.03714
51,         9,   0.04204
52,     9.167,   0.04063
53,     9.333,   0.04306
54,       9.5,   0.04092
55,     9.667,   0.04248
56,     9.833,   0.03934
57,        10,   0.04284
58,     10.17,   0.04489
59,     10.33,   0.04482
60,      10.5,   0.04486
61,     10.67,   0.04627
62,     10.83,   0.04576
63,        11,   0.04615
64,     11.17,   0.04714
65,     11.33,   0.04704
66,      11.5,   0.04818
67,     11.67,   0.04794
68,     11.83,   0.04894
69,        12,   0.04961
70,     12.17,   0.04863
71,     12.33,   0.05163
72,      12.5,   0.05206
73,     12.67,    0.0511
74,     12.83,   0.05232
75,        13,   0.05143
76,     13.17,   0.05511
77,     13.33,   0.05513
78,      13.5,   0.05661
79,     13.67,   0.05648
80,     13.83,   0.05599
81,        14,   0.05777
82,     14.17,    0.0584
83,     14.33,   0.05855
84,      14.5,   0.05797
85,     14.67,   0.06008
86,     14.83,   0.06062
87,        15,   0.06174
88,     15.17,   0.06095
89,     15.33,   0.06293
90,      15.5,   0.06158
91,     15.67,   0.06147
92,     15.83,   0.06364
93,        16,   0.06245
94,     16.17,   0.06328
95,     16.33,   0.06406
96,      16.5,   0.06579
97,     16.67,   0.06755
98,     16.83,   0.06666
99,        17,   0.06536
100,     17.17,   0.06648
101,     17.33,   0.06571
102,      17.5,   0.06793
103,     17.67,   0.07262
104,     17.83,   0.07059
105,        18,   0.07111
106,     18.17,   0.07059
107,     18.33,   0.07179
108,      18.5,   0.07361
109,     18.67,   0.07194
110,     18.83,   0.07234
111,        19,   0.07302
112,     19.17,   0.07361
113,     19.33,   0.07402
114,      19.5,   0.07466
115,     19.67,   0.07506
116,     19.83,   0.07448
117,        20,   0.07596
118,     20.17,   0.07569
119,     20.33,    0.0754
120,      20.5,    0.0779
121,     20.67,   0.07662
122,     20.83,   0.07842
123,        21,   0.08002
124,     21.17,   0.08006
125,     21.33,   0.08002
126,      21.5,   0.08081
127,     21.67,    0.0794
128,     21.83,   0.08265
129,        22,   0.08195
130,     22.17,    0.0811
131,     22.33,   0.08104
132,      22.5,   0.08215
133,     22.67,   0.08354
134,     22.83,   0.08396
135,        23,   0.08474
136,     23.17,   0.08509
137,     23.33,   0.08673
138,      23.5,   0.08429
139,     23.67,   0.08519
140,     23.83,   0.08602
141,        24,    0.0874
142,     24.17,   0.08471
143,     24.33,   0.08682
144,      24.5,   0.08582
145,     24.67,   0.08891
146,     24.83,   0.08751
147,        25,   0.08875
148,     25.17,   0.08807
149,     25.33,   0.08972
150,      25.5,    0.0894
151,     25.67,   0.08847
152,     25.83,   0.08985
153,        26,   0.09171
154,     26.17,   0.09055
155,     26.33,   0.09172
156,      26.5,   0.09047
157,     26.67,   0.09287
158,     26.83,   0.09435
159,        27,   0.09685
160,     27.17,   0.09282
161,     27.33,   0.09241
162,      27.5,   0.09428
163,     27.67,   0.09551
164,     27.83,    0.0973
165,        28,   0.09688
166,     28.17,   0.09637
167,     28.33,   0.09679
168,      28.5,   0.09708
169,     28.67,   0.09755
170,     28.83,   0.09561
171,        29,    0.0979
172,     29.17,     0.101
173,     29.33,   0.09883
174,      29.5,   0.09884
175,     29.67,   0.09795
176,     29.83,   0.09967
177,        30,   0.09816
178,     30.17,    0.1022
179,     30.33,    0.1011
180,      30.5,    0.1006
181,     30.67,    0.1024
182,     30.83,    0.1022
183,        31,    0.1036
184,     31.17,    0.1025
185,     31.33,     0.103
186,      31.5,    0.1039
187,     31.67,    0.1022
188,     31.83,    0.1052
189,        32,    0.1034
190,     32.17,     0.104
191,     32.33,    0.1047
192,      32.5,    0.1066
193,     32.67,    0.1047
194,     32.83,    0.1059
195,        33,    0.1049
196,     33.17,    0.1072
197,     33.33,    0.1074
198,      33.5,    0.1071
199,     33.67,    0.1081
200,     33.83,    0.1075
201,        34,    0.1086
202,     34.17,    0.1074
203,     34.33,    0.1096
204,      34.5,    0.1073
205,     34.67,    0.1094
206,     34.83,    0.1089
207,        35,    0.1097
208,     35.17,    0.1093
209,     35.33,    0.1123
210,      35.5,      0.11
211,     35.67,    0.1114
212,     35.83,    0.1129
213,        36,    0.1116
214,     36.17,    0.1143
215,     36.33,     0.111
216,      36.5,    0.1123
217,     36.67,    0.1124
218,     36.83,    0.1118
219,        37,    0.1124
220,     37.17,    0.1134
221,     37.33,    0.1139
222,      37.5,    0.1143
223,     37.67,    0.1167
224,     37.83,    0.1141
225,        38,    0.1141
226,     38.17,    0.1137
227,     38.33,    0.1148
228,      38.5,    0.1147
229,     38.67,    0.1143
230,     38.83,    0.1158
231,        39,    0.1184
232,     39.17,    0.1155
233,     39.33,    0.1175
234,      39.5,    0.1168
235,     39.67,    0.1179
236,     39.83,    0.1194
237,        40,    0.1175
238,     40.17,    0.1179
239,     40.33,     0.117
240,      40.5,    0.1189
241,     40.67,    0.1178
242,     40.83,    0.1191
