,time,abs
0,       0.5,  0.004271
1,    0.6667,  0.005679
2,    0.8333,  0.004577
3,         1,  0.008477
4,     1.167,  0.008774
5,     1.333,   0.01023
6,       1.5,   0.01198
7,     1.667,   0.01539
8,     1.833,   0.01548
9,         2,   0.01618
10,     2.167,   0.01954
11,     2.333,   0.01873
12,       2.5,   0.02002
13,     2.667,   0.02393
14,     2.833,   0.02207
15,         3,    0.0254
16,     3.167,   0.02664
17,     3.333,   0.02771
18,       3.5,   0.02963
19,     3.667,   0.03208
20,     3.833,   0.03244
21,         4,   0.03067
22,     4.167,   0.03427
23,     4.333,   0.03525
24,       4.5,   0.03836
25,     4.667,     0.037
26,     4.833,   0.04021
27,         5,   0.04118
28,     5.167,   0.04461
29,     5.333,   0.04516
30,       5.5,   0.04414
31,     5.667,   0.04769
32,     5.833,   0.04733
33,         6,   0.05036
34,     6.167,    0.0516
35,     6.333,   0.05228
36,       6.5,   0.05279
37,     6.667,   0.05545
38,     6.833,   0.05722
39,         7,   0.05691
40,     7.167,   0.05816
41,     7.333,   0.06013
42,       7.5,   0.06209
43,     7.667,   0.06322
44,     7.833,   0.06559
45,         8,   0.06535
46,     8.167,   0.06904
47,     8.333,   0.06945
48,       8.5,   0.07028
49,     8.667,   0.07327
50,     8.833,   0.07416
51,         9,   0.07537
52,     9.167,   0.07734
53,     9.333,   0.07793
54,       9.5,   0.07724
55,     9.667,   0.08089
56,     9.833,   0.08189
57,        10,   0.08271
58,     10.17,   0.08566
59,     10.33,   0.08612
60,      10.5,   0.08908
61,     10.67,    0.0886
62,     10.83,   0.09002
63,        11,   0.09228
64,     11.17,   0.09111
65,     11.33,   0.09357
66,      11.5,    0.0951
67,     11.67,   0.09727
68,     11.83,   0.09721
69,        12,    0.1004
70,     12.17,   0.09996
71,     12.33,    0.1038
72,      12.5,    0.1016
73,     12.67,     0.106
74,     12.83,    0.1053
75,        13,    0.1072
76,     13.17,    0.1092
77,     13.33,    0.1112
78,      13.5,    0.1126
79,     13.67,    0.1118
80,     13.83,    0.1164
81,        14,    0.1169
82,     14.17,    0.1179
83,     14.33,    0.1192
84,      14.5,    0.1206
85,     14.67,    0.1214
86,     14.83,    0.1215
87,        15,    0.1254
88,     15.17,    0.1264
89,     15.33,    0.1287
90,      15.5,    0.1315
91,     15.67,     0.131
92,     15.83,      0.13
93,        16,    0.1317
94,     16.17,    0.1346
95,     16.33,    0.1363
96,      16.5,    0.1359
97,     16.67,    0.1405
98,     16.83,    0.1385
99,        17,     0.141
100,     17.17,    0.1428
101,     17.33,    0.1442
102,      17.5,    0.1465
103,     17.67,    0.1483
104,     17.83,    0.1471
105,        18,    0.1501
106,     18.17,    0.1517
107,     18.33,    0.1504
108,      18.5,    0.1523
109,     18.67,    0.1548
110,     18.83,    0.1575
111,        19,     0.158
112,     19.17,    0.1588
113,     19.33,    0.1608
114,      19.5,    0.1615
115,     19.67,    0.1612
116,     19.83,    0.1646
117,        20,    0.1649
118,     20.17,    0.1642
119,     20.33,    0.1701
120,      20.5,    0.1687
121,     20.67,    0.1721
122,     20.83,    0.1739
123,        21,    0.1746
124,     21.17,     0.175
125,     21.33,    0.1786
126,      21.5,    0.1792
127,     21.67,     0.182
128,     21.83,    0.1798
129,        22,    0.1831
130,     22.17,    0.1844
131,     22.33,    0.1848
132,      22.5,    0.1874
133,     22.67,    0.1857
134,     22.83,    0.1894
135,        23,    0.1938
136,     23.17,    0.1917
137,     23.33,    0.1925
138,      23.5,    0.1936
139,     23.67,    0.1956
140,     23.83,    0.1971
141,        24,    0.1991
142,     24.17,    0.1994
143,     24.33,    0.2011
144,      24.5,    0.2017
145,     24.67,    0.2056
146,     24.83,    0.2056
147,        25,    0.2065
148,     25.17,    0.2084
149,     25.33,    0.2096
150,      25.5,    0.2116
151,     25.67,    0.2134
152,     25.83,    0.2141
153,        26,    0.2165
154,     26.17,    0.2161
