,time,abs
0,       0.5,  0.000828
1,    0.6667,  0.003044
2,    0.8333,  0.004418
3,         1,  0.002861
4,     1.167,  0.004823
5,     1.333,  0.003967
6,       1.5,  0.004626
7,     1.667,  0.002741
8,     1.833,  0.006382
9,         2,  0.005819
10,     2.167,  0.007601
11,     2.333,  0.006191
12,       2.5,  0.008297
13,     2.667,  0.008664
14,     2.833,  0.007727
15,         3,  0.008706
16,     3.167,   0.01058
17,     3.333,   0.01006
18,       3.5,    0.0109
19,     3.667,  0.009921
20,     3.833,    0.0126
21,         4,  0.009955
22,     4.167,   0.01212
23,     4.333,   0.01319
24,       4.5,   0.01386
25,     4.667,   0.01368
26,     4.833,   0.01292
27,         5,   0.01418
28,     5.167,   0.01303
29,     5.333,   0.01447
30,       5.5,   0.01526
31,     5.667,   0.01665
32,     5.833,   0.01691
33,         6,   0.01744
34,     6.167,   0.01584
35,     6.333,   0.01718
36,       6.5,   0.01914
37,     6.667,   0.01836
38,     6.833,    0.0181
39,         7,   0.02082
40,     7.167,   0.02107
41,     7.333,   0.02275
42,       7.5,   0.02342
43,     7.667,   0.02212
44,     7.833,   0.02149
45,         8,   0.02318
46,     8.167,   0.02376
47,     8.333,   0.02425
48,       8.5,   0.02382
49,     8.667,   0.02595
50,     8.833,   0.02504
51,         9,   0.02555
52,     9.167,   0.02616
53,     9.333,   0.02821
54,       9.5,   0.02649
55,     9.667,   0.02835
56,     9.833,   0.02747
57,        10,   0.02774
58,     10.17,   0.02744
59,     10.33,   0.03022
60,      10.5,   0.02915
61,     10.67,   0.03123
62,     10.83,   0.03078
63,        11,   0.03056
64,     11.17,   0.03337
65,     11.33,   0.03313
66,      11.5,   0.03367
67,     11.67,   0.03438
68,     11.83,   0.03499
69,        12,   0.03531
70,     12.17,   0.03544
71,     12.33,   0.03482
72,      12.5,   0.03799
73,     12.67,   0.03634
74,     12.83,   0.03694
75,        13,   0.03805
76,     13.17,   0.03955
77,     13.33,   0.03748
78,      13.5,   0.03854
79,     13.67,   0.03868
80,     13.83,   0.04123
81,        14,   0.04063
82,     14.17,   0.03744
83,     14.33,    0.0425
84,      14.5,   0.04069
85,     14.67,   0.04016
86,     14.83,    0.0424
87,        15,   0.04256
88,     15.17,   0.04318
89,     15.33,   0.04552
90,      15.5,   0.04156
91,     15.67,   0.04389
92,     15.83,   0.04639
93,        16,   0.04645
