,time,abs
0,       0.5,  0.001076
1,    0.6667, 0.0007592
2,    0.8333,  0.002421
3,         1,  0.004004
4,     1.167,  0.002251
5,     1.333, 0.0005647
6,       1.5,  0.002229
7,     1.667,  0.002959
8,     1.833, 0.0007423
9,         2,-1.403e-05
10,     2.167,  0.002255
11,     2.333,  0.002394
12,       2.5,  0.001999
13,     2.667,  0.001691
14,     2.833,  0.004141
15,         3,  0.002653
16,     3.167,  0.003979
17,     3.333,   0.00379
18,       3.5,  0.005892
19,     3.667,  0.006472
20,     3.833,  0.004818
21,         4,  0.003573
22,     4.167,  0.005607
23,     4.333,  0.007216
24,       4.5,   0.00497
25,     4.667,  0.004973
26,     4.833,  0.004757
27,         5,  0.006376
28,     5.167,  0.005895
29,     5.333,  0.007075
30,       5.5,  0.005599
31,     5.667,  0.008258
32,     5.833,  0.005883
33,         6,  0.006517
34,     6.167,  0.007494
35,     6.333,  0.006865
36,       6.5,  0.006416
37,     6.667,  0.007764
38,     6.833,  0.008748
39,         7,  0.006397
40,     7.167,  0.008419
41,     7.333,  0.007837
42,       7.5,  0.009075
43,     7.667,  0.008759
44,     7.833,  0.009849
45,         8,   0.00829
46,     8.167,   0.00856
47,     8.333,   0.01002
48,       8.5,  0.006862
49,     8.667,  0.009356
50,     8.833,  0.008161
51,         9,   0.01094
52,     9.167,   0.01035
53,     9.333,  0.008486
54,       9.5,   0.01255
55,     9.667,  0.009349
56,     9.833,   0.01003
57,        10,   0.01201
58,     10.17,   0.01226
59,     10.33,    0.0124
60,      10.5,   0.01075
61,     10.67,   0.01121
62,     10.83,    0.0107
63,        11,   0.01057
64,     11.17,   0.01283
65,     11.33,   0.01202
66,      11.5,   0.01095
67,     11.67,   0.01176
68,     11.83,     0.012
69,        12,   0.01188
70,     12.17,   0.01258
71,     12.33,    0.0112
72,      12.5,   0.01194
73,     12.67,   0.01267
74,     12.83,   0.01237
75,        13,   0.01276
76,     13.17,    0.0122
77,     13.33,   0.01386
78,      13.5,   0.01291
79,     13.67,   0.01359
80,     13.83,    0.0148
81,        14,   0.01372
82,     14.17,   0.01382
83,     14.33,   0.01344
84,      14.5,   0.01446
85,     14.67,   0.01524
86,     14.83,   0.01498
87,        15,   0.01603
88,     15.17,   0.01553
89,     15.33,   0.01778
90,      15.5,   0.01573
91,     15.67,   0.01678
92,     15.83,   0.01423
93,        16,   0.01413
94,     16.17,   0.01691
95,     16.33,   0.01525
96,      16.5,   0.01668
97,     16.67,   0.01513
98,     16.83,   0.01594
99,        17,   0.01695
100,     17.17,   0.01753
101,     17.33,   0.01638
102,      17.5,   0.01659
103,     17.67,    0.0166
104,     17.83,   0.01613
105,        18,   0.01621
106,     18.17,    0.0176
107,     18.33,   0.01736
108,      18.5,   0.01555
109,     18.67,   0.01642
110,     18.83,   0.01761
111,        19,   0.01911
112,     19.17,   0.01584
113,     19.33,   0.01638
114,      19.5,    0.0182
115,     19.67,   0.01849
116,     19.83,   0.01885
117,        20,   0.01757
118,     20.17,   0.01857
119,     20.33,   0.01937
120,      20.5,   0.01829
121,     20.67,   0.01935
122,     20.83,   0.01958
123,        21,   0.01768
124,     21.17,     0.018
125,     21.33,   0.02004
126,      21.5,   0.01693
127,     21.67,   0.01944
128,     21.83,   0.02025
129,        22,   0.01711
130,     22.17,   0.01591
131,     22.33,   0.01961
132,      22.5,   0.01872
133,     22.67,   0.02027
134,     22.83,   0.01973
135,        23,   0.02173
136,     23.17,   0.02041
137,     23.33,   0.02114
138,      23.5,   0.02117
139,     23.67,   0.02081
140,     23.83,   0.02088
141,        24,   0.02279
142,     24.17,   0.02144
143,     24.33,   0.01904
144,      24.5,   0.02155
145,     24.67,   0.02245
146,     24.83,   0.02132
147,        25,   0.02314
148,     25.17,    0.0219
149,     25.33,   0.02232
150,      25.5,   0.02237
151,     25.67,   0.02245
152,     25.83,   0.02013
153,        26,   0.02231
154,     26.17,   0.02108
155,     26.33,   0.02302
156,      26.5,   0.02228
157,     26.67,   0.02277
158,     26.83,   0.02128
159,        27,   0.02378
160,     27.17,   0.02193
161,     27.33,   0.02146
162,      27.5,   0.01966
163,     27.67,    0.0237
164,     27.83,   0.02444
165,        28,    0.0235
166,     28.17,   0.02463
167,     28.33,   0.02167
168,      28.5,   0.02319
169,     28.67,   0.02264
170,     28.83,   0.02332
171,        29,   0.02392
172,     29.17,    0.0239
173,     29.33,   0.02327
174,      29.5,   0.02561
175,     29.67,   0.02258
176,     29.83,   0.02513
177,        30,   0.02608
178,     30.17,   0.02391
179,     30.33,   0.02484
180,      30.5,     0.023
181,     30.67,   0.02357
182,     30.83,   0.02538
183,        31,   0.02481
184,     31.17,   0.02545
185,     31.33,   0.02526
186,      31.5,   0.02565
187,     31.67,   0.02639
188,     31.83,    0.0233
189,        32,   0.02473
190,     32.17,   0.02495
191,     32.33,   0.02682
192,      32.5,   0.02631
193,     32.67,   0.02469
194,     32.83,   0.02439
195,        33,   0.02563
196,     33.17,   0.02621
197,     33.33,   0.02647
198,      33.5,   0.02687
199,     33.67,   0.02484
200,     33.83,   0.02588
201,        34,   0.02657
202,     34.17,   0.02742
203,     34.33,   0.02693
204,      34.5,   0.02686
205,     34.67,   0.02356
206,     34.83,   0.02483
207,        35,   0.02534
208,     35.17,   0.03034
209,     35.33,   0.02528
210,      35.5,   0.02842
211,     35.67,   0.02602
212,     35.83,   0.02702
213,        36,   0.02621
214,     36.17,   0.02642
215,     36.33,   0.02726
216,      36.5,   0.02687
217,     36.67,   0.02629
218,     36.83,   0.02709
219,        37,   0.02715
220,     37.17,    0.0285
221,     37.33,   0.02637
222,      37.5,   0.02719
223,     37.67,   0.02813
224,     37.83,    0.0263
225,        38,   0.02727
226,     38.17,   0.02762
227,     38.33,   0.02893
228,      38.5,   0.02709
229,     38.67,   0.02807
230,     38.83,   0.02788
231,        39,   0.02741
232,     39.17,   0.03024
233,     39.33,    0.0284
234,      39.5,   0.02976
235,     39.67,   0.02757
236,     39.83,   0.02934
237,        40,   0.02926
238,     40.17,   0.02796
239,     40.33,   0.02715
240,      40.5,    0.0288
241,     40.67,   0.02951
242,     40.83,   0.02658
243,        41,   0.02959
244,     41.17,   0.02943
245,     41.33,   0.02798
246,      41.5,   0.02946
247,     41.67,   0.02863
248,     41.83,   0.02949
249,        42,   0.03042
250,     42.17,   0.02957
251,     42.33,   0.02945
252,      42.5,   0.02986
253,     42.67,   0.02892
254,     42.83,   0.03095
255,        43,   0.02893
256,     43.17,   0.02778
257,     43.33,   0.03022
258,      43.5,   0.02836
259,     43.67,   0.02869
260,     43.83,   0.03078
261,        44,   0.02888
262,     44.17,   0.02937
263,     44.33,   0.02991
