,time,abs
0,       0.5,   0.01507
1,    0.6667,   0.01982
2,    0.8333,   0.02462
3,         1,      0.03
4,     1.167,    0.0347
5,     1.333,   0.03964
6,       1.5,    0.0451
7,     1.667,   0.05015
8,     1.833,   0.05349
9,         2,   0.05901
10,     2.167,   0.06473
11,     2.333,   0.06923
12,       2.5,   0.07451
13,     2.667,   0.07798
14,     2.833,   0.08504
15,         3,    0.0886
16,     3.167,   0.09445
17,     3.333,    0.0991
18,       3.5,     0.103
19,     3.667,    0.1089
20,     3.833,    0.1139
21,         4,    0.1173
22,     4.167,    0.1231
23,     4.333,     0.129
24,       4.5,    0.1332
25,     4.667,    0.1379
26,     4.833,    0.1419
27,         5,    0.1462
28,     5.167,    0.1526
29,     5.333,    0.1584
30,       5.5,    0.1613
31,     5.667,    0.1666
32,     5.833,    0.1714
33,         6,    0.1776
34,     6.167,    0.1809
35,     6.333,    0.1861
36,       6.5,    0.1925
37,     6.667,     0.197
38,     6.833,     0.202
39,         7,    0.2064
40,     7.167,    0.2113
41,     7.333,    0.2149
42,       7.5,    0.2199
43,     7.667,     0.226
44,     7.833,    0.2308
45,         8,    0.2342
46,     8.167,    0.2412
47,     8.333,    0.2445
48,       8.5,    0.2506
49,     8.667,    0.2534
50,     8.833,    0.2602
51,         9,    0.2652
52,     9.167,    0.2688
53,     9.333,    0.2731
54,       9.5,    0.2797
55,     9.667,    0.2826
56,     9.833,    0.2871
57,        10,    0.2921
58,     10.17,    0.2976
59,     10.33,    0.3033
60,      10.5,    0.3073
61,     10.67,    0.3125
62,     10.83,    0.3174
63,        11,     0.324
64,     11.17,    0.3277
65,     11.33,    0.3334
66,      11.5,    0.3374
67,     11.67,    0.3402
68,     11.83,    0.3458
69,        12,    0.3506
70,     12.17,    0.3569
71,     12.33,    0.3578
72,      12.5,    0.3649
73,     12.67,    0.3705
74,     12.83,    0.3758
75,        13,    0.3798
76,     13.17,     0.387
77,     13.33,    0.3912
78,      13.5,    0.3934
79,     13.67,    0.3989
80,     13.83,    0.4046
81,        14,    0.4082
82,     14.17,    0.4123
83,     14.33,    0.4167
84,      14.5,    0.4216
85,     14.67,    0.4275
86,     14.83,    0.4324
87,        15,    0.4366
88,     15.17,    0.4411
89,     15.33,    0.4462
90,      15.5,    0.4491
91,     15.67,     0.458
92,     15.83,    0.4606
93,        16,    0.4673
94,     16.17,    0.4718
95,     16.33,    0.4745
96,      16.5,    0.4798
97,     16.67,    0.4825
98,     16.83,    0.4895
99,        17,    0.4953
100,     17.17,    0.4966
101,     17.33,    0.5035
102,      17.5,    0.5081
103,     17.67,     0.514
104,     17.83,    0.5188
105,        18,    0.5212
106,     18.17,    0.5251
107,     18.33,    0.5329
108,      18.5,    0.5352
109,     18.67,    0.5395
110,     18.83,    0.5437
111,        19,    0.5521
112,     19.17,    0.5572
113,     19.33,    0.5594
114,      19.5,    0.5653
115,     19.67,    0.5695
116,     19.83,    0.5733
117,        20,    0.5791
118,     20.17,    0.5848
119,     20.33,     0.588
120,      20.5,    0.5926
121,     20.67,     0.599
122,     20.83,    0.6022
123,        21,     0.606
124,     21.17,    0.6103
125,     21.33,    0.6173
126,      21.5,    0.6219
127,     21.67,    0.6257
128,     21.83,    0.6314
129,        22,     0.635
130,     22.17,    0.6382
131,     22.33,    0.6457
132,      22.5,    0.6461
133,     22.67,     0.656
134,     22.83,    0.6563
135,        23,    0.6614
136,     23.17,    0.6684
137,     23.33,    0.6703
138,      23.5,     0.677
139,     23.67,    0.6816
140,     23.83,    0.6896
141,        24,     0.687
142,     24.17,    0.6931
143,     24.33,    0.6994
144,      24.5,    0.7025
145,     24.67,    0.7086
146,     24.83,    0.7146
147,        25,    0.7213
148,     25.17,    0.7199
149,     25.33,     0.727
150,      25.5,     0.736
151,     25.67,    0.7308
152,     25.83,    0.7425
153,        26,    0.7493
154,     26.17,    0.7502
155,     26.33,    0.7576
156,      26.5,    0.7643
157,     26.67,    0.7613
158,     26.83,    0.7676
159,        27,    0.7717
160,     27.17,    0.7781
161,     27.33,     0.781
162,      27.5,    0.7872
163,     27.67,     0.793
164,     27.83,    0.8003
165,        28,    0.8039
166,     28.17,    0.8037
167,     28.33,    0.8098
168,      28.5,    0.8142
169,     28.67,    0.8146
170,     28.83,    0.8251
171,        29,     0.832
172,     29.17,    0.8361
173,     29.33,    0.8389
174,      29.5,    0.8433
175,     29.67,    0.8484
176,     29.83,    0.8496
177,        30,    0.8493
178,     30.17,    0.8555
179,     30.33,    0.8688
180,      30.5,    0.8683
181,     30.67,    0.8712
182,     30.83,    0.8783
183,        31,    0.8885
184,     31.17,    0.8894
185,     31.33,    0.8885
186,      31.5,    0.8906
187,     31.67,    0.9012
188,     31.83,    0.9075
189,        32,    0.9171
190,     32.17,    0.9175
191,     32.33,    0.9217
192,      32.5,    0.9191
193,     32.67,    0.9291
194,     32.83,    0.9367
195,        33,    0.9428
196,     33.17,    0.9389
197,     33.33,    0.9541
198,      33.5,    0.9481
199,     33.67,    0.9633
200,     33.83,    0.9645
201,        34,    0.9692
202,     34.17,    0.9661
203,     34.33,     0.977
204,      34.5,    0.9826
205,     34.67,    0.9855
206,     34.83,    0.9934
207,        35,    0.9914
208,     35.17,    0.9995
209,     35.33,    0.9988
210,      35.5,      1.01
211,     35.67,     1.006
212,     35.83,     1.009
213,        36,     1.018
214,     36.17,     1.025
215,     36.33,     1.026
216,      36.5,     1.035
217,     36.67,     1.033
218,     36.83,     1.038
219,        37,     1.043
220,     37.17,     1.047
221,     37.33,     1.056
222,      37.5,     1.049
223,     37.67,     1.066
224,     37.83,      1.08
225,        38,      1.09
226,     38.17,      1.07
227,     38.33,     1.082
228,      38.5,     1.088
229,     38.67,     1.081
230,     38.83,     1.102
231,        39,     1.105
232,     39.17,     1.102
233,     39.33,     1.111
234,      39.5,     1.114
235,     39.67,      1.12
236,     39.83,     1.128
237,        40,     1.118
238,     40.17,     1.135
239,     40.33,     1.135
240,      40.5,     1.131
241,     40.67,      1.14
242,     40.83,     1.146
243,        41,     1.148
244,     41.17,     1.157
245,     41.33,     1.164
246,      41.5,     1.167
247,     41.67,     1.176
248,     41.83,     1.168
249,        42,     1.175
250,     42.17,     1.185
251,     42.33,     1.183
252,      42.5,     1.191
253,     42.67,     1.206
254,     42.83,     1.195
255,        43,     1.199
256,     43.17,     1.202
257,     43.33,     1.206
258,      43.5,      1.21
259,     43.67,     1.223
260,     43.83,     1.234
261,        44,     1.227
262,     44.17,     1.246
263,     44.33,     1.236
264,      44.5,     1.234
265,     44.67,      1.25
266,     44.83,     1.265
267,        45,     1.252
268,     45.17,     1.264
269,     45.33,     1.251
270,      45.5,     1.271
271,     45.67,     1.282
272,     45.83,     1.275
273,        46,     1.271
274,     46.17,      1.29
275,     46.33,      1.29
276,      46.5,     1.298
277,     46.67,     1.309
278,     46.83,     1.291
279,        47,     1.313
280,     47.17,      1.31
281,     47.33,     1.313
282,      47.5,     1.304
283,     47.67,     1.325
284,     47.83,     1.324
285,        48,     1.333
286,     48.17,     1.314
287,     48.33,     1.333
288,      48.5,     1.346
289,     48.67,     1.354
290,     48.83,     1.359
291,        49,     1.371
292,     49.17,     1.363
293,     49.33,     1.351
294,      49.5,     1.383
295,     49.67,     1.363
296,     49.83,     1.372
297,        50,     1.386
298,     50.17,     1.394
299,     50.33,     1.403
300,      50.5,     1.397
301,     50.67,     1.401
302,     50.83,     1.421
303,        51,     1.412
304,     51.17,     1.418
305,     51.33,     1.417
306,      51.5,     1.427
307,     51.67,     1.417
308,     51.83,     1.419
309,        52,     1.418
310,     52.17,     1.451
311,     52.33,     1.469
312,      52.5,     1.438
313,     52.67,     1.467
314,     52.83,     1.449
315,        53,     1.452
316,     53.17,     1.472
317,     53.33,      1.47
318,      53.5,     1.461
319,     53.67,     1.475
320,     53.83,     1.491
321,        54,     1.509
322,     54.17,     1.494
323,     54.33,     1.523
324,      54.5,     1.486
325,     54.67,     1.511
326,     54.83,     1.503
327,        55,     1.524
328,     55.17,     1.514
329,     55.33,     1.518
330,      55.5,     1.519
331,     55.67,      1.51
332,     55.83,     1.532
333,        56,     1.514
334,     56.17,     1.562
335,     56.33,     1.553
336,      56.5,     1.523
337,     56.67,     1.538
338,     56.83,     1.546
339,        57,     1.558
340,     57.17,      1.57
341,     57.33,     1.565
342,      57.5,     1.603
343,     57.67,     1.557
344,     57.83,     1.567
345,        58,     1.577
346,     58.17,     1.583
347,     58.33,     1.595
348,      58.5,     1.638
349,     58.67,      1.59
350,     58.83,     1.604
351,        59,     1.599
352,     59.17,     1.616
353,     59.33,     1.633
354,      59.5,      1.63
355,     59.67,     1.628
356,     59.83,     1.638
357,        60,     1.604
