,time,abs
0,       0.5, 0.0006071
1,    0.6667, 0.0009519
2,    0.8333,  0.000465
3,         1,  0.002889
4,     1.167,  0.002894
5,     1.333, 0.0008967
6,       1.5,    0.0017
7,     1.667,   0.00325
8,     1.833,  0.003609
9,         2,  0.002781
10,     2.167,  0.003446
11,     2.333,  0.004843
12,       2.5,  0.005329
13,     2.667,  0.004485
14,     2.833,  0.004691
15,         3,  0.004487
16,     3.167,  0.007306
17,     3.333,  0.008773
18,       3.5,  0.004502
19,     3.667,  0.005527
20,     3.833,  0.008158
21,         4,   0.00658
22,     4.167,  0.007515
23,     4.333,  0.007527
24,       4.5,   0.00901
25,     4.667,  0.007942
26,     4.833,  0.009617
27,         5,  0.008155
28,     5.167,  0.009189
29,     5.333,  0.009492
30,       5.5,  0.009312
31,     5.667,  0.009523
32,     5.833,  0.009926
33,         6,  0.008603
34,     6.167,    0.0104
35,     6.333,  0.008989
36,       6.5,   0.01225
37,     6.667,  0.009537
38,     6.833,   0.01137
39,         7,   0.01209
40,     7.167,   0.01207
41,     7.333,   0.01296
42,       7.5,   0.01293
43,     7.667,   0.01241
44,     7.833,   0.01617
45,         8,   0.01446
46,     8.167,   0.01408
47,     8.333,    0.0108
48,       8.5,   0.01332
49,     8.667,   0.01345
50,     8.833,   0.01493
51,         9,   0.01557
52,     9.167,   0.01475
53,     9.333,   0.01528
54,       9.5,   0.01528
55,     9.667,   0.01506
56,     9.833,   0.01617
57,        10,    0.0169
58,     10.17,   0.01616
59,     10.33,   0.01828
60,      10.5,   0.01606
61,     10.67,   0.01711
62,     10.83,   0.01534
63,        11,   0.01813
64,     11.17,   0.01986
65,     11.33,   0.01862
66,      11.5,   0.01954
67,     11.67,   0.01786
68,     11.83,   0.01796
69,        12,   0.02071
70,     12.17,   0.02036
71,     12.33,   0.02107
72,      12.5,   0.01989
73,     12.67,   0.02257
74,     12.83,   0.02231
75,        13,   0.02325
76,     13.17,   0.02277
77,     13.33,   0.02237
78,      13.5,   0.02283
79,     13.67,   0.02021
80,     13.83,   0.02372
81,        14,   0.02178
82,     14.17,   0.02155
83,     14.33,   0.02168
84,      14.5,    0.0225
85,     14.67,   0.02283
86,     14.83,   0.02341
87,        15,   0.02669
88,     15.17,   0.02155
89,     15.33,    0.0256
90,      15.5,   0.02553
91,     15.67,   0.02528
92,     15.83,   0.02248
93,        16,   0.02559
94,     16.17,   0.02424
95,     16.33,   0.02609
96,      16.5,   0.02553
97,     16.67,     0.027
98,     16.83,   0.02871
99,        17,   0.02755
100,     17.17,   0.02484
101,     17.33,   0.02903
102,      17.5,    0.0269
103,     17.67,    0.0277
104,     17.83,   0.02864
105,        18,   0.02801
106,     18.17,   0.02818
107,     18.33,   0.03022
108,      18.5,   0.02861
109,     18.67,   0.03012
110,     18.83,   0.02951
111,        19,   0.03108
112,     19.17,   0.03046
