,time,abs
0,       0.5, 0.0004829
1,    0.6667, 0.0007472
2,    0.8333, 0.0008979
3,         1,  0.001076
4,     1.167, 0.0008031
5,     1.333, 0.0009601
6,       1.5,  0.001455
7,     1.667,  0.001831
8,     1.833,  0.001701
9,         2,  0.001895
10,     2.167,  0.002986
11,     2.333,  0.002147
12,       2.5,  0.002688
13,     2.667,  0.003195
14,     2.833,  0.003727
15,         3,  0.002967
16,     3.167,  0.004333
17,     3.333,  0.003617
18,       3.5,  0.003815
19,     3.667,  0.004007
20,     3.833,  0.004251
21,         4,  0.003811
22,     4.167,  0.005226
23,     4.333,  0.005152
24,       4.5,  0.005079
25,     4.667,    0.0054
26,     4.833,  0.004219
27,         5,  0.004181
28,     5.167,  0.006101
29,     5.333,  0.004936
30,       5.5,  0.005565
31,     5.667,  0.005819
32,     5.833,  0.006178
33,         6,  0.005704
34,     6.167,  0.006602
35,     6.333,  0.007225
36,       6.5,  0.006342
37,     6.667,  0.007065
38,     6.833,  0.006667
39,         7,  0.006704
40,     7.167,  0.007337
41,     7.333,   0.00794
42,       7.5,  0.007115
43,     7.667,  0.008406
44,     7.833,  0.008132
45,         8,  0.007999
46,     8.167,  0.008806
47,     8.333,  0.008387
48,       8.5,   0.00872
49,     8.667,  0.008286
50,     8.833,  0.009126
51,         9,  0.009609
52,     9.167,  0.009194
53,     9.333,  0.009491
54,       9.5,  0.009834
55,     9.667,   0.01033
56,     9.833,  0.009958
57,        10,   0.01077
58,     10.17,   0.01036
59,     10.33,   0.01096
60,      10.5,   0.01063
61,     10.67,   0.01074
62,     10.83,   0.01106
63,        11,   0.01139
64,     11.17,   0.01171
65,     11.33,    0.0112
66,      11.5,   0.01216
67,     11.67,   0.01217
68,     11.83,   0.01272
69,        12,   0.01215
70,     12.17,   0.01263
71,     12.33,   0.01231
72,      12.5,   0.01328
73,     12.67,   0.01371
74,     12.83,   0.01336
75,        13,   0.01368
76,     13.17,    0.0138
77,     13.33,   0.01359
78,      13.5,   0.01409
79,     13.67,   0.01441
80,     13.83,   0.01441
81,        14,   0.01464
82,     14.17,    0.0142
83,     14.33,    0.0146
84,      14.5,   0.01486
85,     14.67,   0.01478
86,     14.83,   0.01534
87,        15,   0.01518
88,     15.17,    0.0153
89,     15.33,   0.01513
90,      15.5,   0.01503
91,     15.67,   0.01599
92,     15.83,   0.01666
93,        16,   0.01559
94,     16.17,   0.01662
95,     16.33,    0.0172
96,      16.5,   0.01663
97,     16.67,   0.01754
98,     16.83,   0.01714
99,        17,   0.01721
100,     17.17,   0.01719
101,     17.33,   0.01734
102,      17.5,   0.01782
103,     17.67,   0.01786
104,     17.83,   0.01825
105,        18,   0.01724
106,     18.17,   0.01803
107,     18.33,    0.0188
108,      18.5,   0.01916
109,     18.67,   0.01929
110,     18.83,   0.01844
111,        19,   0.01799
112,     19.17,   0.01938
113,     19.33,    0.0208
114,      19.5,   0.02027
115,     19.67,   0.01925
116,     19.83,   0.02055
117,        20,   0.01958
118,     20.17,    0.0211
119,     20.33,   0.02034
120,      20.5,   0.02099
121,     20.67,   0.02054
122,     20.83,    0.0207
123,        21,     0.021
124,     21.17,   0.02178
125,     21.33,   0.02139
126,      21.5,   0.02218
127,     21.67,   0.02137
128,     21.83,    0.0216
129,        22,   0.02337
130,     22.17,   0.02269
131,     22.33,   0.02293
132,      22.5,   0.02209
133,     22.67,   0.02355
134,     22.83,   0.02398
135,        23,   0.02279
136,     23.17,   0.02328
137,     23.33,   0.02378
138,      23.5,   0.02347
139,     23.67,   0.02389
140,     23.83,   0.02415
141,        24,   0.02363
142,     24.17,   0.02452
143,     24.33,    0.0244
144,      24.5,   0.02448
145,     24.67,   0.02496
146,     24.83,   0.02555
147,        25,    0.0246
148,     25.17,   0.02563
149,     25.33,   0.02554
150,      25.5,   0.02589
151,     25.67,   0.02499
152,     25.83,   0.02661
153,        26,   0.02626
154,     26.17,   0.02614
155,     26.33,     0.027
156,      26.5,   0.02654
157,     26.67,   0.02657
158,     26.83,   0.02675
159,        27,     0.027
160,     27.17,   0.02729
161,     27.33,   0.02712
162,      27.5,   0.02783
163,     27.67,    0.0276
164,     27.83,   0.02785
165,        28,   0.02739
166,     28.17,   0.02786
167,     28.33,   0.02761
168,      28.5,   0.02857
169,     28.67,   0.02893
170,     28.83,   0.02863
171,        29,   0.02934
172,     29.17,   0.02903
173,     29.33,   0.02855
174,      29.5,   0.02915
175,     29.67,   0.02929
176,     29.83,   0.02937
177,        30,   0.02947
178,     30.17,   0.03002
179,     30.33,   0.03008
180,      30.5,   0.03042
181,     30.67,   0.03008
182,     30.83,   0.03121
183,        31,   0.03103
184,     31.17,   0.03143
185,     31.33,   0.03093
186,      31.5,   0.03143
187,     31.67,   0.03209
188,     31.83,   0.03148
189,        32,    0.0314
190,     32.17,   0.03141
191,     32.33,    0.0317
192,      32.5,   0.03152
193,     32.67,   0.03254
194,     32.83,   0.03371
195,        33,   0.03312
196,     33.17,   0.03283
197,     33.33,   0.03317
198,      33.5,   0.03224
199,     33.67,   0.03263
200,     33.83,   0.03309
201,        34,   0.03332
202,     34.17,   0.03361
203,     34.33,   0.03363
204,      34.5,   0.03382
205,     34.67,   0.03522
206,     34.83,   0.03448
207,        35,   0.03468
208,     35.17,    0.0348
209,     35.33,   0.03495
210,      35.5,   0.03487
211,     35.67,   0.03527
212,     35.83,   0.03499
213,        36,   0.03517
214,     36.17,   0.03613
215,     36.33,   0.03525
216,      36.5,   0.03575
217,     36.67,   0.03669
218,     36.83,   0.03684
219,        37,   0.03535
220,     37.17,   0.03631
221,     37.33,   0.03625
222,      37.5,   0.03601
223,     37.67,   0.03718
