### Plate Plan Setup File
### E_Conce is in nM
### S_Conc is in mM
"Column", "Enzyme", "E_Conc", "Row", "S_Conc"
"1",      "Blank",    0,        "A",   0.005
"2",      "wt1",     0.5,      "B",   0.01
"3",      "BL_oaO",  0.5,      "C",   0.02
"4",      "BL_z1n",  0.5,      "D",   0.04        
"5",      "BL_CrO",  0.5,      "E",   0.08 
"6",      "BL_FWY",  0.5,      "F",   0.16 
"7",      "BL_GZQ",  0.5,      "G",   0.32 
"8",      "BL_ZXr",  0.5,      "H",   0.50 
"9",      "BL_n5l",  0.5,         ,           
"10",     "BL_4JL",  0.5,         ,         
"11",     "BL_X9n",  0.5,         ,         
"12",     "BL_sXT",  0.5,         ,         
