### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc"
"1",      "Blank",           0,        "A",   0.005
"2",      "BL_TUB",         0.5,      "B",   0.01
"3",      "BL_B8C",         0.5,      "C",   0.02
"4",      "BL_17L",         0.5,      "D",   0.03
"5",      "BL_I3D",         0.5,      "E",   0.06
"6",      "BL_8OR",         0.5,      "F",   0.10
"7",      "BL_R77",         0.5,      "G",   0.20
"8",      "BL_B9Y",         0.5,      "H",   0.50
"9",      "BL_1MO",         0.5,         ,       
"10",     "BL_2RM",         0.5,         ,       
"11",     "BL_Z9N",         0.5,         ,       
"12",     "BL_MN2",         0.5,         ,       
