### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc", "kcat",  "KM"
"1",      "Blank",           0,        "A",   0.005,    1,      1 
"2",      "BL_ZKJ",         0.5,      "B",   0.01,     216,      0.45
"3",      "BL_OI6",         0.5,      "C",   0.02,     48,      0.67
"4",      "BL_WMD",         0.5,      "D",   0.03,     73,      0.03
"5",      "BL_9Q3",         0.5,      "E",   0.06,     85,      0.26
"6",      "BL_GP5",         0.5,      "F",   0.10,     49,      0.45
"7",      "BL_3HA",         0.5,      "G",   0.20,     111,      0.55
"8",      "BL_TZD",         0.5,      "H",   0.50,     156,      0.69
"9",      "BL_AU2",         0.5,         ,       ,     139,      0.13 
"10",     "BL_IQ5",         0.5,         ,       ,     198,      0.37 
"11",     "BL_825",         0.5,         ,       ,     136,      0.17 
"12",     "BL_VUW",         0.5,         ,       ,     205,      0.04 
