,time,abs
0,       0.5,   0.00344
1,    0.6667,  0.001385
2,    0.8333,  0.002808
3,         1,   0.00194
4,     1.167,  0.004851
5,     1.333,  0.004262
6,       1.5,  0.007685
7,     1.667,  0.007299
8,     1.833,  0.007943
9,         2,  0.006438
10,     2.167,  0.008101
11,     2.333,   0.00795
12,       2.5,  0.008976
13,     2.667,   0.01058
14,     2.833,   0.01053
15,         3,   0.01037
16,     3.167,   0.01288
17,     3.333,   0.01196
18,       3.5,   0.01274
19,     3.667,   0.01271
20,     3.833,   0.01272
21,         4,   0.01424
22,     4.167,   0.01542
23,     4.333,   0.01572
24,       4.5,   0.01563
25,     4.667,   0.01628
26,     4.833,   0.01458
27,         5,   0.01665
28,     5.167,   0.01925
29,     5.333,   0.01752
30,       5.5,   0.01937
31,     5.667,   0.02143
32,     5.833,   0.02014
33,         6,   0.01913
34,     6.167,   0.02142
35,     6.333,   0.02191
36,       6.5,   0.02295
37,     6.667,   0.02288
38,     6.833,   0.02163
39,         7,   0.02337
40,     7.167,   0.02522
41,     7.333,   0.02541
42,       7.5,   0.02506
43,     7.667,   0.02786
44,     7.833,    0.0262
45,         8,   0.02695
46,     8.167,   0.02637
47,     8.333,   0.02801
48,       8.5,    0.0287
49,     8.667,   0.02742
50,     8.833,   0.02908
51,         9,   0.02751
52,     9.167,    0.0292
53,     9.333,   0.03041
54,       9.5,   0.03076
55,     9.667,   0.03147
56,     9.833,   0.03074
57,        10,   0.03249
58,     10.17,   0.03404
59,     10.33,   0.03236
60,      10.5,   0.03072
61,     10.67,   0.03108
62,     10.83,   0.03241
63,        11,   0.03381
64,     11.17,   0.03544
65,     11.33,   0.03626
66,      11.5,   0.03446
67,     11.67,   0.03449
68,     11.83,   0.03627
69,        12,   0.03381
70,     12.17,    0.0368
71,     12.33,   0.03626
72,      12.5,   0.03711
73,     12.67,   0.03869
74,     12.83,   0.03771
75,        13,    0.0365
76,     13.17,   0.04028
77,     13.33,   0.03921
78,      13.5,   0.03946
79,     13.67,   0.03994
80,     13.83,    0.0408
81,        14,   0.04092
82,     14.17,   0.04087
83,     14.33,   0.04174
84,      14.5,   0.04151
85,     14.67,   0.04256
86,     14.83,   0.04105
87,        15,   0.04058
88,     15.17,    0.0418
89,     15.33,   0.04258
90,      15.5,   0.04396
91,     15.67,   0.04238
92,     15.83,   0.04308
93,        16,   0.04477
94,     16.17,   0.04467
95,     16.33,   0.04454
96,      16.5,   0.04594
97,     16.67,    0.0448
98,     16.83,   0.04587
99,        17,   0.04599
100,     17.17,   0.04445
101,     17.33,   0.04671
102,      17.5,    0.0471
103,     17.67,   0.04781
104,     17.83,    0.0472
105,        18,   0.04867
106,     18.17,   0.04757
107,     18.33,   0.04827
108,      18.5,   0.04806
109,     18.67,   0.04861
110,     18.83,   0.04946
111,        19,   0.04935
112,     19.17,   0.04777
113,     19.33,   0.04906
114,      19.5,   0.04955
115,     19.67,    0.0506
116,     19.83,   0.05132
117,        20,   0.05104
118,     20.17,   0.05282
119,     20.33,   0.05243
120,      20.5,    0.0523
121,     20.67,    0.0514
122,     20.83,   0.05261
123,        21,   0.05229
124,     21.17,   0.05271
125,     21.33,   0.05402
126,      21.5,   0.05283
127,     21.67,   0.05266
128,     21.83,   0.05341
129,        22,   0.05525
130,     22.17,   0.05629
131,     22.33,   0.05382
132,      22.5,   0.05404
133,     22.67,   0.05408
134,     22.83,   0.05509
135,        23,   0.05653
136,     23.17,   0.05545
137,     23.33,   0.05533
138,      23.5,    0.0555
139,     23.67,   0.05547
140,     23.83,   0.05678
141,        24,   0.05753
142,     24.17,   0.05705
143,     24.33,   0.05599
144,      24.5,   0.05779
145,     24.67,   0.05764
146,     24.83,   0.05894
147,        25,   0.05717
148,     25.17,   0.05835
149,     25.33,   0.05961
150,      25.5,     0.059
151,     25.67,   0.05931
152,     25.83,   0.05943
153,        26,   0.06029
154,     26.17,   0.05963
155,     26.33,   0.05973
156,      26.5,   0.06107
157,     26.67,   0.06045
158,     26.83,   0.06063
159,        27,    0.0599
160,     27.17,   0.05941
161,     27.33,   0.06129
162,      27.5,   0.06115
163,     27.67,    0.0619
164,     27.83,   0.06317
165,        28,   0.05939
166,     28.17,   0.06216
167,     28.33,   0.06197
168,      28.5,   0.06184
169,     28.67,   0.06211
170,     28.83,   0.06325
171,        29,   0.06146
172,     29.17,   0.06212
