,time,abs
0,       0.5, 0.0006189
1,    0.6667, 0.0001175
2,    0.8333, 6.589e-05
3,         1, 0.0008209
4,     1.167,  0.001239
5,     1.333,  0.002925
6,       1.5,  0.003101
7,     1.667,  0.001908
8,     1.833,   0.00227
9,         2,   0.00405
10,     2.167,  0.003265
11,     2.333,  0.005209
12,       2.5,  0.004523
13,     2.667,  0.002659
14,     2.833,  0.005226
15,         3,  0.004421
16,     3.167,  0.002586
17,     3.333,  0.004048
18,       3.5,  0.007988
19,     3.667,  0.004964
20,     3.833,  0.005279
21,         4,  0.005761
22,     4.167,  0.006867
23,     4.333,  0.005363
24,       4.5,  0.007491
25,     4.667,  0.007945
26,     4.833,  0.005302
27,         5,  0.007969
28,     5.167,  0.007629
29,     5.333,  0.009827
30,       5.5,  0.007692
31,     5.667,  0.008103
32,     5.833,  0.007571
33,         6,  0.007141
34,     6.167,   0.01084
35,     6.333,  0.009749
36,       6.5,  0.009276
37,     6.667,   0.01021
38,     6.833,   0.01107
39,         7,  0.007474
40,     7.167,   0.01216
41,     7.333,  0.009984
42,       7.5,   0.01219
43,     7.667,  0.009911
44,     7.833,   0.01153
45,         8,   0.01255
46,     8.167,   0.01163
47,     8.333,   0.01294
48,       8.5,   0.01108
49,     8.667,    0.0133
50,     8.833,   0.01378
51,         9,   0.01262
52,     9.167,   0.01482
53,     9.333,    0.0155
54,       9.5,   0.01655
55,     9.667,   0.01264
56,     9.833,   0.01494
57,        10,   0.01669
58,     10.17,   0.01453
59,     10.33,     0.016
60,      10.5,   0.01716
61,     10.67,   0.01913
62,     10.83,   0.01684
63,        11,   0.01587
64,     11.17,    0.0187
65,     11.33,   0.01907
66,      11.5,   0.01793
67,     11.67,   0.01816
68,     11.83,   0.01895
69,        12,   0.01883
70,     12.17,    0.0156
71,     12.33,   0.01787
72,      12.5,   0.01871
73,     12.67,    0.0197
74,     12.83,   0.01989
75,        13,   0.01777
76,     13.17,   0.01899
77,     13.33,   0.02039
78,      13.5,   0.01987
79,     13.67,   0.01937
80,     13.83,   0.02091
81,        14,   0.01976
82,     14.17,   0.02106
83,     14.33,   0.02181
84,      14.5,   0.02169
85,     14.67,   0.02265
86,     14.83,   0.02218
87,        15,   0.02429
88,     15.17,   0.02297
89,     15.33,   0.02266
90,      15.5,    0.0222
91,     15.67,   0.02428
92,     15.83,   0.02226
93,        16,   0.02475
94,     16.17,   0.02422
95,     16.33,   0.02426
96,      16.5,   0.02286
97,     16.67,   0.02314
98,     16.83,   0.02612
99,        17,   0.02463
100,     17.17,   0.02639
101,     17.33,    0.0256
102,      17.5,   0.02662
103,     17.67,   0.02568
104,     17.83,    0.0266
105,        18,   0.02669
106,     18.17,   0.02806
107,     18.33,   0.02719
108,      18.5,   0.02681
109,     18.67,   0.02825
110,     18.83,   0.02888
111,        19,   0.02799
112,     19.17,   0.02999
113,     19.33,   0.02939
114,      19.5,   0.03073
115,     19.67,   0.03022
116,     19.83,   0.03086
117,        20,   0.02896
118,     20.17,   0.03116
119,     20.33,   0.03051
120,      20.5,   0.03117
121,     20.67,   0.03196
122,     20.83,   0.03053
123,        21,   0.03149
124,     21.17,   0.03332
125,     21.33,    0.0307
126,      21.5,   0.03396
127,     21.67,   0.03371
128,     21.83,   0.03123
129,        22,   0.03381
130,     22.17,   0.03227
131,     22.33,   0.03423
132,      22.5,   0.03374
133,     22.67,   0.03541
134,     22.83,   0.03336
135,        23,   0.03338
136,     23.17,   0.03197
137,     23.33,   0.03526
138,      23.5,   0.03449
139,     23.67,     0.037
140,     23.83,   0.03584
141,        24,   0.03736
142,     24.17,   0.03602
143,     24.33,   0.03622
144,      24.5,   0.03873
145,     24.67,   0.03666
146,     24.83,   0.03613
147,        25,   0.03835
148,     25.17,   0.03774
149,     25.33,   0.03816
150,      25.5,   0.03825
151,     25.67,   0.04002
152,     25.83,   0.03873
153,        26,   0.03977
154,     26.17,   0.04027
155,     26.33,   0.03837
156,      26.5,    0.0413
157,     26.67,   0.04038
158,     26.83,   0.04083
159,        27,   0.04035
160,     27.17,   0.04198
161,     27.33,    0.0401
162,      27.5,   0.04139
163,     27.67,   0.04219
164,     27.83,   0.04204
165,        28,   0.04081
166,     28.17,   0.04218
167,     28.33,   0.04266
168,      28.5,   0.04273
169,     28.67,   0.04229
170,     28.83,    0.0437
171,        29,   0.04132
172,     29.17,   0.04402
173,     29.33,   0.04198
174,      29.5,   0.04342
175,     29.67,   0.04339
176,     29.83,   0.04465
177,        30,   0.04422
178,     30.17,   0.04486
179,     30.33,   0.04387
180,      30.5,   0.04592
181,     30.67,   0.04734
182,     30.83,   0.04563
183,        31,   0.04658
184,     31.17,   0.04696
185,     31.33,   0.04707
186,      31.5,   0.04836
187,     31.67,   0.04721
188,     31.83,    0.0483
189,        32,   0.04754
190,     32.17,   0.04889
191,     32.33,   0.04744
192,      32.5,   0.04731
193,     32.67,   0.04966
194,     32.83,   0.04831
195,        33,   0.05071
196,     33.17,   0.04848
197,     33.33,   0.04969
198,      33.5,   0.05025
199,     33.67,   0.05172
200,     33.83,   0.05172
201,        34,   0.05121
202,     34.17,   0.04935
203,     34.33,    0.0519
204,      34.5,   0.05133
205,     34.67,   0.05113
206,     34.83,   0.05283
207,        35,   0.05356
208,     35.17,   0.05197
209,     35.33,   0.05348
210,      35.5,   0.05093
211,     35.67,   0.05335
212,     35.83,   0.05472
213,        36,   0.05619
214,     36.17,   0.05537
215,     36.33,   0.05275
216,      36.5,   0.05484
217,     36.67,   0.05391
218,     36.83,   0.05701
219,        37,   0.05441
220,     37.17,   0.05674
221,     37.33,   0.05288
222,      37.5,   0.05601
223,     37.67,    0.0557
224,     37.83,   0.05946
225,        38,   0.05585
226,     38.17,    0.0566
227,     38.33,   0.05621
228,      38.5,   0.05718
229,     38.67,   0.05865
230,     38.83,    0.0572
231,        39,   0.05783
232,     39.17,   0.05863
233,     39.33,   0.05874
234,      39.5,   0.05971
235,     39.67,   0.05765
236,     39.83,   0.05802
237,        40,   0.05949
238,     40.17,   0.05911
239,     40.33,   0.06094
240,      40.5,   0.06153
241,     40.67,   0.06152
242,     40.83,   0.06069
243,        41,   0.06065
244,     41.17,   0.06359
245,     41.33,   0.06254
246,      41.5,     0.062
247,     41.67,   0.06405
248,     41.83,   0.06162
249,        42,   0.06444
250,     42.17,   0.06212
251,     42.33,   0.06414
252,      42.5,   0.06372
253,     42.67,   0.06185
254,     42.83,   0.06439
255,        43,   0.06249
256,     43.17,   0.06111
257,     43.33,   0.06387
258,      43.5,   0.06323
259,     43.67,   0.06597
260,     43.83,   0.06481
261,        44,   0.06303
262,     44.17,   0.06707
263,     44.33,   0.06601
264,      44.5,   0.06566
265,     44.67,   0.06749
266,     44.83,   0.06581
267,        45,   0.06726
268,     45.17,   0.06848
269,     45.33,   0.06926
270,      45.5,   0.06752
271,     45.67,   0.06701
272,     45.83,   0.06868
273,        46,   0.06796
274,     46.17,   0.06804
275,     46.33,   0.06817
276,      46.5,   0.06959
277,     46.67,   0.06985
278,     46.83,   0.06978
279,        47,   0.06783
280,     47.17,   0.07052
281,     47.33,   0.06856
282,      47.5,    0.0703
283,     47.67,   0.07268
284,     47.83,   0.07138
285,        48,   0.07098
286,     48.17,   0.07126
287,     48.33,    0.0713
288,      48.5,    0.0727
289,     48.67,   0.07161
290,     48.83,   0.07346
291,        49,   0.07151
292,     49.17,   0.07316
293,     49.33,   0.07351
294,      49.5,   0.07199
295,     49.67,   0.07308
296,     49.83,   0.07413
297,        50,   0.07281
298,     50.17,   0.07479
299,     50.33,   0.07246
300,      50.5,   0.07355
301,     50.67,   0.07465
302,     50.83,   0.07392
303,        51,    0.0754
304,     51.17,   0.07744
305,     51.33,   0.07526
306,      51.5,   0.07578
307,     51.67,   0.07623
308,     51.83,   0.07579
309,        52,   0.07653
310,     52.17,   0.07662
311,     52.33,   0.07619
312,      52.5,   0.07805
313,     52.67,   0.07789
314,     52.83,   0.07703
315,        53,   0.07892
316,     53.17,   0.07761
317,     53.33,   0.08008
318,      53.5,   0.07823
319,     53.67,   0.08019
