,time,abs
0,       0.5,  0.002126
1,    0.6667, 0.0007344
2,    0.8333,  0.003907
3,         1,  0.005746
4,     1.167,   0.00395
5,     1.333,  0.006055
6,       1.5,  0.004571
7,     1.667,  0.005452
8,     1.833,  0.008265
9,         2,  0.008088
10,     2.167,  0.009909
11,     2.333,  0.008185
12,       2.5,  0.009038
13,     2.667,   0.00872
14,     2.833,   0.00902
15,         3,   0.01282
16,     3.167,   0.01408
17,     3.333,   0.01421
18,       3.5,   0.01383
19,     3.667,   0.01574
20,     3.833,    0.0163
21,         4,   0.01586
22,     4.167,    0.0168
23,     4.333,   0.01728
24,       4.5,    0.0187
25,     4.667,   0.02045
26,     4.833,    0.0198
27,         5,   0.01832
28,     5.167,   0.02018
29,     5.333,   0.02161
30,       5.5,   0.02266
31,     5.667,   0.02385
32,     5.833,   0.02384
33,         6,   0.02342
34,     6.167,   0.02638
35,     6.333,   0.02708
36,       6.5,   0.02531
37,     6.667,   0.02688
38,     6.833,   0.02809
39,         7,   0.02879
40,     7.167,   0.02816
41,     7.333,   0.03142
42,       7.5,   0.02993
43,     7.667,   0.03273
44,     7.833,   0.03118
45,         8,   0.03161
46,     8.167,   0.03353
47,     8.333,   0.03446
48,       8.5,   0.03475
49,     8.667,   0.03661
50,     8.833,   0.03711
51,         9,   0.03705
52,     9.167,   0.03728
53,     9.333,   0.03673
54,       9.5,   0.03779
55,     9.667,   0.03889
56,     9.833,   0.04015
57,        10,   0.04074
58,     10.17,   0.04131
59,     10.33,   0.04113
60,      10.5,   0.04281
61,     10.67,   0.04343
62,     10.83,    0.0442
63,        11,    0.0427
64,     11.17,   0.04521
65,     11.33,   0.04786
66,      11.5,   0.04735
67,     11.67,   0.04762
68,     11.83,   0.04748
69,        12,   0.04774
70,     12.17,   0.04997
71,     12.33,   0.05011
72,      12.5,   0.05103
73,     12.67,   0.05255
74,     12.83,   0.05181
75,        13,   0.05274
76,     13.17,   0.05279
77,     13.33,   0.05122
78,      13.5,   0.05399
79,     13.67,   0.05535
80,     13.83,   0.05694
81,        14,   0.05835
82,     14.17,   0.05912
83,     14.33,   0.05618
84,      14.5,   0.05907
85,     14.67,   0.05782
86,     14.83,   0.06075
87,        15,   0.06057
88,     15.17,   0.06098
89,     15.33,   0.06097
90,      15.5,   0.06166
91,     15.67,    0.0634
92,     15.83,   0.06292
93,        16,    0.0663
94,     16.17,   0.06772
95,     16.33,   0.06674
96,      16.5,   0.06764
97,     16.67,    0.0671
98,     16.83,   0.07162
99,        17,   0.06826
100,     17.17,     0.071
101,     17.33,   0.06884
102,      17.5,   0.06859
103,     17.67,   0.07127
104,     17.83,   0.07378
105,        18,   0.07321
106,     18.17,   0.07429
107,     18.33,    0.0718
108,      18.5,   0.07498
109,     18.67,   0.07573
110,     18.83,   0.07801
111,        19,   0.07723
112,     19.17,   0.07743
113,     19.33,   0.07722
114,      19.5,   0.07713
115,     19.67,   0.07696
116,     19.83,   0.08005
117,        20,   0.08019
118,     20.17,    0.0804
119,     20.33,   0.08087
120,      20.5,   0.08311
121,     20.67,   0.08264
122,     20.83,   0.08366
123,        21,   0.08486
124,     21.17,   0.08482
125,     21.33,   0.08617
126,      21.5,    0.0858
127,     21.67,   0.08736
128,     21.83,     0.087
129,        22,   0.08826
130,     22.17,    0.0875
131,     22.33,   0.09056
132,      22.5,   0.09236
133,     22.67,   0.09155
134,     22.83,   0.09216
135,        23,    0.0919
136,     23.17,   0.09145
137,     23.33,     0.092
138,      23.5,   0.09413
139,     23.67,    0.0956
140,     23.83,   0.09538
141,        24,   0.09481
142,     24.17,   0.09875
143,     24.33,    0.0997
144,      24.5,   0.09821
145,     24.67,   0.09856
146,     24.83,    0.1013
147,        25,   0.09987
148,     25.17,    0.1025
149,     25.33,    0.1016
150,      25.5,    0.1024
151,     25.67,     0.105
152,     25.83,    0.1044
153,        26,    0.1022
154,     26.17,    0.1055
155,     26.33,    0.1052
156,      26.5,    0.1056
157,     26.67,     0.109
158,     26.83,     0.107
159,        27,    0.1113
160,     27.17,    0.1096
161,     27.33,    0.1091
162,      27.5,    0.1098
163,     27.67,    0.1125
164,     27.83,    0.1118
165,        28,    0.1119
166,     28.17,    0.1111
