,time,abs
0,       0.5,   0.00371
1,    0.6667,  0.007082
2,    0.8333,   0.00775
3,         1,  0.007575
4,     1.167,  0.008672
5,     1.333,   0.01096
6,       1.5,   0.01338
7,     1.667,   0.01572
8,     1.833,   0.01413
9,         2,   0.01767
10,     2.167,    0.0172
11,     2.333,   0.01932
12,       2.5,   0.02277
13,     2.667,   0.02082
14,     2.833,   0.02433
15,         3,   0.02508
16,     3.167,    0.0241
17,     3.333,   0.02949
18,       3.5,   0.02902
19,     3.667,   0.03044
20,     3.833,   0.03261
21,         4,   0.03269
22,     4.167,   0.03404
23,     4.333,   0.03411
24,       4.5,   0.03463
25,     4.667,   0.03877
26,     4.833,   0.03985
27,         5,   0.04303
28,     5.167,   0.04192
29,     5.333,   0.04508
30,       5.5,    0.0469
31,     5.667,   0.04724
32,     5.833,    0.0489
33,         6,   0.05205
34,     6.167,   0.05207
35,     6.333,   0.05428
36,       6.5,   0.05514
37,     6.667,   0.05691
38,     6.833,   0.05531
39,         7,   0.05871
40,     7.167,   0.05983
41,     7.333,   0.06035
42,       7.5,   0.06444
43,     7.667,    0.0641
44,     7.833,    0.0657
45,         8,   0.06478
46,     8.167,   0.06754
47,     8.333,   0.06835
48,       8.5,   0.07093
49,     8.667,   0.07233
50,     8.833,   0.07229
51,         9,    0.0765
52,     9.167,   0.07467
53,     9.333,   0.07593
54,       9.5,    0.0795
55,     9.667,   0.08154
56,     9.833,   0.07889
57,        10,   0.08227
58,     10.17,   0.08495
59,     10.33,   0.08683
60,      10.5,   0.08849
61,     10.67,   0.08894
62,     10.83,   0.08965
63,        11,   0.09186
64,     11.17,   0.09315
65,     11.33,   0.09535
66,      11.5,   0.09529
67,     11.67,     0.099
68,     11.83,   0.09808
69,        12,   0.09995
70,     12.17,     0.101
71,     12.33,    0.1027
72,      12.5,    0.1046
73,     12.67,    0.1057
74,     12.83,    0.1079
75,        13,    0.1094
76,     13.17,    0.1119
77,     13.33,    0.1102
78,      13.5,    0.1126
79,     13.67,    0.1135
80,     13.83,    0.1143
81,        14,     0.116
82,     14.17,    0.1185
83,     14.33,    0.1195
84,      14.5,    0.1203
85,     14.67,    0.1227
86,     14.83,    0.1243
87,        15,    0.1267
88,     15.17,     0.127
89,     15.33,    0.1276
90,      15.5,      0.13
91,     15.67,    0.1308
92,     15.83,    0.1315
93,        16,    0.1332
94,     16.17,    0.1353
95,     16.33,    0.1343
96,      16.5,    0.1357
97,     16.67,     0.139
98,     16.83,    0.1389
99,        17,    0.1416
100,     17.17,    0.1441
101,     17.33,     0.144
102,      17.5,    0.1452
103,     17.67,    0.1476
104,     17.83,    0.1462
105,        18,    0.1468
106,     18.17,    0.1512
107,     18.33,    0.1547
108,      18.5,    0.1535
109,     18.67,    0.1549
110,     18.83,    0.1563
111,        19,    0.1566
112,     19.17,    0.1592
113,     19.33,    0.1626
114,      19.5,    0.1637
115,     19.67,    0.1635
116,     19.83,    0.1647
117,        20,    0.1648
118,     20.17,    0.1684
119,     20.33,    0.1704
120,      20.5,    0.1709
121,     20.67,    0.1718
122,     20.83,    0.1728
123,        21,    0.1737
124,     21.17,    0.1752
125,     21.33,    0.1762
126,      21.5,    0.1786
127,     21.67,    0.1807
128,     21.83,    0.1805
129,        22,    0.1833
130,     22.17,    0.1838
131,     22.33,    0.1838
132,      22.5,    0.1871
133,     22.67,    0.1886
134,     22.83,    0.1906
135,        23,    0.1926
136,     23.17,    0.1938
137,     23.33,    0.1952
138,      23.5,    0.1951
139,     23.67,    0.1946
140,     23.83,    0.1969
141,        24,    0.1988
142,     24.17,     0.202
143,     24.33,    0.2038
144,      24.5,     0.203
145,     24.67,    0.2024
146,     24.83,    0.2066
147,        25,    0.2077
148,     25.17,    0.2093
149,     25.33,    0.2104
150,      25.5,    0.2101
151,     25.67,    0.2124
152,     25.83,    0.2139
153,        26,    0.2137
154,     26.17,    0.2184
155,     26.33,    0.2195
156,      26.5,    0.2188
157,     26.67,    0.2205
158,     26.83,    0.2213
159,        27,    0.2216
160,     27.17,    0.2239
161,     27.33,    0.2271
162,      27.5,    0.2284
163,     27.67,    0.2284
164,     27.83,    0.2307
165,        28,    0.2332
166,     28.17,    0.2331
167,     28.33,    0.2354
168,      28.5,    0.2343
169,     28.67,    0.2353
170,     28.83,    0.2374
171,        29,     0.242
172,     29.17,    0.2418
173,     29.33,    0.2423
174,      29.5,    0.2423
175,     29.67,    0.2475
176,     29.83,    0.2469
177,        30,    0.2506
178,     30.17,    0.2493
179,     30.33,    0.2503
180,      30.5,    0.2551
181,     30.67,     0.251
182,     30.83,    0.2571
183,        31,    0.2565
184,     31.17,    0.2587
185,     31.33,    0.2591
186,      31.5,    0.2571
187,     31.67,    0.2623
188,     31.83,    0.2651
189,        32,    0.2649
190,     32.17,    0.2675
191,     32.33,    0.2693
192,      32.5,    0.2697
193,     32.67,    0.2696
194,     32.83,    0.2728
195,        33,    0.2726
196,     33.17,    0.2761
197,     33.33,    0.2759
198,      33.5,    0.2772
199,     33.67,    0.2786
200,     33.83,    0.2807
201,        34,    0.2819
202,     34.17,    0.2828
203,     34.33,    0.2839
204,      34.5,    0.2859
205,     34.67,     0.287
206,     34.83,    0.2869
