,time,abs
0,       0.5,-0.0006066
1,    0.6667, 0.0002078
2,    0.8333,  0.002956
3,         1,  0.003786
4,     1.167,  0.003848
5,     1.333,  0.003122
6,       1.5,  0.002808
7,     1.667,  0.001099
8,     1.833,  0.003748
9,         2,  0.003864
10,     2.167,  0.003526
11,     2.333,  0.004437
12,       2.5,  0.003968
13,     2.667,  0.003601
14,     2.833,  0.003986
15,         3,  0.005594
16,     3.167,  0.006575
17,     3.333,  0.006802
18,       3.5,  0.004037
19,     3.667,   0.00674
20,     3.833,  0.006618
21,         4,  0.007344
22,     4.167,  0.007919
23,     4.333,  0.008391
24,       4.5,  0.008683
25,     4.667,  0.009675
26,     4.833,  0.009718
27,         5,  0.007571
28,     5.167,   0.00765
29,     5.333,   0.01003
30,       5.5,  0.008756
31,     5.667,   0.01196
32,     5.833,   0.00946
33,         6,    0.0113
34,     6.167,  0.008775
35,     6.333,   0.01224
36,       6.5,   0.01211
37,     6.667,   0.01103
38,     6.833,   0.01203
39,         7,   0.01253
40,     7.167,   0.01504
41,     7.333,    0.0143
42,       7.5,   0.01322
43,     7.667,   0.01061
44,     7.833,   0.01185
45,         8,   0.01323
46,     8.167,   0.01336
47,     8.333,   0.01354
48,       8.5,   0.01482
49,     8.667,   0.01674
50,     8.833,   0.01517
51,         9,   0.01641
52,     9.167,   0.01569
53,     9.333,   0.01627
54,       9.5,   0.01538
55,     9.667,    0.0176
56,     9.833,   0.01662
57,        10,   0.01777
58,     10.17,   0.01642
59,     10.33,   0.01867
60,      10.5,   0.01815
61,     10.67,   0.01783
62,     10.83,   0.01886
63,        11,    0.0205
64,     11.17,   0.01868
65,     11.33,   0.02066
66,      11.5,   0.02051
67,     11.67,   0.02062
68,     11.83,   0.02198
69,        12,   0.02108
70,     12.17,    0.0217
71,     12.33,    0.0208
72,      12.5,   0.02199
73,     12.67,   0.02286
74,     12.83,   0.02065
75,        13,    0.0228
76,     13.17,   0.02305
77,     13.33,    0.0217
78,      13.5,   0.02222
79,     13.67,   0.02522
80,     13.83,    0.0258
81,        14,   0.02583
82,     14.17,   0.02386
83,     14.33,   0.02355
84,      14.5,   0.02435
85,     14.67,   0.02379
86,     14.83,   0.02619
87,        15,   0.02656
88,     15.17,   0.02607
89,     15.33,   0.02551
90,      15.5,   0.02706
91,     15.67,   0.02678
92,     15.83,   0.02812
93,        16,   0.02823
94,     16.17,   0.02628
95,     16.33,   0.02769
96,      16.5,   0.02904
97,     16.67,   0.02811
98,     16.83,   0.02672
99,        17,   0.02816
100,     17.17,   0.03002
101,     17.33,   0.02767
102,      17.5,   0.02965
103,     17.67,   0.02885
104,     17.83,   0.02879
105,        18,   0.02936
106,     18.17,   0.03129
107,     18.33,   0.03057
108,      18.5,   0.03066
109,     18.67,   0.03006
110,     18.83,   0.03142
111,        19,   0.03435
112,     19.17,   0.03336
113,     19.33,    0.0314
114,      19.5,   0.03188
115,     19.67,   0.03161
116,     19.83,   0.03211
117,        20,   0.03346
118,     20.17,   0.03224
119,     20.33,    0.0338
120,      20.5,   0.03461
121,     20.67,   0.03334
122,     20.83,   0.03462
123,        21,   0.03507
124,     21.17,   0.03526
125,     21.33,   0.03599
126,      21.5,   0.03612
127,     21.67,   0.03292
128,     21.83,   0.03618
129,        22,   0.03558
130,     22.17,    0.0359
131,     22.33,   0.03561
132,      22.5,   0.03777
133,     22.67,   0.03546
134,     22.83,   0.03789
135,        23,   0.03747
136,     23.17,   0.03737
137,     23.33,   0.03851
138,      23.5,   0.03613
139,     23.67,   0.04015
140,     23.83,   0.03772
141,        24,   0.03891
142,     24.17,   0.03963
143,     24.33,   0.03842
144,      24.5,   0.03846
145,     24.67,   0.03753
146,     24.83,   0.03988
147,        25,   0.04057
148,     25.17,   0.03831
149,     25.33,   0.04086
