,time,abs
0,       0.5, 0.0004851
1,    0.6667,  0.001388
2,    0.8333, 0.0005221
3,         1,   0.00171
4,     1.167, 0.0009697
5,     1.333,  0.001731
6,       1.5, 0.0006483
7,     1.667,  0.001194
8,     1.833,  0.001029
9,         2,  0.002402
10,     2.167,  0.003597
11,     2.333,-0.0001121
12,       2.5,  0.002632
13,     2.667,  0.001678
14,     2.833,-8.908e-05
15,         3,  0.003188
16,     3.167,  0.002357
17,     3.333,  0.001198
18,       3.5, 0.0001446
19,     3.667, -0.000419
20,     3.833,  0.001256
21,         4,  0.001714
22,     4.167,  0.001506
23,     4.333,  0.001562
24,       4.5,  0.001244
25,     4.667,  0.001566
26,     4.833,  0.002783
27,         5,   0.00389
28,     5.167,  0.002024
29,     5.333,   0.00279
30,       5.5,  0.003037
31,     5.667,  0.004347
32,     5.833,  0.003816
33,         6,  0.001499
34,     6.167,  0.004628
35,     6.333,  0.003187
36,       6.5,  0.001822
37,     6.667,  0.005605
38,     6.833,  0.003374
39,         7,  0.002533
40,     7.167,  0.005655
41,     7.333,  0.004259
42,       7.5,  0.003731
43,     7.667,  0.005347
44,     7.833,  0.003352
45,         8,  0.004074
46,     8.167,  0.002879
47,     8.333,  0.003647
48,       8.5,  0.003472
49,     8.667,  0.004598
50,     8.833,    0.0043
51,         9,   0.00654
52,     9.167,  0.004596
53,     9.333,  0.006182
54,       9.5,  0.003336
55,     9.667,  0.004799
56,     9.833,  0.003985
57,        10,  0.005792
58,     10.17,  0.003979
59,     10.33,  0.005744
60,      10.5,  0.004906
61,     10.67,  0.007224
62,     10.83,  0.006735
63,        11,  0.006494
64,     11.17,  0.006483
65,     11.33,  0.006506
66,      11.5,  0.005974
67,     11.67,   0.00529
68,     11.83,  0.006676
69,        12,  0.007133
70,     12.17,  0.005322
71,     12.33,  0.007847
72,      12.5,  0.005954
73,     12.67,  0.005485
74,     12.83,  0.006987
75,        13,  0.007014
76,     13.17,  0.004596
77,     13.33,  0.006637
78,      13.5,  0.006379
79,     13.67,  0.009165
80,     13.83,   0.00738
81,        14,  0.005368
82,     14.17,  0.006278
83,     14.33,  0.008319
84,      14.5,    0.0075
85,     14.67,  0.007909
86,     14.83,  0.008102
87,        15,  0.006157
88,     15.17,  0.007375
89,     15.33,  0.007374
90,      15.5,    0.0089
91,     15.67,  0.008109
92,     15.83,  0.008425
93,        16,  0.009342
94,     16.17,  0.007559
95,     16.33,   0.00884
96,      16.5,  0.009528
97,     16.67,  0.008658
98,     16.83,    0.0086
99,        17,  0.008607
100,     17.17,  0.007274
101,     17.33,  0.007084
102,      17.5,   0.01209
103,     17.67,   0.01177
104,     17.83,  0.008059
105,        18,    0.0084
106,     18.17,  0.007648
107,     18.33,   0.01108
108,      18.5,   0.01295
109,     18.67,  0.008782
110,     18.83,    0.0089
111,        19,   0.01042
112,     19.17,   0.01056
113,     19.33,   0.00961
114,      19.5,   0.01066
115,     19.67,   0.01109
116,     19.83,   0.01021
117,        20,   0.01215
118,     20.17,   0.01153
119,     20.33,   0.01096
120,      20.5,  0.009543
121,     20.67,   0.01214
122,     20.83,  0.009808
123,        21,  0.009069
124,     21.17,   0.01053
125,     21.33,   0.01107
126,      21.5,    0.0106
127,     21.67,   0.01152
128,     21.83,   0.01053
129,        22,   0.01053
130,     22.17,   0.01156
131,     22.33,   0.01108
132,      22.5,   0.01113
133,     22.67,   0.01046
134,     22.83,   0.01226
135,        23,   0.01365
136,     23.17,   0.01153
137,     23.33,   0.01243
138,      23.5,   0.01156
139,     23.67,   0.01003
140,     23.83,   0.01031
141,        24,   0.01214
142,     24.17,   0.01119
143,     24.33,   0.01164
144,      24.5,   0.01091
145,     24.67,   0.01184
146,     24.83,   0.01376
147,        25,   0.01144
148,     25.17,   0.01115
149,     25.33,   0.01218
150,      25.5,   0.01466
151,     25.67,   0.01245
152,     25.83,   0.01379
153,        26,   0.01302
154,     26.17,   0.01181
155,     26.33,   0.01284
156,      26.5,   0.01392
157,     26.67,   0.01143
158,     26.83,   0.01049
159,        27,   0.01325
160,     27.17,   0.01352
161,     27.33,   0.01297
162,      27.5,   0.01474
163,     27.67,   0.01308
164,     27.83,   0.01472
165,        28,   0.01379
166,     28.17,   0.01408
167,     28.33,   0.01386
168,      28.5,   0.01435
169,     28.67,   0.01486
170,     28.83,   0.01307
171,        29,   0.01374
172,     29.17,   0.01545
173,     29.33,   0.01454
174,      29.5,   0.01326
175,     29.67,   0.01541
176,     29.83,   0.01463
177,        30,   0.01425
178,     30.17,   0.01371
179,     30.33,   0.01315
180,      30.5,   0.01737
181,     30.67,   0.01379
182,     30.83,   0.01511
183,        31,   0.01435
184,     31.17,   0.01615
185,     31.33,    0.0126
186,      31.5,    0.0131
187,     31.67,   0.01564
188,     31.83,   0.01408
189,        32,   0.01584
190,     32.17,   0.01419
191,     32.33,   0.01612
192,      32.5,   0.01417
193,     32.67,   0.01639
194,     32.83,   0.01571
195,        33,    0.0144
196,     33.17,     0.014
197,     33.33,   0.01614
198,      33.5,   0.01641
199,     33.67,   0.01571
200,     33.83,   0.01515
201,        34,   0.01501
202,     34.17,   0.01705
203,     34.33,   0.01635
204,      34.5,   0.01609
205,     34.67,   0.01456
206,     34.83,   0.01562
207,        35,   0.01616
208,     35.17,   0.01572
209,     35.33,   0.01721
210,      35.5,   0.01663
211,     35.67,   0.01568
212,     35.83,   0.01677
213,        36,   0.01711
214,     36.17,   0.01689
215,     36.33,   0.01638
216,      36.5,   0.01415
217,     36.67,   0.01731
218,     36.83,   0.01776
219,        37,    0.0188
220,     37.17,   0.01786
221,     37.33,   0.01544
222,      37.5,   0.01771
223,     37.67,   0.01704
224,     37.83,   0.01605
225,        38,   0.01807
226,     38.17,   0.01816
227,     38.33,   0.01846
228,      38.5,   0.01577
229,     38.67,     0.018
230,     38.83,   0.01582
231,        39,   0.01836
232,     39.17,   0.01563
233,     39.33,   0.01864
234,      39.5,    0.0159
235,     39.67,   0.01867
236,     39.83,    0.0195
237,        40,   0.02046
238,     40.17,   0.01903
239,     40.33,   0.01649
240,      40.5,   0.01883
241,     40.67,   0.01791
242,     40.83,   0.01895
243,        41,   0.01845
244,     41.17,   0.01792
245,     41.33,   0.01766
246,      41.5,   0.01769
247,     41.67,   0.02022
248,     41.83,   0.01814
249,        42,   0.01583
250,     42.17,   0.01713
251,     42.33,   0.01845
252,      42.5,   0.01859
253,     42.67,   0.01801
254,     42.83,   0.01714
255,        43,   0.01781
256,     43.17,   0.01901
257,     43.33,   0.01821
258,      43.5,   0.01847
259,     43.67,   0.01963
260,     43.83,   0.01949
261,        44,   0.01917
262,     44.17,   0.01847
263,     44.33,   0.02018
264,      44.5,   0.01932
265,     44.67,    0.0183
266,     44.83,   0.02017
267,        45,   0.02092
268,     45.17,   0.01847
269,     45.33,   0.02068
270,      45.5,   0.02008
271,     45.67,   0.01919
272,     45.83,    0.0199
273,        46,   0.02035
274,     46.17,   0.01885
275,     46.33,    0.0203
276,      46.5,   0.02089
277,     46.67,   0.02127
278,     46.83,   0.02275
279,        47,   0.01959
280,     47.17,   0.01953
281,     47.33,   0.02134
282,      47.5,   0.01943
283,     47.67,   0.01896
284,     47.83,   0.01965
285,        48,   0.02193
286,     48.17,   0.02217
287,     48.33,   0.02051
288,      48.5,   0.01987
289,     48.67,    0.0227
290,     48.83,   0.02097
291,        49,   0.02085
292,     49.17,   0.02114
293,     49.33,   0.01989
294,      49.5,   0.02112
295,     49.67,   0.02096
