,time,abs
0,       0.5,  0.001734
1,    0.6667,-0.0007703
2,    0.8333,  0.002523
3,         1,  0.002744
4,     1.167,  0.003835
5,     1.333,  0.004549
6,       1.5,  0.004054
7,     1.667,  0.004642
8,     1.833,   0.00683
9,         2,  0.006677
10,     2.167,  0.006021
11,     2.333,  0.006266
12,       2.5,   0.00737
13,     2.667,  0.008669
14,     2.833,  0.006483
15,         3,  0.008672
16,     3.167,  0.009606
17,     3.333,  0.009458
18,       3.5,  0.009222
19,     3.667,   0.01242
20,     3.833,   0.01227
21,         4,   0.01207
22,     4.167,   0.01344
23,     4.333,   0.01357
24,       4.5,   0.01339
25,     4.667,   0.01375
26,     4.833,   0.01483
27,         5,   0.01576
28,     5.167,   0.01713
29,     5.333,   0.01565
30,       5.5,   0.01571
31,     5.667,   0.01718
32,     5.833,   0.01672
33,         6,   0.01636
34,     6.167,   0.01827
35,     6.333,   0.01692
36,       6.5,   0.02004
37,     6.667,   0.02008
38,     6.833,   0.01876
39,         7,      0.02
40,     7.167,    0.0209
41,     7.333,   0.02146
42,       7.5,   0.02118
43,     7.667,   0.02303
44,     7.833,   0.02393
45,         8,   0.02337
46,     8.167,   0.02373
47,     8.333,   0.02439
48,       8.5,   0.02395
49,     8.667,   0.02667
50,     8.833,   0.02627
51,         9,   0.02651
52,     9.167,   0.02808
53,     9.333,   0.02557
54,       9.5,   0.02749
55,     9.667,   0.02884
56,     9.833,   0.02796
57,        10,   0.02722
58,     10.17,   0.02944
59,     10.33,   0.02896
60,      10.5,    0.0305
61,     10.67,   0.03147
62,     10.83,   0.03014
63,        11,   0.03046
64,     11.17,   0.03131
65,     11.33,   0.03282
66,      11.5,   0.03135
67,     11.67,   0.03285
68,     11.83,   0.03329
69,        12,   0.03517
70,     12.17,   0.03491
71,     12.33,   0.03349
72,      12.5,   0.03606
73,     12.67,   0.03691
74,     12.83,   0.03722
75,        13,   0.03764
76,     13.17,   0.03705
77,     13.33,   0.03807
78,      13.5,   0.03875
79,     13.67,   0.03948
80,     13.83,   0.03697
81,        14,   0.04171
82,     14.17,   0.03951
83,     14.33,   0.03805
84,      14.5,    0.0412
85,     14.67,    0.0412
86,     14.83,   0.04143
87,        15,   0.04281
88,     15.17,   0.04277
89,     15.33,   0.04232
90,      15.5,   0.04348
91,     15.67,   0.04449
92,     15.83,   0.04566
93,        16,   0.04471
94,     16.17,   0.04463
95,     16.33,   0.04506
96,      16.5,   0.04672
97,     16.67,   0.04703
98,     16.83,     0.047
99,        17,   0.04692
100,     17.17,   0.04682
101,     17.33,   0.04558
102,      17.5,   0.04783
103,     17.67,   0.04785
104,     17.83,   0.04745
105,        18,   0.05029
106,     18.17,   0.05207
107,     18.33,   0.04859
108,      18.5,   0.04914
109,     18.67,   0.05141
110,     18.83,    0.0517
111,        19,   0.05219
112,     19.17,   0.05121
113,     19.33,   0.05275
114,      19.5,   0.05277
115,     19.67,   0.05201
116,     19.83,   0.05409
117,        20,   0.05616
118,     20.17,    0.0539
119,     20.33,   0.05623
120,      20.5,   0.05716
121,     20.67,   0.05643
