,time,abs
0,       0.5,  0.001257
1,    0.6667,  0.002616
2,    0.8333,  0.005716
3,         1,  0.005111
4,     1.167,  0.004705
5,     1.333,  0.007224
6,       1.5,   0.00609
7,     1.667,  0.007716
8,     1.833,   0.01165
9,         2,  0.009363
10,     2.167,   0.01075
11,     2.333,    0.0147
12,       2.5,   0.01318
13,     2.667,   0.01378
14,     2.833,   0.01447
15,         3,   0.01488
16,     3.167,   0.01602
17,     3.333,   0.01697
18,       3.5,   0.01869
19,     3.667,    0.0191
20,     3.833,   0.02102
21,         4,   0.02035
22,     4.167,   0.02304
23,     4.333,   0.02392
24,       4.5,   0.02037
25,     4.667,   0.02202
26,     4.833,   0.02549
27,         5,   0.02475
28,     5.167,    0.0246
29,     5.333,   0.02628
30,       5.5,   0.02871
31,     5.667,   0.02827
32,     5.833,   0.03081
33,         6,   0.03089
34,     6.167,   0.03028
35,     6.333,   0.03226
36,       6.5,   0.03252
37,     6.667,   0.03446
38,     6.833,   0.03343
39,         7,   0.03567
40,     7.167,   0.03638
41,     7.333,   0.03782
42,       7.5,   0.03836
43,     7.667,    0.0401
44,     7.833,   0.04038
45,         8,   0.04149
46,     8.167,   0.04117
47,     8.333,   0.04199
48,       8.5,   0.04508
49,     8.667,   0.04423
50,     8.833,   0.04361
51,         9,   0.04604
52,     9.167,   0.04429
53,     9.333,   0.04807
54,       9.5,   0.04852
55,     9.667,   0.05124
56,     9.833,   0.04806
57,        10,   0.05057
58,     10.17,   0.04999
59,     10.33,   0.05163
60,      10.5,   0.05417
61,     10.67,   0.05416
62,     10.83,   0.05398
63,        11,   0.05481
64,     11.17,   0.05884
65,     11.33,   0.05491
66,      11.5,   0.05785
67,     11.67,   0.05764
68,     11.83,   0.05888
69,        12,   0.05995
70,     12.17,    0.0603
71,     12.33,   0.06104
72,      12.5,    0.0617
73,     12.67,   0.06369
74,     12.83,   0.06419
75,        13,   0.06632
76,     13.17,   0.06774
77,     13.33,   0.06622
78,      13.5,    0.0669
79,     13.67,   0.06804
80,     13.83,   0.06887
81,        14,   0.07264
82,     14.17,    0.0703
83,     14.33,    0.0715
84,      14.5,   0.07148
85,     14.67,   0.07453
86,     14.83,   0.07319
87,        15,   0.07237
88,     15.17,   0.07444
89,     15.33,   0.07447
90,      15.5,   0.07759
91,     15.67,   0.07735
92,     15.83,   0.07627
93,        16,   0.07885
94,     16.17,   0.07749
95,     16.33,   0.07988
96,      16.5,   0.08096
97,     16.67,      0.08
98,     16.83,   0.07976
99,        17,   0.08246
100,     17.17,   0.08624
101,     17.33,   0.08441
102,      17.5,   0.08631
103,     17.67,   0.08874
104,     17.83,   0.08551
105,        18,   0.08752
106,     18.17,   0.08824
107,     18.33,   0.08907
108,      18.5,    0.0904
109,     18.67,   0.09122
110,     18.83,   0.09165
111,        19,   0.09058
112,     19.17,   0.09194
113,     19.33,   0.09153
114,      19.5,   0.09383
115,     19.67,   0.09687
116,     19.83,    0.0971
117,        20,   0.09666
118,     20.17,   0.09619
119,     20.33,   0.09955
120,      20.5,   0.09956
121,     20.67,    0.1004
122,     20.83,    0.1016
123,        21,    0.1018
124,     21.17,    0.1004
125,     21.33,    0.1013
126,      21.5,    0.1045
127,     21.67,    0.1024
128,     21.83,    0.1048
129,        22,    0.1066
130,     22.17,     0.104
131,     22.33,    0.1093
132,      22.5,    0.1082
133,     22.67,    0.1113
134,     22.83,    0.1077
135,        23,    0.1084
136,     23.17,    0.1128
137,     23.33,    0.1123
138,      23.5,    0.1132
139,     23.67,    0.1123
140,     23.83,    0.1142
141,        24,     0.112
142,     24.17,    0.1171
143,     24.33,    0.1184
144,      24.5,    0.1183
145,     24.67,    0.1196
146,     24.83,    0.1179
147,        25,    0.1191
148,     25.17,    0.1214
149,     25.33,    0.1192
150,      25.5,    0.1204
151,     25.67,    0.1219
152,     25.83,    0.1215
153,        26,    0.1247
154,     26.17,    0.1264
155,     26.33,    0.1238
156,      26.5,    0.1258
157,     26.67,    0.1272
158,     26.83,    0.1272
159,        27,    0.1291
160,     27.17,     0.129
161,     27.33,    0.1306
162,      27.5,    0.1276
163,     27.67,    0.1312
164,     27.83,    0.1348
165,        28,    0.1313
166,     28.17,    0.1337
167,     28.33,    0.1343
168,      28.5,     0.134
169,     28.67,    0.1346
170,     28.83,    0.1345
171,        29,    0.1362
172,     29.17,    0.1374
173,     29.33,    0.1368
174,      29.5,    0.1381
175,     29.67,    0.1384
176,     29.83,    0.1386
177,        30,    0.1395
178,     30.17,    0.1406
179,     30.33,    0.1416
180,      30.5,    0.1417
181,     30.67,    0.1424
182,     30.83,    0.1432
