,time,abs
0,       0.5,   0.02705
1,    0.6667,   0.03372
2,    0.8333,   0.04388
3,         1,   0.05236
4,     1.167,   0.06251
5,     1.333,   0.06975
6,       1.5,   0.08042
7,     1.667,   0.08695
8,     1.833,   0.09638
9,         2,    0.1078
10,     2.167,    0.1135
11,     2.333,    0.1246
12,       2.5,    0.1313
13,     2.667,    0.1417
14,     2.833,    0.1503
15,         3,    0.1603
16,     3.167,    0.1676
17,     3.333,    0.1759
18,       3.5,    0.1843
19,     3.667,    0.1972
20,     3.833,    0.2041
21,         4,    0.2124
22,     4.167,    0.2224
23,     4.333,    0.2317
24,       4.5,    0.2373
25,     4.667,    0.2488
26,     4.833,     0.256
27,         5,    0.2666
28,     5.167,    0.2726
29,     5.333,    0.2834
30,       5.5,    0.2913
31,     5.667,    0.3013
32,     5.833,    0.3092
33,         6,    0.3201
34,     6.167,    0.3263
35,     6.333,     0.336
36,       6.5,    0.3446
37,     6.667,    0.3535
38,     6.833,    0.3632
39,         7,    0.3709
40,     7.167,    0.3817
41,     7.333,    0.3893
42,       7.5,    0.3965
43,     7.667,    0.4032
44,     7.833,    0.4167
45,         8,    0.4239
46,     8.167,    0.4352
47,     8.333,    0.4436
48,       8.5,    0.4523
49,     8.667,      0.46
50,     8.833,    0.4655
51,         9,    0.4779
52,     9.167,    0.4857
53,     9.333,    0.4938
54,       9.5,    0.5028
55,     9.667,    0.5114
56,     9.833,    0.5207
57,        10,    0.5314
58,     10.17,    0.5382
59,     10.33,    0.5447
60,      10.5,    0.5527
61,     10.67,    0.5641
62,     10.83,    0.5715
63,        11,    0.5834
64,     11.17,    0.5918
65,     11.33,    0.5979
66,      11.5,    0.6083
67,     11.67,    0.6165
68,     11.83,    0.6284
69,        12,    0.6348
70,     12.17,    0.6398
71,     12.33,    0.6558
72,      12.5,    0.6626
73,     12.67,    0.6719
74,     12.83,    0.6777
75,        13,    0.6885
76,     13.17,    0.6944
77,     13.33,    0.7072
78,      13.5,    0.7145
79,     13.67,    0.7237
80,     13.83,    0.7335
81,        14,    0.7416
82,     14.17,    0.7491
83,     14.33,    0.7538
84,      14.5,    0.7641
85,     14.67,    0.7693
86,     14.83,    0.7788
87,        15,    0.7937
88,     15.17,     0.804
89,     15.33,    0.8095
90,      15.5,    0.8193
91,     15.67,    0.8335
92,     15.83,    0.8378
93,        16,    0.8476
94,     16.17,    0.8548
95,     16.33,    0.8627
96,      16.5,    0.8683
97,     16.67,    0.8754
98,     16.83,    0.8921
99,        17,    0.8982
100,     17.17,    0.9063
101,     17.33,     0.914
102,      17.5,    0.9231
103,     17.67,    0.9322
104,     17.83,    0.9422
105,        18,    0.9575
106,     18.17,    0.9622
107,     18.33,    0.9676
108,      18.5,    0.9705
109,     18.67,    0.9793
110,     18.83,    0.9982
111,        19,     1.002
112,     19.17,     1.012
113,     19.33,     1.024
114,      19.5,     1.025
115,     19.67,     1.037
116,     19.83,     1.054
117,        20,     1.055
118,     20.17,     1.067
119,     20.33,     1.073
120,      20.5,     1.081
121,     20.67,     1.101
122,     20.83,     1.098
123,        21,      1.11
124,     21.17,     1.109
125,     21.33,     1.128
126,      21.5,     1.137
127,     21.67,     1.143
128,     21.83,     1.143
129,        22,     1.152
130,     22.17,     1.172
131,     22.33,     1.172
132,      22.5,     1.193
133,     22.67,     1.188
134,     22.83,     1.202
135,        23,     1.213
136,     23.17,     1.228
137,     23.33,     1.233
138,      23.5,     1.235
139,     23.67,      1.26
140,     23.83,     1.254
141,        24,      1.27
142,     24.17,     1.253
143,     24.33,     1.273
144,      24.5,     1.287
