,time,abs
0,       0.5,  0.002045
1,    0.6667,  0.001174
2,    0.8333,  0.002542
3,         1,  0.002313
4,     1.167,   0.00104
5,     1.333, 6.714e-05
6,       1.5, 0.0003936
7,     1.667, 1.749e-05
8,     1.833,-0.0003014
9,         2,-0.0002877
10,     2.167, 7.009e-05
11,     2.333, 0.0002054
12,       2.5,-0.0008439
13,     2.667,  0.001035
14,     2.833,-0.0007179
15,         3,-0.0002177
16,     3.167, 0.0009255
17,     3.333, 0.0002315
18,       3.5, 0.0005077
19,     3.667,-0.0005529
20,     3.833,-0.0007147
21,         4,-0.0005872
22,     4.167, -0.001378
23,     4.333,  0.001365
24,       4.5, 0.0009213
25,     4.667,-0.0006504
26,     4.833, -0.000528
27,         5,  0.001004
28,     5.167,  0.001466
29,     5.333,-0.0003121
30,       5.5, -0.000365
31,     5.667,-0.0009494
32,     5.833, 0.0004372
33,         6,  0.001681
34,     6.167, 0.0002044
35,     6.333,-0.0004122
36,       6.5,  0.001867
37,     6.667,   0.00122
38,     6.833,-0.0009261
39,         7,  0.002293
40,     7.167,-0.0006148
41,     7.333, 0.0006248
42,       7.5, -0.001808
43,     7.667, 0.0004922
44,     7.833, 0.0001795
45,         8, 0.0006698
46,     8.167, 0.0008541
47,     8.333,-3.534e-05
48,       8.5,  0.001419
49,     8.667,-0.0002273
50,     8.833,  0.001599
51,         9,  0.002965
52,     9.167,  0.001571
53,     9.333,   0.00176
54,       9.5, 0.0004675
55,     9.667,  0.001017
56,     9.833, 0.0007965
57,        10,-0.0001969
58,     10.17,   0.00204
59,     10.33,-0.0007062
60,      10.5,  0.001538
61,     10.67,-0.0001069
62,     10.83,  0.001464
63,        11,-0.0004083
64,     11.17,   0.00208
65,     11.33,-0.0002479
66,      11.5, 4.377e-05
67,     11.67,-0.0007727
68,     11.83,  0.002164
69,        12, -0.001057
70,     12.17, 0.0002271
71,     12.33,-0.0007019
72,      12.5,  0.001779
73,     12.67,  0.003702
74,     12.83, -0.001373
75,        13,  0.001839
76,     13.17,  0.001972
77,     13.33,  0.001283
78,      13.5,-0.0005875
79,     13.67,  0.002111
80,     13.83,  0.002713
81,        14,  0.001673
82,     14.17,  9.97e-05
83,     14.33, -0.002004
84,      14.5, 0.0007985
85,     14.67,-0.0004388
86,     14.83, 0.0006671
87,        15,  0.001219
88,     15.17, -0.003605
89,     15.33, 9.991e-06
90,      15.5,  0.003057
91,     15.67, 0.0009755
92,     15.83,  0.002308
93,        16,  0.001074
94,     16.17, 0.0001136
95,     16.33, 0.0001332
96,      16.5,  0.002002
97,     16.67, 0.0002949
98,     16.83,-0.0008897
99,        17, 6.504e-05
100,     17.17, 0.0004773
101,     17.33,  0.000742
102,      17.5,  0.001147
103,     17.67,  4.67e-05
104,     17.83,  0.001258
105,        18, 0.0003718
106,     18.17,-0.0007028
107,     18.33,  0.000706
108,      18.5,  0.000845
109,     18.67,  0.001625
110,     18.83,  0.001493
111,        19, 5.401e-05
112,     19.17,-0.0001629
113,     19.33,-0.0006201
114,      19.5, 0.0007609
115,     19.67,  0.002927
116,     19.83,-0.0002961
117,        20,-0.0001517
118,     20.17, 0.0003865
119,     20.33, 0.0003591
120,      20.5,  0.001719
121,     20.67,   0.00155
122,     20.83,   0.00167
123,        21,  0.001582
124,     21.17,  0.001185
125,     21.33,  0.000305
126,      21.5,  0.001795
127,     21.67,  -5.6e-05
128,     21.83, -0.001287
129,        22, 0.0004767
130,     22.17,-0.0006259
131,     22.33,  0.001433
132,      22.5,  0.002571
133,     22.67, 0.0009204
134,     22.83,-0.0005534
135,        23, 0.0006891
136,     23.17, 0.0001975
137,     23.33, 0.0004721
138,      23.5, 0.0003938
139,     23.67, 0.0003325
140,     23.83,  0.002678
141,        24,  0.001099
142,     24.17, 0.0002868
143,     24.33,-0.0002467
144,      24.5,  0.002298
145,     24.67, 0.0007001
146,     24.83, 6.791e-05
147,        25, -0.000416
148,     25.17,  0.001981
149,     25.33, -0.001121
150,      25.5,  0.002154
151,     25.67, 0.0005367
152,     25.83, 0.0005899
153,        26, 0.0007272
154,     26.17,  0.002623
155,     26.33,  0.002984
156,      26.5,  0.001031
157,     26.67,  0.001117
158,     26.83,  0.001272
159,        27, 0.0008941
160,     27.17, -0.000144
161,     27.33,  0.001362
162,      27.5,  0.001804
163,     27.67,  0.001302
164,     27.83,  0.002459
165,        28,   0.00174
166,     28.17,  0.001162
167,     28.33,-0.0005891
168,      28.5,-0.0009938
169,     28.67,  0.001326
170,     28.83,   0.00239
171,        29,  0.002106
172,     29.17,  0.001748
173,     29.33,-0.0001487
174,      29.5,  0.002645
175,     29.67,-0.0009576
176,     29.83,  0.000753
177,        30, 0.0009847
178,     30.17, 0.0009112
179,     30.33,  0.001727
180,      30.5,  0.003494
181,     30.67, -0.001281
182,     30.83,  0.001416
183,        31,  0.001566
184,     31.17, 0.0003948
185,     31.33,  0.002646
186,      31.5,  0.003163
187,     31.67,  0.001549
188,     31.83,-0.0009678
189,        32,  0.001619
190,     32.17, 0.0001661
191,     32.33,-0.0005399
192,      32.5, 0.0007082
193,     32.67,  0.001843
194,     32.83,-0.0002591
195,        33,-0.0004541
196,     33.17,  0.002905
197,     33.33,  0.002346
198,      33.5,  0.003069
199,     33.67, 0.0007622
200,     33.83,  0.001191
201,        34,-8.346e-05
202,     34.17,  0.001113
203,     34.33,  0.001663
204,      34.5,  0.002535
205,     34.67,  0.004187
206,     34.83,  0.003135
207,        35,   0.00183
208,     35.17,  0.002477
209,     35.33, 0.0003925
210,      35.5,  0.002185
211,     35.67,  0.002016
212,     35.83,   0.00297
213,        36,  0.001748
214,     36.17, 0.0007341
215,     36.33,  0.001167
216,      36.5,   0.00187
217,     36.67,  0.003918
218,     36.83,  0.001535
219,        37,  0.002014
220,     37.17,  0.003214
221,     37.33, 0.0009161
222,      37.5,-0.0005799
223,     37.67,  0.001356
224,     37.83,-0.0002495
225,        38, 0.0007575
226,     38.17,  0.002271
227,     38.33,  0.002391
228,      38.5,  0.002318
229,     38.67, 0.0001011
230,     38.83,  0.003096
231,        39,  0.004079
232,     39.17,  0.001308
233,     39.33,  0.001488
234,      39.5, -0.001834
235,     39.67, 0.0009589
236,     39.83,   0.00196
237,        40, 0.0003313
238,     40.17,   0.00259
239,     40.33,  0.001578
240,      40.5,  0.001896
241,     40.67,  0.003077
242,     40.83,-5.137e-05
243,        41, 0.0005887
244,     41.17,  0.001451
245,     41.33, 0.0001652
246,      41.5, 0.0009745
247,     41.67,  0.001647
248,     41.83,  0.002864
249,        42,  0.001026
250,     42.17,  0.002856
251,     42.33,  0.002398
252,      42.5,  0.002537
253,     42.67,  0.002746
254,     42.83,  0.001206
255,        43,  0.001528
256,     43.17, 0.0009102
257,     43.33,  0.001719
258,      43.5, 0.0006384
259,     43.67,  0.002609
260,     43.83,  0.001648
261,        44,  0.003488
262,     44.17,  0.003087
263,     44.33, 0.0005828
264,      44.5,  0.003032
265,     44.67,  0.002038
266,     44.83,  0.002288
267,        45,  0.001822
268,     45.17,  0.003332
269,     45.33,  0.001219
270,      45.5,  0.001388
271,     45.67, 7.786e-05
272,     45.83,  0.003514
273,        46,  0.002409
274,     46.17,   0.00067
275,     46.33, 0.0009764
276,      46.5,  0.002671
277,     46.67,  0.002261
278,     46.83,  0.001424
279,        47,   0.00184
280,     47.17,  0.003424
281,     47.33,  0.002142
282,      47.5,-0.0003332
283,     47.67,  0.001085
284,     47.83,   0.00327
285,        48,  0.001887
286,     48.17,  0.001279
287,     48.33,  0.003283
288,      48.5,   0.00115
289,     48.67, 0.0006067
290,     48.83,  0.001832
291,        49, 0.0006521
292,     49.17,  0.001437
293,     49.33,  0.002031
294,      49.5,   0.00251
295,     49.67,  0.002396
296,     49.83,  0.002387
297,        50,  0.002109
298,     50.17,  0.002401
299,     50.33,  0.001332
300,      50.5,  0.002669
301,     50.67,  0.002557
302,     50.83,  0.002792
303,        51,  0.003301
304,     51.17, 0.0002114
305,     51.33,  0.002606
306,      51.5, 0.0007119
307,     51.67,  0.002202
308,     51.83,  0.002258
309,        52,  0.001273
310,     52.17,  0.001765
311,     52.33,  0.002838
312,      52.5,-0.0002408
313,     52.67,  0.002009
314,     52.83,  0.003522
315,        53, 0.0003555
316,     53.17,  0.002767
317,     53.33,  0.002971
318,      53.5,  0.002474
319,     53.67,  0.004096
320,     53.83, 2.422e-05
321,        54, 0.0001351
322,     54.17,  0.003895
323,     54.33, 0.0006346
324,      54.5,  0.001903
325,     54.67, 0.0005314
326,     54.83,  0.002556
327,        55,  0.001356
328,     55.17,  0.003304
329,     55.33, 0.0005723
330,      55.5,  0.002066
331,     55.67,  0.001931
332,     55.83,  0.002764
333,        56,  0.001515
334,     56.17, 0.0007197
335,     56.33,  0.002854
336,      56.5,  0.002124
337,     56.67,  0.002955
338,     56.83,  0.002747
339,        57,  0.003074
340,     57.17,  0.001035
341,     57.33,  0.001633
342,      57.5,  0.001585
343,     57.67,  0.001752
344,     57.83,  0.003756
345,        58,  0.001716
346,     58.17,  0.001666
347,     58.33,  0.002703
348,      58.5,  0.001468
349,     58.67,   0.00171
350,     58.83,  0.002071
351,        59,  0.003923
352,     59.17,  0.002822
353,     59.33, 0.0002798
354,      59.5,  0.002905
355,     59.67,  0.001787
356,     59.83,  0.001098
357,        60, 0.0008479
