,time,abs
0,       0.5,   0.00479
1,    0.6667,  0.005519
2,    0.8333,  0.009068
3,         1,  0.009264
4,     1.167,  0.008181
5,     1.333,   0.01117
6,       1.5,   0.01589
7,     1.667,   0.01719
8,     1.833,   0.01646
9,         2,   0.01734
10,     2.167,   0.02047
11,     2.333,   0.02249
12,       2.5,   0.02232
13,     2.667,   0.02658
14,     2.833,   0.02611
15,         3,   0.02689
16,     3.167,    0.0284
17,     3.333,   0.03024
18,       3.5,   0.03049
19,     3.667,   0.03439
20,     3.833,   0.03468
21,         4,   0.03458
22,     4.167,   0.03668
23,     4.333,   0.03948
24,       4.5,   0.04076
25,     4.667,   0.04193
26,     4.833,   0.04247
27,         5,   0.04437
28,     5.167,   0.04559
29,     5.333,   0.04541
30,       5.5,   0.04857
31,     5.667,   0.05138
32,     5.833,   0.05014
33,         6,    0.0515
34,     6.167,   0.05323
35,     6.333,   0.05158
36,       6.5,   0.05432
37,     6.667,   0.05574
38,     6.833,   0.05744
39,         7,   0.05808
40,     7.167,   0.06028
41,     7.333,   0.06368
42,       7.5,   0.06318
43,     7.667,    0.0628
44,     7.833,    0.0646
45,         8,    0.0662
46,     8.167,   0.06627
47,     8.333,   0.06742
48,       8.5,   0.06844
49,     8.667,   0.06985
50,     8.833,    0.0702
51,         9,   0.07242
52,     9.167,   0.07375
53,     9.333,   0.07314
54,       9.5,   0.07409
55,     9.667,   0.07579
56,     9.833,   0.07445
57,        10,    0.0779
58,     10.17,   0.08049
59,     10.33,   0.07809
60,      10.5,   0.08067
61,     10.67,   0.08227
62,     10.83,    0.0833
63,        11,   0.08362
64,     11.17,    0.0839
65,     11.33,   0.08489
66,      11.5,   0.08705
67,     11.67,   0.08754
68,     11.83,   0.08955
69,        12,   0.08962
70,     12.17,   0.09077
71,     12.33,   0.08847
72,      12.5,   0.09203
73,     12.67,   0.09296
74,     12.83,   0.09391
75,        13,   0.09413
76,     13.17,   0.09425
77,     13.33,   0.09577
78,      13.5,   0.09393
79,     13.67,   0.09659
80,     13.83,   0.09626
81,        14,   0.09873
82,     14.17,   0.09782
83,     14.33,     0.101
84,      14.5,    0.1016
85,     14.67,    0.1017
86,     14.83,    0.1027
87,        15,    0.1028
88,     15.17,    0.1029
89,     15.33,    0.1024
90,      15.5,    0.1052
91,     15.67,    0.1073
92,     15.83,    0.1054
93,        16,    0.1081
94,     16.17,    0.1061
95,     16.33,     0.109
96,      16.5,    0.1096
97,     16.67,    0.1118
98,     16.83,    0.1085
99,        17,    0.1109
100,     17.17,    0.1127
101,     17.33,    0.1104
102,      17.5,    0.1121
103,     17.67,    0.1142
104,     17.83,    0.1155
105,        18,    0.1144
106,     18.17,     0.114
107,     18.33,    0.1164
108,      18.5,    0.1164
109,     18.67,    0.1145
110,     18.83,    0.1158
111,        19,    0.1168
112,     19.17,    0.1166
113,     19.33,    0.1196
114,      19.5,    0.1187
115,     19.67,    0.1189
116,     19.83,    0.1197
117,        20,    0.1207
118,     20.17,    0.1201
119,     20.33,    0.1205
120,      20.5,    0.1219
121,     20.67,    0.1233
122,     20.83,    0.1237
123,        21,     0.125
124,     21.17,    0.1246
125,     21.33,     0.124
126,      21.5,    0.1255
127,     21.67,    0.1243
128,     21.83,    0.1269
129,        22,    0.1251
130,     22.17,    0.1259
131,     22.33,    0.1271
132,      22.5,    0.1253
133,     22.67,    0.1279
134,     22.83,      0.13
135,        23,    0.1289
136,     23.17,    0.1292
137,     23.33,    0.1289
138,      23.5,    0.1291
139,     23.67,    0.1307
140,     23.83,    0.1304
141,        24,    0.1305
142,     24.17,    0.1303
143,     24.33,    0.1301
144,      24.5,    0.1303
145,     24.67,    0.1325
146,     24.83,     0.134
147,        25,    0.1335
148,     25.17,    0.1317
149,     25.33,    0.1335
150,      25.5,    0.1374
151,     25.67,     0.136
152,     25.83,    0.1343
153,        26,    0.1336
154,     26.17,    0.1374
155,     26.33,    0.1353
156,      26.5,    0.1344
157,     26.67,    0.1357
158,     26.83,    0.1368
159,        27,    0.1345
160,     27.17,    0.1382
161,     27.33,    0.1383
162,      27.5,     0.138
163,     27.67,    0.1371
164,     27.83,    0.1392
165,        28,    0.1384
166,     28.17,    0.1387
167,     28.33,    0.1402
168,      28.5,    0.1382
169,     28.67,    0.1414
170,     28.83,    0.1412
171,        29,    0.1415
172,     29.17,    0.1421
173,     29.33,    0.1416
174,      29.5,    0.1412
175,     29.67,    0.1381
176,     29.83,    0.1427
177,        30,    0.1429
178,     30.17,     0.141
179,     30.33,    0.1448
180,      30.5,    0.1413
181,     30.67,     0.143
182,     30.83,    0.1426
183,        31,    0.1417
184,     31.17,    0.1442
185,     31.33,    0.1425
186,      31.5,    0.1427
187,     31.67,    0.1435
188,     31.83,    0.1437
189,        32,     0.145
190,     32.17,    0.1443
191,     32.33,    0.1449
192,      32.5,    0.1448
193,     32.67,    0.1436
194,     32.83,     0.145
195,        33,    0.1463
196,     33.17,    0.1445
197,     33.33,    0.1461
198,      33.5,    0.1454
199,     33.67,    0.1461
200,     33.83,    0.1463
201,        34,    0.1452
202,     34.17,    0.1453
203,     34.33,    0.1468
204,      34.5,    0.1467
205,     34.67,    0.1437
206,     34.83,    0.1461
207,        35,    0.1479
208,     35.17,    0.1478
209,     35.33,    0.1495
210,      35.5,    0.1494
211,     35.67,    0.1487
212,     35.83,    0.1486
213,        36,    0.1469
214,     36.17,    0.1495
215,     36.33,    0.1502
216,      36.5,      0.15
217,     36.67,    0.1473
218,     36.83,    0.1488
219,        37,     0.151
220,     37.17,    0.1506
221,     37.33,    0.1495
222,      37.5,     0.151
