,time,abs
0,       0.5,  0.006571
1,    0.6667,  0.009424
2,    0.8333,   0.01177
3,         1,   0.01364
4,     1.167,   0.01359
5,     1.333,   0.01711
6,       1.5,   0.02005
7,     1.667,   0.02075
8,     1.833,   0.02356
9,         2,   0.02406
10,     2.167,   0.02556
11,     2.333,   0.02913
12,       2.5,   0.03048
13,     2.667,   0.03323
14,     2.833,   0.03512
15,         3,   0.03559
16,     3.167,   0.03838
17,     3.333,   0.04078
18,       3.5,   0.04218
19,     3.667,   0.04516
20,     3.833,   0.04696
21,         4,    0.0464
22,     4.167,   0.04991
23,     4.333,   0.05222
24,       4.5,   0.05399
25,     4.667,    0.0564
26,     4.833,   0.05778
27,         5,    0.0607
28,     5.167,   0.06063
29,     5.333,   0.06195
30,       5.5,   0.06599
31,     5.667,   0.06611
32,     5.833,   0.06858
33,         6,   0.06911
34,     6.167,   0.07221
35,     6.333,   0.07435
36,       6.5,   0.07335
37,     6.667,   0.07478
38,     6.833,   0.07719
39,         7,   0.07901
40,     7.167,   0.08226
41,     7.333,   0.08253
42,       7.5,   0.08477
43,     7.667,   0.08764
44,     7.833,   0.08823
45,         8,   0.09068
46,     8.167,   0.09369
47,     8.333,   0.09209
48,       8.5,   0.09293
49,     8.667,   0.09504
50,     8.833,   0.09742
51,         9,   0.09851
52,     9.167,    0.1003
53,     9.333,    0.1003
54,       9.5,   0.09994
55,     9.667,    0.1021
56,     9.833,    0.1072
57,        10,    0.1075
58,     10.17,    0.1081
59,     10.33,    0.1111
60,      10.5,    0.1121
61,     10.67,    0.1151
62,     10.83,    0.1149
63,        11,    0.1163
64,     11.17,    0.1188
65,     11.33,    0.1201
66,      11.5,    0.1216
67,     11.67,    0.1203
68,     11.83,     0.124
69,        12,     0.125
70,     12.17,    0.1253
71,     12.33,    0.1264
72,      12.5,    0.1277
73,     12.67,    0.1275
74,     12.83,    0.1305
75,        13,    0.1299
76,     13.17,    0.1336
77,     13.33,    0.1364
78,      13.5,    0.1352
79,     13.67,    0.1357
80,     13.83,    0.1388
81,        14,     0.139
82,     14.17,    0.1386
83,     14.33,    0.1412
84,      14.5,    0.1427
85,     14.67,    0.1435
86,     14.83,    0.1431
87,        15,    0.1468
88,     15.17,     0.146
89,     15.33,    0.1492
90,      15.5,    0.1484
91,     15.67,    0.1498
92,     15.83,    0.1509
93,        16,    0.1496
94,     16.17,    0.1526
95,     16.33,    0.1536
96,      16.5,     0.154
97,     16.67,    0.1558
98,     16.83,    0.1587
99,        17,    0.1576
100,     17.17,    0.1595
101,     17.33,    0.1598
102,      17.5,    0.1634
103,     17.67,    0.1602
104,     17.83,     0.162
105,        18,    0.1623
106,     18.17,    0.1628
107,     18.33,    0.1652
108,      18.5,    0.1642
109,     18.67,     0.166
110,     18.83,    0.1687
111,        19,    0.1695
112,     19.17,     0.168
113,     19.33,    0.1704
114,      19.5,    0.1718
115,     19.67,    0.1718
116,     19.83,    0.1725
117,        20,    0.1726
118,     20.17,    0.1756
119,     20.33,    0.1742
120,      20.5,    0.1751
121,     20.67,    0.1766
122,     20.83,    0.1769
123,        21,    0.1778
124,     21.17,      0.18
125,     21.33,    0.1801
126,      21.5,    0.1801
127,     21.67,    0.1823
128,     21.83,    0.1841
129,        22,    0.1817
130,     22.17,    0.1837
131,     22.33,    0.1828
132,      22.5,    0.1853
133,     22.67,     0.186
134,     22.83,    0.1865
135,        23,    0.1852
136,     23.17,    0.1858
137,     23.33,    0.1868
138,      23.5,    0.1888
139,     23.67,    0.1896
140,     23.83,    0.1909
141,        24,      0.19
142,     24.17,    0.1899
143,     24.33,    0.1927
144,      24.5,    0.1914
145,     24.67,     0.193
146,     24.83,    0.1941
147,        25,     0.193
148,     25.17,    0.1951
149,     25.33,    0.1967
150,      25.5,    0.1956
151,     25.67,    0.1951
152,     25.83,    0.1972
153,        26,     0.196
