,time,abs
0,       0.5,  0.001984
1,    0.6667, -0.000669
2,    0.8333,  0.001357
3,         1, 0.0006713
4,     1.167, 0.0004109
5,     1.333,  0.001573
6,       1.5, 0.0003023
7,     1.667,  0.001448
8,     1.833,  0.001752
9,         2,  0.002226
10,     2.167,  0.002053
11,     2.333,  0.003124
12,       2.5,  0.003245
13,     2.667,  0.003247
14,     2.833,  0.001548
15,         3,  0.003692
16,     3.167,  0.002612
17,     3.333,  0.001741
18,       3.5,  0.004087
19,     3.667,  0.004829
20,     3.833,  0.005886
21,         4,  0.005182
22,     4.167,  0.003987
23,     4.333,  0.005295
24,       4.5,  0.004494
25,     4.667,  0.003399
26,     4.833,  0.005124
27,         5,  0.006305
28,     5.167,   0.00612
29,     5.333,  0.007162
30,       5.5,  0.004553
31,     5.667,  0.004064
32,     5.833,  0.004544
33,         6,  0.005459
34,     6.167,  0.005606
35,     6.333,  0.007088
36,       6.5,  0.005639
37,     6.667,  0.006301
38,     6.833,   0.00687
39,         7,  0.008506
40,     7.167,  0.006704
41,     7.333,  0.008233
42,       7.5,  0.008465
43,     7.667,  0.008476
44,     7.833,  0.008223
45,         8,  0.008342
46,     8.167,   0.00836
47,     8.333,  0.007741
48,       8.5,  0.008346
49,     8.667,   0.01003
50,     8.833,  0.009252
51,         9,   0.00817
52,     9.167,  0.009726
53,     9.333,   0.01119
54,       9.5,   0.01227
55,     9.667,   0.01043
56,     9.833,   0.01134
57,        10,   0.01054
58,     10.17,   0.00977
59,     10.33,  0.009683
60,      10.5,   0.01001
61,     10.67,   0.01122
62,     10.83,   0.01399
63,        11,   0.01091
64,     11.17,   0.01097
65,     11.33,   0.01271
66,      11.5,     0.012
67,     11.67,   0.01271
68,     11.83,   0.01228
69,        12,   0.01179
70,     12.17,   0.01093
71,     12.33,   0.01207
72,      12.5,   0.01357
73,     12.67,   0.01389
74,     12.83,   0.01224
75,        13,   0.01251
76,     13.17,   0.01175
77,     13.33,   0.01256
78,      13.5,   0.01541
79,     13.67,   0.01366
80,     13.83,   0.01426
81,        14,   0.01473
82,     14.17,   0.01321
83,     14.33,   0.01495
84,      14.5,   0.01518
85,     14.67,   0.01567
86,     14.83,   0.01504
87,        15,   0.01485
88,     15.17,   0.01624
89,     15.33,   0.01589
90,      15.5,   0.01538
91,     15.67,   0.01673
92,     15.83,   0.01617
93,        16,   0.01591
94,     16.17,   0.01606
95,     16.33,   0.01715
96,      16.5,    0.0189
97,     16.67,   0.01628
98,     16.83,    0.0193
99,        17,   0.01779
100,     17.17,   0.01712
101,     17.33,   0.01597
102,      17.5,   0.01735
103,     17.67,   0.01716
104,     17.83,   0.01764
105,        18,   0.01746
106,     18.17,   0.01922
107,     18.33,   0.02132
108,      18.5,   0.02014
109,     18.67,   0.01644
110,     18.83,   0.01934
111,        19,   0.01897
112,     19.17,   0.02193
113,     19.33,   0.02044
114,      19.5,   0.01802
115,     19.67,    0.0187
116,     19.83,   0.01879
117,        20,   0.02072
118,     20.17,   0.02185
119,     20.33,   0.01995
