,time,abs
0,       0.5,  0.002479
1,    0.6667,  0.004784
2,    0.8333,  0.004593
3,         1,  0.006139
4,     1.167,  0.006663
5,     1.333,    0.0064
6,       1.5,  0.005739
7,     1.667,  0.008008
8,     1.833,  0.009671
9,         2,   0.01219
10,     2.167,   0.01288
11,     2.333,   0.01199
12,       2.5,   0.01316
13,     2.667,    0.0158
14,     2.833,   0.01344
15,         3,   0.01461
16,     3.167,   0.01814
17,     3.333,    0.0186
18,       3.5,   0.01668
19,     3.667,   0.01793
20,     3.833,    0.0205
21,         4,   0.02114
22,     4.167,   0.02266
23,     4.333,   0.02266
24,       4.5,   0.02368
25,     4.667,   0.02505
26,     4.833,   0.02496
27,         5,   0.02726
28,     5.167,    0.0274
29,     5.333,    0.0258
30,       5.5,   0.02841
31,     5.667,   0.02878
32,     5.833,   0.03166
33,         6,   0.03256
34,     6.167,   0.03294
35,     6.333,   0.03386
36,       6.5,   0.03398
37,     6.667,   0.03408
38,     6.833,   0.03695
39,         7,   0.03602
40,     7.167,   0.03779
41,     7.333,   0.03873
42,       7.5,   0.04122
43,     7.667,   0.04085
44,     7.833,   0.04115
45,         8,   0.04211
46,     8.167,   0.04262
47,     8.333,   0.04414
48,       8.5,   0.04385
49,     8.667,    0.0469
50,     8.833,    0.0477
51,         9,   0.04743
52,     9.167,   0.04872
53,     9.333,    0.0502
54,       9.5,   0.04957
55,     9.667,   0.04951
56,     9.833,    0.0524
57,        10,   0.05164
58,     10.17,   0.05335
59,     10.33,   0.05464
60,      10.5,   0.05573
61,     10.67,    0.0575
62,     10.83,    0.0579
63,        11,   0.05651
64,     11.17,   0.05769
65,     11.33,   0.05851
66,      11.5,   0.06046
67,     11.67,   0.06127
68,     11.83,   0.06181
69,        12,   0.06433
70,     12.17,   0.06544
71,     12.33,   0.06529
72,      12.5,   0.06651
73,     12.67,   0.06577
74,     12.83,   0.06667
75,        13,   0.06647
76,     13.17,   0.06888
77,     13.33,   0.07058
78,      13.5,   0.06961
79,     13.67,   0.07174
80,     13.83,   0.07295
81,        14,   0.07655
82,     14.17,   0.07511
83,     14.33,   0.07444
84,      14.5,   0.07524
85,     14.67,   0.07658
86,     14.83,   0.07677
87,        15,   0.07664
88,     15.17,    0.0811
89,     15.33,   0.07949
90,      15.5,   0.08048
91,     15.67,   0.08216
92,     15.83,   0.08371
93,        16,   0.08449
94,     16.17,    0.0815
95,     16.33,   0.08736
96,      16.5,   0.08672
97,     16.67,   0.08598
98,     16.83,   0.08616
99,        17,    0.0895
100,     17.17,   0.08925
101,     17.33,   0.09008
102,      17.5,   0.08961
103,     17.67,    0.0928
104,     17.83,     0.094
105,        18,   0.09334
106,     18.17,   0.09667
107,     18.33,   0.09579
108,      18.5,   0.09538
109,     18.67,   0.09725
110,     18.83,   0.09824
111,        19,   0.09759
112,     19.17,    0.1003
113,     19.33,    0.1007
114,      19.5,    0.1008
115,     19.67,    0.1023
116,     19.83,    0.1048
117,        20,    0.1047
118,     20.17,    0.1049
119,     20.33,    0.1066
120,      20.5,     0.107
121,     20.67,    0.1049
122,     20.83,    0.1064
123,        21,    0.1099
124,     21.17,    0.1099
125,     21.33,    0.1131
126,      21.5,    0.1117
127,     21.67,    0.1104
128,     21.83,    0.1137
129,        22,    0.1144
130,     22.17,    0.1172
131,     22.33,    0.1172
132,      22.5,    0.1171
133,     22.67,    0.1198
134,     22.83,    0.1155
135,        23,    0.1187
136,     23.17,    0.1209
137,     23.33,    0.1221
138,      23.5,    0.1212
139,     23.67,    0.1232
140,     23.83,    0.1231
