,time,abs
0,       0.5,  0.002262
1,    0.6667,  0.003336
2,    0.8333,  0.006135
3,         1,  0.008285
4,     1.167,  0.007299
5,     1.333,   0.01025
6,       1.5,   0.01161
7,     1.667,   0.01005
8,     1.833,   0.01192
9,         2,   0.01487
10,     2.167,    0.0145
11,     2.333,   0.01574
12,       2.5,   0.01611
13,     2.667,   0.01935
14,     2.833,   0.01698
15,         3,   0.02209
16,     3.167,   0.02209
17,     3.333,   0.02193
18,       3.5,   0.02492
19,     3.667,   0.02468
20,     3.833,   0.02798
21,         4,   0.02789
22,     4.167,   0.02977
23,     4.333,   0.02786
24,       4.5,   0.03107
25,     4.667,   0.03413
26,     4.833,   0.03452
27,         5,   0.03332
28,     5.167,   0.03556
29,     5.333,   0.03583
30,       5.5,   0.04027
31,     5.667,    0.0395
32,     5.833,   0.03852
33,         6,   0.04068
34,     6.167,   0.04391
35,     6.333,   0.04234
36,       6.5,   0.04424
37,     6.667,   0.04658
38,     6.833,   0.04852
39,         7,    0.0495
40,     7.167,   0.05028
41,     7.333,   0.05055
42,       7.5,   0.05196
43,     7.667,   0.05254
44,     7.833,   0.05445
45,         8,    0.0544
46,     8.167,   0.05632
47,     8.333,   0.05807
48,       8.5,   0.05848
49,     8.667,   0.06092
50,     8.833,   0.06256
51,         9,   0.06344
52,     9.167,   0.06379
53,     9.333,   0.06573
54,       9.5,   0.06674
55,     9.667,   0.06786
56,     9.833,   0.06845
57,        10,   0.06922
58,     10.17,   0.07087
59,     10.33,   0.07145
60,      10.5,   0.07407
61,     10.67,    0.0726
62,     10.83,   0.07514
63,        11,   0.07577
64,     11.17,    0.0772
65,     11.33,   0.07934
66,      11.5,   0.07848
67,     11.67,   0.08262
68,     11.83,    0.0814
69,        12,   0.08418
70,     12.17,   0.08477
71,     12.33,   0.08425
72,      12.5,   0.08767
73,     12.67,   0.08768
74,     12.83,   0.08899
75,        13,   0.09041
76,     13.17,   0.08899
77,     13.33,   0.09383
78,      13.5,    0.0923
79,     13.67,   0.09644
80,     13.83,   0.09686
81,        14,   0.09816
82,     14.17,   0.09672
83,     14.33,    0.1008
84,      14.5,    0.1017
85,     14.67,   0.09957
86,     14.83,    0.1041
87,        15,    0.1019
88,     15.17,    0.1066
89,     15.33,    0.1077
90,      15.5,    0.1095
91,     15.67,    0.1077
92,     15.83,    0.1115
93,        16,    0.1088
94,     16.17,     0.114
95,     16.33,    0.1124
96,      16.5,    0.1163
97,     16.67,    0.1163
98,     16.83,    0.1163
99,        17,    0.1192
100,     17.17,    0.1185
101,     17.33,    0.1201
102,      17.5,    0.1208
103,     17.67,    0.1218
104,     17.83,    0.1227
105,        18,    0.1244
106,     18.17,    0.1251
107,     18.33,    0.1283
108,      18.5,    0.1275
109,     18.67,    0.1297
110,     18.83,    0.1311
111,        19,     0.131
112,     19.17,    0.1325
113,     19.33,    0.1324
114,      19.5,    0.1353
115,     19.67,    0.1367
116,     19.83,    0.1391
117,        20,    0.1407
118,     20.17,    0.1412
119,     20.33,    0.1404
120,      20.5,     0.142
121,     20.67,    0.1434
122,     20.83,    0.1437
