,time,abs
0,       0.5,  0.005556
1,    0.6667,  0.003801
2,    0.8333,  0.009128
3,         1,   0.01207
4,     1.167,    0.0125
5,     1.333,   0.01474
6,       1.5,   0.01636
7,     1.667,   0.01733
8,     1.833,    0.0202
9,         2,    0.0228
10,     2.167,   0.02233
11,     2.333,   0.02466
12,       2.5,   0.02506
13,     2.667,   0.02776
14,     2.833,   0.02776
15,         3,   0.03352
16,     3.167,   0.03502
17,     3.333,   0.03332
18,       3.5,   0.03677
19,     3.667,    0.0375
20,     3.833,   0.04005
21,         4,   0.04182
22,     4.167,   0.04343
23,     4.333,   0.04779
24,       4.5,   0.04736
25,     4.667,   0.04748
26,     4.833,   0.04939
27,         5,   0.05266
28,     5.167,   0.05493
29,     5.333,   0.05519
30,       5.5,   0.05822
31,     5.667,   0.05797
32,     5.833,   0.06068
33,         6,   0.06136
34,     6.167,   0.06257
35,     6.333,    0.0671
36,       6.5,   0.06583
37,     6.667,   0.06889
38,     6.833,   0.07014
39,         7,   0.07203
40,     7.167,   0.07553
41,     7.333,   0.07691
42,       7.5,   0.07864
43,     7.667,   0.07977
44,     7.833,    0.0818
45,         8,   0.08212
46,     8.167,    0.0848
47,     8.333,   0.08701
48,       8.5,   0.08737
49,     8.667,   0.08773
50,     8.833,   0.09039
51,         9,   0.09189
52,     9.167,   0.09321
53,     9.333,   0.09702
54,       9.5,   0.09625
55,     9.667,   0.09613
56,     9.833,    0.0989
57,        10,    0.1022
58,     10.17,     0.102
59,     10.33,    0.1062
60,      10.5,    0.1071
61,     10.67,    0.1068
62,     10.83,    0.1112
63,        11,    0.1125
64,     11.17,    0.1121
65,     11.33,    0.1156
66,      11.5,    0.1141
67,     11.67,    0.1196
68,     11.83,     0.121
69,        12,      0.12
70,     12.17,     0.122
71,     12.33,    0.1237
72,      12.5,    0.1276
73,     12.67,    0.1272
74,     12.83,    0.1314
75,        13,    0.1285
76,     13.17,    0.1338
77,     13.33,    0.1349
78,      13.5,    0.1355
79,     13.67,    0.1364
80,     13.83,    0.1388
81,        14,    0.1401
82,     14.17,    0.1398
83,     14.33,    0.1431
84,      14.5,    0.1463
85,     14.67,     0.148
86,     14.83,    0.1479
87,        15,    0.1513
88,     15.17,    0.1505
89,     15.33,    0.1524
90,      15.5,    0.1543
91,     15.67,    0.1593
92,     15.83,    0.1568
93,        16,    0.1607
94,     16.17,    0.1607
95,     16.33,    0.1623
96,      16.5,    0.1643
97,     16.67,    0.1632
98,     16.83,    0.1662
99,        17,    0.1675
100,     17.17,    0.1688
101,     17.33,    0.1717
102,      17.5,    0.1714
103,     17.67,     0.175
104,     17.83,    0.1742
105,        18,     0.178
106,     18.17,    0.1782
107,     18.33,    0.1801
108,      18.5,    0.1805
109,     18.67,    0.1835
110,     18.83,    0.1856
111,        19,    0.1852
112,     19.17,    0.1868
113,     19.33,    0.1899
114,      19.5,    0.1905
115,     19.67,    0.1908
116,     19.83,    0.1932
117,        20,    0.1938
118,     20.17,    0.1963
119,     20.33,    0.1977
120,      20.5,    0.1994
121,     20.67,    0.2023
122,     20.83,    0.2018
123,        21,     0.204
124,     21.17,    0.2037
125,     21.33,    0.2051
126,      21.5,    0.2068
127,     21.67,    0.2066
128,     21.83,    0.2133
129,        22,    0.2122
130,     22.17,    0.2128
131,     22.33,    0.2156
132,      22.5,    0.2158
133,     22.67,     0.217
134,     22.83,     0.218
135,        23,    0.2181
136,     23.17,    0.2192
137,     23.33,    0.2215
138,      23.5,    0.2252
139,     23.67,    0.2245
140,     23.83,    0.2254
141,        24,    0.2308
142,     24.17,    0.2305
143,     24.33,    0.2324
144,      24.5,    0.2304
145,     24.67,    0.2327
146,     24.83,     0.235
147,        25,    0.2401
148,     25.17,    0.2397
149,     25.33,    0.2366
150,      25.5,    0.2401
151,     25.67,    0.2415
152,     25.83,    0.2471
153,        26,    0.2435
154,     26.17,     0.247
155,     26.33,    0.2458
156,      26.5,    0.2491
157,     26.67,    0.2503
158,     26.83,    0.2514
159,        27,    0.2545
160,     27.17,    0.2554
161,     27.33,    0.2533
162,      27.5,    0.2558
163,     27.67,    0.2549
164,     27.83,    0.2602
165,        28,    0.2591
166,     28.17,    0.2617
167,     28.33,    0.2629
168,      28.5,    0.2645
169,     28.67,    0.2671
170,     28.83,     0.268
171,        29,    0.2708
172,     29.17,    0.2684
173,     29.33,     0.271
174,      29.5,    0.2734
175,     29.67,    0.2734
176,     29.83,     0.274
177,        30,    0.2756
178,     30.17,     0.277
179,     30.33,    0.2783
180,      30.5,    0.2817
181,     30.67,    0.2806
182,     30.83,    0.2813
183,        31,    0.2842
184,     31.17,    0.2846
185,     31.33,    0.2843
186,      31.5,    0.2875
187,     31.67,    0.2872
188,     31.83,    0.2877
189,        32,    0.2888
190,     32.17,    0.2889
191,     32.33,    0.2926
192,      32.5,    0.2926
193,     32.67,    0.2968
194,     32.83,    0.2972
195,        33,    0.2984
196,     33.17,    0.2978
197,     33.33,    0.3007
198,      33.5,    0.3023
199,     33.67,     0.302
200,     33.83,    0.3058
201,        34,    0.3047
202,     34.17,    0.3065
203,     34.33,    0.3059
204,      34.5,    0.3081
205,     34.67,    0.3098
206,     34.83,    0.3099
207,        35,    0.3122
208,     35.17,    0.3133
209,     35.33,     0.314
210,      35.5,    0.3152
211,     35.67,    0.3163
212,     35.83,    0.3188
213,        36,     0.317
214,     36.17,    0.3184
215,     36.33,    0.3193
216,      36.5,    0.3207
217,     36.67,    0.3217
218,     36.83,     0.322
219,        37,    0.3256
220,     37.17,    0.3251
221,     37.33,    0.3252
222,      37.5,     0.327
223,     37.67,    0.3287
224,     37.83,    0.3294
225,        38,    0.3302
226,     38.17,    0.3334
227,     38.33,    0.3352
228,      38.5,    0.3338
229,     38.67,    0.3336
230,     38.83,    0.3331
231,        39,     0.336
232,     39.17,    0.3388
233,     39.33,    0.3383
234,      39.5,    0.3389
235,     39.67,    0.3406
236,     39.83,    0.3423
237,        40,    0.3408
238,     40.17,    0.3427
239,     40.33,    0.3453
240,      40.5,    0.3455
241,     40.67,    0.3476
242,     40.83,    0.3497
243,        41,    0.3491
244,     41.17,    0.3502
245,     41.33,    0.3487
246,      41.5,    0.3507
247,     41.67,    0.3524
248,     41.83,    0.3544
249,        42,    0.3558
250,     42.17,    0.3565
251,     42.33,    0.3564
252,      42.5,    0.3584
253,     42.67,    0.3577
254,     42.83,    0.3585
255,        43,    0.3617
256,     43.17,    0.3601
257,     43.33,     0.361
258,      43.5,     0.363
259,     43.67,      0.36
260,     43.83,    0.3638
261,        44,    0.3661
262,     44.17,    0.3648
263,     44.33,    0.3686
264,      44.5,     0.371
265,     44.67,    0.3702
266,     44.83,    0.3687
267,        45,    0.3718
268,     45.17,    0.3718
269,     45.33,    0.3721
270,      45.5,    0.3711
271,     45.67,    0.3743
272,     45.83,    0.3738
273,        46,    0.3756
274,     46.17,    0.3781
275,     46.33,    0.3774
276,      46.5,    0.3808
277,     46.67,    0.3799
278,     46.83,    0.3787
279,        47,    0.3804
280,     47.17,    0.3803
281,     47.33,    0.3835
282,      47.5,    0.3838
283,     47.67,    0.3889
284,     47.83,    0.3857
285,        48,     0.386
286,     48.17,    0.3864
287,     48.33,    0.3878
288,      48.5,      0.39
289,     48.67,    0.3886
290,     48.83,    0.3893
291,        49,    0.3889
292,     49.17,    0.3916
293,     49.33,    0.3917
294,      49.5,    0.3898
295,     49.67,    0.3947
296,     49.83,    0.3943
297,        50,    0.3925
298,     50.17,     0.395
299,     50.33,    0.3984
300,      50.5,    0.3973
301,     50.67,    0.3983
302,     50.83,    0.3986
303,        51,    0.3966
304,     51.17,     0.399
305,     51.33,    0.3994
306,      51.5,    0.4015
307,     51.67,    0.4034
308,     51.83,    0.4059
309,        52,    0.4049
310,     52.17,    0.4033
311,     52.33,    0.4057
312,      52.5,    0.4055
313,     52.67,    0.4082
314,     52.83,    0.4086
315,        53,    0.4083
316,     53.17,    0.4081
317,     53.33,    0.4097
318,      53.5,    0.4114
319,     53.67,    0.4084
320,     53.83,    0.4134
321,        54,    0.4144
322,     54.17,    0.4161
323,     54.33,    0.4137
324,      54.5,    0.4124
325,     54.67,    0.4146
326,     54.83,    0.4143
327,        55,    0.4144
328,     55.17,    0.4175
329,     55.33,    0.4169
330,      55.5,    0.4171
331,     55.67,    0.4186
332,     55.83,    0.4186
333,        56,    0.4186
334,     56.17,    0.4165
335,     56.33,    0.4205
336,      56.5,    0.4222
337,     56.67,     0.421
338,     56.83,    0.4225
339,        57,    0.4218
340,     57.17,    0.4239
341,     57.33,    0.4225
342,      57.5,    0.4257
343,     57.67,    0.4236
344,     57.83,    0.4274
345,        58,    0.4257
346,     58.17,    0.4286
347,     58.33,     0.431
348,      58.5,    0.4281
349,     58.67,    0.4296
350,     58.83,    0.4266
351,        59,    0.4316
352,     59.17,    0.4281
353,     59.33,    0.4334
354,      59.5,    0.4292
355,     59.67,    0.4329
356,     59.83,    0.4342
357,        60,    0.4333
