,time,abs
0,       0.5, 0.0003871
1,    0.6667, 0.0002274
2,    0.8333,  0.001146
3,         1, -0.000565
4,     1.167,-0.0004709
5,     1.333, 8.903e-06
6,       1.5, 0.0008048
7,     1.667, 0.0007361
8,     1.833,  0.001605
9,         2, 0.0006401
10,     2.167, 0.0006622
11,     2.333, 0.0002285
12,       2.5,  0.001092
13,     2.667, 0.0008878
14,     2.833,  0.001019
15,         3,  0.001334
16,     3.167,  0.001575
17,     3.333,  0.001288
18,       3.5,  0.001951
19,     3.667,     0.002
20,     3.833, 0.0006891
21,         4,   0.00159
22,     4.167,  0.001583
23,     4.333,  0.001364
24,       4.5,   0.00161
25,     4.667,   0.00162
26,     4.833,  0.001327
27,         5,  0.002803
28,     5.167,  0.002715
29,     5.333,  0.002413
30,       5.5,  0.002685
31,     5.667,   0.00326
32,     5.833,  0.003346
33,         6,  0.002201
34,     6.167,  0.002971
35,     6.333,  0.002607
36,       6.5,  0.003601
37,     6.667,  0.002814
38,     6.833,   0.00346
39,         7,  0.002868
40,     7.167,  0.002295
41,     7.333,  0.002683
42,       7.5,  0.003506
43,     7.667,  0.003102
44,     7.833,  0.003428
45,         8,  0.004778
46,     8.167,  0.004429
47,     8.333,   0.00318
48,       8.5,   0.00299
49,     8.667,  0.003937
50,     8.833,  0.004251
51,         9,  0.002981
52,     9.167,  0.003688
53,     9.333,  0.004329
54,       9.5,   0.00357
55,     9.667,  0.004542
56,     9.833,  0.003707
57,        10,  0.003893
58,     10.17,  0.003614
59,     10.33,  0.004199
60,      10.5,  0.004717
61,     10.67,  0.004595
62,     10.83,  0.004156
63,        11,  0.004671
64,     11.17,  0.004627
65,     11.33,  0.004872
66,      11.5,  0.004261
67,     11.67,  0.005417
68,     11.83,  0.004657
69,        12,  0.005484
70,     12.17,  0.005909
71,     12.33,  0.005017
72,      12.5,  0.005172
73,     12.67,  0.006046
74,     12.83,  0.004401
75,        13,  0.004736
76,     13.17,  0.005847
77,     13.33,  0.005963
78,      13.5,  0.005982
79,     13.67,  0.005686
80,     13.83,  0.005961
81,        14,  0.005625
82,     14.17,   0.00606
83,     14.33,  0.005943
84,      14.5,  0.006671
85,     14.67,  0.005907
86,     14.83,  0.006059
87,        15,  0.006765
88,     15.17,  0.006553
89,     15.33,  0.006691
90,      15.5,  0.007048
91,     15.67,  0.006355
92,     15.83,  0.005166
93,        16,  0.006714
94,     16.17,  0.007547
95,     16.33,  0.006299
96,      16.5,  0.006301
97,     16.67,  0.007502
98,     16.83,   0.00621
99,        17,  0.007295
100,     17.17,  0.006788
101,     17.33,   0.00727
102,      17.5,  0.007105
103,     17.67,  0.007817
104,     17.83,  0.007449
105,        18,  0.007025
106,     18.17,  0.007982
107,     18.33,  0.007486
108,      18.5,  0.008424
109,     18.67,   0.00809
110,     18.83,  0.007699
111,        19,  0.007875
112,     19.17,   0.00813
113,     19.33,  0.007824
114,      19.5,   0.00789
115,     19.67,  0.008164
116,     19.83,  0.008781
117,        20,  0.008513
118,     20.17,  0.008549
119,     20.33,  0.008648
120,      20.5,  0.008764
121,     20.67,  0.008556
122,     20.83,  0.007943
123,        21,  0.008543
124,     21.17,  0.008942
125,     21.33,  0.008395
126,      21.5,  0.008581
127,     21.67,  0.009246
128,     21.83,  0.009491
129,        22,  0.008932
130,     22.17,  0.009625
131,     22.33,  0.009011
132,      22.5,  0.009433
133,     22.67,   0.01003
134,     22.83,  0.009283
135,        23,  0.009585
136,     23.17,  0.009628
137,     23.33,   0.01035
138,      23.5,    0.0096
139,     23.67,  0.009157
140,     23.83,  0.009511
141,        24,   0.01014
142,     24.17,   0.01096
143,     24.33,   0.01047
144,      24.5,  0.009592
145,     24.67,   0.01009
146,     24.83,  0.009633
147,        25,  0.009715
148,     25.17,   0.01053
149,     25.33,   0.01113
150,      25.5,   0.01122
151,     25.67,   0.01119
152,     25.83,   0.01072
153,        26,   0.01139
154,     26.17,   0.01095
155,     26.33,   0.01113
156,      26.5,    0.0117
157,     26.67,   0.01042
158,     26.83,   0.01147
