,time,abs
0,       0.5,  0.005013
1,    0.6667,  0.007927
2,    0.8333,   0.01088
3,         1,   0.01144
4,     1.167,   0.01387
5,     1.333,     0.017
6,       1.5,   0.01776
7,     1.667,   0.01958
8,     1.833,   0.02173
9,         2,   0.02423
10,     2.167,   0.02623
11,     2.333,    0.0281
12,       2.5,   0.03015
13,     2.667,   0.03195
14,     2.833,   0.03326
15,         3,   0.03643
16,     3.167,   0.03808
17,     3.333,   0.03991
18,       3.5,   0.04243
19,     3.667,   0.04383
20,     3.833,   0.04564
21,         4,   0.04724
22,     4.167,   0.04899
23,     4.333,   0.05159
24,       4.5,   0.05315
25,     4.667,   0.05589
26,     4.833,   0.05765
27,         5,   0.05963
28,     5.167,   0.06149
29,     5.333,   0.06299
30,       5.5,   0.06532
31,     5.667,   0.06766
32,     5.833,   0.06993
33,         6,   0.07043
34,     6.167,   0.07331
35,     6.333,   0.07559
36,       6.5,   0.07731
37,     6.667,    0.0792
38,     6.833,   0.08069
39,         7,   0.08262
40,     7.167,   0.08424
41,     7.333,   0.08675
42,       7.5,   0.08994
43,     7.667,   0.09067
44,     7.833,   0.09224
45,         8,   0.09367
46,     8.167,   0.09729
47,     8.333,    0.0996
48,       8.5,    0.1004
49,     8.667,    0.1019
50,     8.833,    0.1043
51,         9,    0.1055
52,     9.167,    0.1078
53,     9.333,      0.11
54,       9.5,    0.1128
55,     9.667,    0.1148
56,     9.833,    0.1152
57,        10,    0.1181
58,     10.17,    0.1187
59,     10.33,    0.1215
60,      10.5,     0.124
61,     10.67,    0.1248
62,     10.83,     0.127
63,        11,    0.1298
64,     11.17,    0.1315
65,     11.33,    0.1344
66,      11.5,    0.1342
67,     11.67,    0.1376
68,     11.83,    0.1379
69,        12,    0.1401
70,     12.17,    0.1422
71,     12.33,     0.145
72,      12.5,    0.1468
73,     12.67,    0.1489
74,     12.83,    0.1508
75,        13,    0.1512
76,     13.17,    0.1544
77,     13.33,    0.1554
78,      13.5,    0.1585
79,     13.67,    0.1594
80,     13.83,    0.1603
81,        14,    0.1638
82,     14.17,    0.1655
83,     14.33,     0.167
84,      14.5,    0.1691
85,     14.67,    0.1708
86,     14.83,    0.1725
87,        15,    0.1745
88,     15.17,    0.1768
89,     15.33,     0.179
90,      15.5,    0.1803
91,     15.67,    0.1833
92,     15.83,    0.1845
93,        16,     0.184
94,     16.17,     0.188
95,     16.33,    0.1888
96,      16.5,    0.1923
97,     16.67,    0.1946
98,     16.83,    0.1953
99,        17,    0.1974
100,     17.17,    0.1993
101,     17.33,    0.2013
102,      17.5,    0.2031
103,     17.67,     0.204
104,     17.83,    0.2068
105,        18,     0.207
106,     18.17,    0.2103
107,     18.33,    0.2111
108,      18.5,    0.2135
109,     18.67,     0.215
110,     18.83,    0.2175
111,        19,    0.2199
112,     19.17,    0.2213
113,     19.33,    0.2227
114,      19.5,    0.2236
115,     19.67,    0.2249
116,     19.83,    0.2267
117,        20,    0.2312
118,     20.17,    0.2316
119,     20.33,    0.2342
120,      20.5,    0.2353
121,     20.67,    0.2382
122,     20.83,    0.2405
123,        21,    0.2418
124,     21.17,    0.2429
125,     21.33,    0.2449
126,      21.5,    0.2479
127,     21.67,    0.2452
128,     21.83,    0.2499
129,        22,    0.2514
130,     22.17,     0.253
131,     22.33,    0.2551
132,      22.5,    0.2586
133,     22.67,    0.2596
134,     22.83,    0.2607
135,        23,    0.2635
136,     23.17,    0.2649
137,     23.33,    0.2664
138,      23.5,    0.2691
139,     23.67,    0.2708
140,     23.83,    0.2723
141,        24,    0.2736
142,     24.17,    0.2757
143,     24.33,    0.2779
144,      24.5,    0.2802
145,     24.67,    0.2837
146,     24.83,    0.2828
147,        25,    0.2854
148,     25.17,    0.2865
149,     25.33,    0.2877
150,      25.5,    0.2908
151,     25.67,    0.2916
152,     25.83,    0.2923
153,        26,    0.2949
154,     26.17,    0.2967
155,     26.33,    0.2983
156,      26.5,    0.3018
157,     26.67,    0.3006
158,     26.83,    0.3033
159,        27,    0.3062
160,     27.17,    0.3076
161,     27.33,    0.3083
162,      27.5,    0.3123
163,     27.67,    0.3128
164,     27.83,    0.3142
165,        28,    0.3169
166,     28.17,    0.3179
167,     28.33,    0.3207
168,      28.5,    0.3213
169,     28.67,    0.3233
170,     28.83,    0.3257
171,        29,    0.3277
172,     29.17,    0.3268
173,     29.33,    0.3292
174,      29.5,    0.3313
175,     29.67,    0.3335
176,     29.83,    0.3366
177,        30,    0.3374
178,     30.17,    0.3393
179,     30.33,    0.3412
180,      30.5,    0.3425
181,     30.67,    0.3427
182,     30.83,    0.3459
183,        31,    0.3473
184,     31.17,     0.349
185,     31.33,    0.3516
186,      31.5,    0.3526
187,     31.67,    0.3546
188,     31.83,    0.3576
189,        32,    0.3577
190,     32.17,    0.3621
191,     32.33,    0.3616
192,      32.5,    0.3616
193,     32.67,    0.3652
194,     32.83,    0.3671
195,        33,    0.3681
196,     33.17,    0.3697
197,     33.33,     0.374
198,      33.5,     0.375
199,     33.67,    0.3753
200,     33.83,    0.3795
201,        34,     0.379
202,     34.17,    0.3816
203,     34.33,    0.3834
204,      34.5,    0.3842
205,     34.67,    0.3871
206,     34.83,    0.3864
207,        35,     0.389
208,     35.17,    0.3914
209,     35.33,    0.3916
210,      35.5,    0.3934
211,     35.67,    0.3975
212,     35.83,    0.3973
213,        36,    0.4016
214,     36.17,    0.4012
215,     36.33,    0.4044
216,      36.5,    0.4049
217,     36.67,    0.4064
218,     36.83,    0.4091
219,        37,    0.4104
220,     37.17,    0.4118
221,     37.33,    0.4114
222,      37.5,    0.4124
223,     37.67,     0.416
224,     37.83,    0.4184
