,time,abs
0,       0.5,  0.002391
1,    0.6667,  0.003422
2,    0.8333,  0.003737
3,         1,  0.004258
4,     1.167,  0.003867
5,     1.333,  0.005245
6,       1.5,  0.005821
7,     1.667,   0.00688
8,     1.833,  0.007186
9,         2,  0.007598
10,     2.167,  0.007155
11,     2.333,  0.009476
12,       2.5,   0.00989
13,     2.667,   0.01053
14,     2.833,   0.01059
15,         3,   0.01203
16,     3.167,   0.01157
17,     3.333,   0.01289
18,       3.5,   0.01384
19,     3.667,    0.0136
20,     3.833,   0.01486
21,         4,   0.01504
22,     4.167,   0.01567
23,     4.333,   0.01635
24,       4.5,   0.01723
25,     4.667,   0.01765
26,     4.833,   0.01775
27,         5,    0.0194
28,     5.167,   0.01926
29,     5.333,   0.01982
30,       5.5,   0.02069
31,     5.667,   0.02161
32,     5.833,   0.02182
33,         6,   0.02259
34,     6.167,   0.02251
35,     6.333,   0.02498
36,       6.5,   0.02416
37,     6.667,   0.02524
38,     6.833,   0.02549
39,         7,   0.02674
40,     7.167,   0.02632
41,     7.333,    0.0271
42,       7.5,   0.02814
43,     7.667,   0.02897
44,     7.833,   0.03032
45,         8,   0.02976
46,     8.167,   0.03014
47,     8.333,   0.03164
48,       8.5,   0.03207
49,     8.667,   0.03219
50,     8.833,   0.03394
51,         9,   0.03375
52,     9.167,   0.03472
53,     9.333,   0.03448
54,       9.5,   0.03507
55,     9.667,   0.03538
56,     9.833,   0.03677
57,        10,   0.03706
58,     10.17,   0.03762
59,     10.33,    0.0381
60,      10.5,   0.03954
61,     10.67,   0.03941
62,     10.83,   0.04058
63,        11,   0.03991
64,     11.17,   0.04122
65,     11.33,   0.04301
66,      11.5,   0.04261
67,     11.67,   0.04405
68,     11.83,   0.04358
69,        12,   0.04458
70,     12.17,   0.04536
71,     12.33,   0.04598
72,      12.5,   0.04586
73,     12.67,   0.04703
74,     12.83,   0.04773
75,        13,   0.04742
76,     13.17,   0.04888
77,     13.33,   0.04937
78,      13.5,   0.04976
79,     13.67,   0.05125
80,     13.83,   0.05127
81,        14,   0.05161
82,     14.17,   0.05316
83,     14.33,   0.05281
84,      14.5,   0.05411
85,     14.67,   0.05422
86,     14.83,   0.05446
87,        15,   0.05455
88,     15.17,    0.0559
89,     15.33,   0.05634
90,      15.5,   0.05639
91,     15.67,   0.05692
92,     15.83,   0.05801
93,        16,   0.05873
94,     16.17,   0.06009
95,     16.33,   0.05927
96,      16.5,   0.06087
97,     16.67,   0.06071
98,     16.83,   0.06211
99,        17,    0.0624
100,     17.17,   0.06318
101,     17.33,   0.06302
102,      17.5,   0.06405
103,     17.67,   0.06419
104,     17.83,   0.06546
105,        18,   0.06605
106,     18.17,   0.06655
107,     18.33,   0.06717
108,      18.5,   0.06763
109,     18.67,   0.06744
110,     18.83,   0.06889
111,        19,   0.06897
112,     19.17,   0.06875
113,     19.33,   0.07077
114,      19.5,   0.07098
115,     19.67,   0.07182
116,     19.83,   0.07315
117,        20,   0.07177
118,     20.17,    0.0739
119,     20.33,   0.07528
120,      20.5,   0.07414
121,     20.67,   0.07435
122,     20.83,   0.07694
123,        21,   0.07711
124,     21.17,   0.07726
125,     21.33,   0.07718
126,      21.5,   0.07793
127,     21.67,   0.07871
128,     21.83,   0.07954
129,        22,   0.08045
130,     22.17,   0.07984
131,     22.33,   0.08016
132,      22.5,   0.08275
133,     22.67,    0.0821
134,     22.83,   0.08343
135,        23,   0.08291
136,     23.17,   0.08364
137,     23.33,   0.08511
138,      23.5,   0.08455
139,     23.67,   0.08575
140,     23.83,   0.08655
141,        24,   0.08658
142,     24.17,   0.08728
143,     24.33,    0.0877
144,      24.5,    0.0877
145,     24.67,   0.08824
146,     24.83,   0.08942
147,        25,   0.09018
148,     25.17,   0.08967
149,     25.33,   0.09152
150,      25.5,   0.09218
151,     25.67,   0.09194
152,     25.83,   0.09275
153,        26,   0.09399
154,     26.17,   0.09478
155,     26.33,   0.09493
156,      26.5,    0.0945
157,     26.67,   0.09563
158,     26.83,   0.09564
159,        27,   0.09766
160,     27.17,   0.09738
161,     27.33,   0.09829
162,      27.5,   0.09843
163,     27.67,   0.09869
164,     27.83,       0.1
165,        28,   0.09951
166,     28.17,    0.1014
167,     28.33,    0.1007
168,      28.5,    0.1023
169,     28.67,    0.1018
170,     28.83,    0.1037
171,        29,    0.1032
172,     29.17,    0.1038
173,     29.33,    0.1038
174,      29.5,    0.1054
175,     29.67,    0.1051
176,     29.83,    0.1076
177,        30,    0.1065
178,     30.17,     0.106
179,     30.33,    0.1078
180,      30.5,    0.1085
181,     30.67,    0.1091
182,     30.83,    0.1091
183,        31,    0.1094
184,     31.17,    0.1114
185,     31.33,    0.1104
186,      31.5,    0.1111
187,     31.67,    0.1122
188,     31.83,    0.1119
189,        32,    0.1138
190,     32.17,    0.1127
191,     32.33,     0.115
192,      32.5,    0.1155
193,     32.67,    0.1161
194,     32.83,    0.1163
195,        33,     0.117
196,     33.17,    0.1177
197,     33.33,    0.1175
198,      33.5,    0.1189
199,     33.67,    0.1189
200,     33.83,    0.1198
201,        34,    0.1199
202,     34.17,    0.1207
203,     34.33,    0.1228
204,      34.5,    0.1214
205,     34.67,    0.1221
206,     34.83,    0.1237
207,        35,    0.1236
208,     35.17,    0.1236
209,     35.33,     0.125
210,      35.5,    0.1248
211,     35.67,    0.1247
212,     35.83,    0.1263
213,        36,    0.1262
214,     36.17,    0.1266
215,     36.33,    0.1283
216,      36.5,    0.1287
217,     36.67,    0.1286
218,     36.83,    0.1288
219,        37,    0.1304
220,     37.17,    0.1317
221,     37.33,    0.1306
222,      37.5,    0.1315
223,     37.67,    0.1314
224,     37.83,    0.1337
225,        38,    0.1327
226,     38.17,    0.1343
227,     38.33,    0.1335
228,      38.5,    0.1349
229,     38.67,    0.1359
230,     38.83,    0.1365
231,        39,    0.1382
232,     39.17,    0.1377
233,     39.33,    0.1356
234,      39.5,    0.1385
235,     39.67,    0.1377
236,     39.83,    0.1399
237,        40,    0.1384
238,     40.17,    0.1396
239,     40.33,    0.1405
240,      40.5,    0.1404
