### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme", "E_Conc", "Row", "S_Conc"
"1",      "None",    0,        "A",   0.005  
"2",      "None",    0,        "B",   0.01   
"3",      "None",    0,        "C",   0.02   
"4",      "wt1",     1.0,      "D",   0.03   
"5",      "wt1",     1.0,      "E",   0.06   
"6",      "wt1",     1.0,      "F",   0.10   
"7",      "wt1",     0.5,      "G",   0.20   
"8",      "wt1",     0.5,      "H",   0.50   
"9",      "wt1",     0.5,         ,           
"10",     "wt1",     0.25,        ,           
"11",     "wt1",     0.25,        ,           
"12",     "wt1",     0.25,        ,           
