,time,abs
0,       0.5,  0.003757
1,    0.6667,  0.003712
2,    0.8333,   0.00468
3,         1,  0.006366
4,     1.167,  0.007246
5,     1.333,  0.008677
6,       1.5,  0.008001
7,     1.667,     0.011
8,     1.833,   0.01124
9,         2,    0.0152
10,     2.167,   0.01422
11,     2.333,   0.01506
12,       2.5,   0.01602
13,     2.667,   0.01724
14,     2.833,   0.01679
15,         3,   0.02061
16,     3.167,   0.02143
17,     3.333,   0.02093
18,       3.5,   0.02206
19,     3.667,   0.02477
20,     3.833,    0.0241
21,         4,   0.02385
22,     4.167,   0.02549
23,     4.333,   0.02771
24,       4.5,   0.02818
25,     4.667,   0.03048
26,     4.833,   0.03163
27,         5,   0.03134
28,     5.167,   0.03493
29,     5.333,   0.03483
30,       5.5,   0.03614
31,     5.667,   0.03746
32,     5.833,   0.03922
33,         6,   0.03995
34,     6.167,   0.03869
35,     6.333,   0.04106
36,       6.5,    0.0405
37,     6.667,   0.04384
38,     6.833,    0.0449
39,         7,   0.04669
40,     7.167,   0.04734
41,     7.333,    0.0497
42,       7.5,   0.05096
43,     7.667,   0.05002
44,     7.833,    0.0505
45,         8,   0.05246
46,     8.167,   0.05344
47,     8.333,    0.0543
48,       8.5,   0.05779
49,     8.667,   0.05549
50,     8.833,   0.05885
51,         9,   0.06009
52,     9.167,    0.0593
53,     9.333,   0.05917
54,       9.5,   0.06075
55,     9.667,   0.06127
56,     9.833,   0.06315
57,        10,   0.06662
58,     10.17,   0.06549
59,     10.33,   0.06536
60,      10.5,   0.06601
61,     10.67,   0.06831
62,     10.83,   0.07074
63,        11,    0.0706
64,     11.17,   0.07176
65,     11.33,   0.07202
66,      11.5,   0.07375
67,     11.67,   0.07588
68,     11.83,   0.07627
69,        12,   0.07528
70,     12.17,   0.07692
71,     12.33,   0.07849
72,      12.5,   0.07978
73,     12.67,    0.0782
74,     12.83,   0.08046
75,        13,   0.08305
76,     13.17,   0.08491
77,     13.33,   0.08635
78,      13.5,   0.08642
79,     13.67,   0.08684
80,     13.83,   0.08712
81,        14,   0.08951
82,     14.17,   0.09207
83,     14.33,   0.09087
84,      14.5,   0.09235
85,     14.67,   0.09488
86,     14.83,   0.09459
87,        15,   0.09447
88,     15.17,   0.09601
89,     15.33,   0.09602
90,      15.5,   0.09796
91,     15.67,   0.09848
92,     15.83,    0.1005
93,        16,    0.1004
94,     16.17,    0.1027
95,     16.33,    0.1037
96,      16.5,    0.1011
97,     16.67,    0.1055
98,     16.83,    0.1059
99,        17,    0.1074
100,     17.17,    0.1083
101,     17.33,    0.1112
102,      17.5,    0.1099
103,     17.67,    0.1107
104,     17.83,    0.1119
105,        18,    0.1122
106,     18.17,    0.1129
107,     18.33,    0.1131
108,      18.5,     0.115
109,     18.67,    0.1167
110,     18.83,    0.1176
111,        19,     0.121
112,     19.17,    0.1199
113,     19.33,    0.1216
114,      19.5,    0.1212
115,     19.67,    0.1239
116,     19.83,    0.1253
117,        20,    0.1264
118,     20.17,    0.1263
119,     20.33,    0.1269
120,      20.5,    0.1291
121,     20.67,    0.1295
122,     20.83,     0.129
123,        21,    0.1305
124,     21.17,    0.1314
125,     21.33,    0.1332
126,      21.5,    0.1351
127,     21.67,    0.1337
128,     21.83,    0.1351
129,        22,    0.1368
130,     22.17,    0.1385
131,     22.33,    0.1378
132,      22.5,    0.1393
133,     22.67,    0.1381
134,     22.83,    0.1401
135,        23,    0.1427
136,     23.17,    0.1447
137,     23.33,    0.1451
138,      23.5,     0.145
139,     23.67,    0.1465
140,     23.83,    0.1491
141,        24,    0.1475
142,     24.17,     0.147
143,     24.33,    0.1513
144,      24.5,    0.1508
145,     24.67,    0.1521
146,     24.83,    0.1538
147,        25,    0.1552
148,     25.17,    0.1519
149,     25.33,    0.1576
150,      25.5,    0.1585
151,     25.67,    0.1577
152,     25.83,    0.1562
153,        26,    0.1569
154,     26.17,    0.1606
155,     26.33,     0.162
156,      26.5,    0.1637
157,     26.67,     0.162
158,     26.83,    0.1651
159,        27,    0.1674
160,     27.17,    0.1624
161,     27.33,    0.1663
162,      27.5,    0.1685
163,     27.67,    0.1663
164,     27.83,    0.1675
165,        28,    0.1723
166,     28.17,    0.1699
167,     28.33,    0.1718
168,      28.5,    0.1726
169,     28.67,    0.1704
170,     28.83,     0.173
171,        29,    0.1757
172,     29.17,    0.1738
173,     29.33,     0.176
174,      29.5,    0.1788
175,     29.67,    0.1802
176,     29.83,    0.1806
177,        30,    0.1808
178,     30.17,    0.1796
179,     30.33,     0.182
180,      30.5,    0.1817
181,     30.67,    0.1849
182,     30.83,    0.1839
183,        31,    0.1865
184,     31.17,    0.1876
185,     31.33,    0.1868
186,      31.5,    0.1886
187,     31.67,     0.189
188,     31.83,    0.1915
189,        32,    0.1935
190,     32.17,    0.1926
191,     32.33,    0.1934
192,      32.5,    0.1943
193,     32.67,    0.1953
194,     32.83,    0.1959
195,        33,    0.1987
196,     33.17,    0.1993
197,     33.33,     0.198
198,      33.5,    0.1982
199,     33.67,    0.2034
200,     33.83,    0.1998
201,        34,    0.2027
202,     34.17,    0.2024
203,     34.33,    0.2027
204,      34.5,    0.2065
205,     34.67,    0.2048
206,     34.83,    0.2074
207,        35,    0.2081
208,     35.17,    0.2072
209,     35.33,    0.2091
210,      35.5,    0.2094
211,     35.67,    0.2077
212,     35.83,    0.2118
213,        36,    0.2096
214,     36.17,    0.2118
215,     36.33,    0.2119
216,      36.5,     0.213
217,     36.67,     0.214
218,     36.83,    0.2166
219,        37,     0.218
220,     37.17,    0.2183
221,     37.33,    0.2214
222,      37.5,    0.2191
223,     37.67,    0.2191
224,     37.83,    0.2213
225,        38,    0.2218
226,     38.17,    0.2246
227,     38.33,    0.2246
228,      38.5,    0.2237
229,     38.67,    0.2238
230,     38.83,    0.2243
231,        39,    0.2275
232,     39.17,    0.2283
233,     39.33,    0.2266
234,      39.5,    0.2286
235,     39.67,    0.2287
236,     39.83,    0.2301
237,        40,    0.2319
238,     40.17,    0.2326
239,     40.33,     0.235
240,      40.5,    0.2359
241,     40.67,    0.2354
242,     40.83,    0.2363
243,        41,    0.2373
244,     41.17,    0.2388
245,     41.33,    0.2375
246,      41.5,    0.2403
247,     41.67,     0.239
248,     41.83,    0.2442
249,        42,    0.2418
250,     42.17,    0.2433
251,     42.33,    0.2454
252,      42.5,    0.2436
253,     42.67,    0.2467
254,     42.83,    0.2456
255,        43,    0.2453
256,     43.17,    0.2465
257,     43.33,    0.2492
258,      43.5,    0.2499
259,     43.67,    0.2493
260,     43.83,    0.2525
261,        44,    0.2506
262,     44.17,    0.2538
263,     44.33,    0.2534
264,      44.5,    0.2516
265,     44.67,    0.2536
266,     44.83,    0.2542
267,        45,    0.2538
268,     45.17,    0.2552
269,     45.33,    0.2571
270,      45.5,    0.2569
271,     45.67,    0.2581
272,     45.83,    0.2607
273,        46,    0.2589
274,     46.17,    0.2613
275,     46.33,    0.2605
276,      46.5,    0.2624
277,     46.67,    0.2627
278,     46.83,     0.263
279,        47,     0.263
280,     47.17,    0.2645
281,     47.33,    0.2662
282,      47.5,    0.2661
283,     47.67,    0.2672
284,     47.83,    0.2679
285,        48,    0.2684
286,     48.17,    0.2691
287,     48.33,    0.2716
288,      48.5,    0.2732
289,     48.67,    0.2713
290,     48.83,    0.2709
291,        49,    0.2732
292,     49.17,    0.2751
293,     49.33,    0.2752
294,      49.5,    0.2742
295,     49.67,    0.2765
296,     49.83,    0.2765
297,        50,    0.2792
298,     50.17,      0.28
299,     50.33,    0.2788
300,      50.5,    0.2806
301,     50.67,    0.2815
302,     50.83,    0.2819
303,        51,    0.2825
304,     51.17,    0.2843
305,     51.33,    0.2846
306,      51.5,     0.286
307,     51.67,    0.2858
308,     51.83,    0.2863
309,        52,    0.2847
310,     52.17,    0.2874
311,     52.33,    0.2873
312,      52.5,    0.2903
313,     52.67,     0.288
314,     52.83,    0.2916
315,        53,    0.2891
316,     53.17,    0.2919
317,     53.33,    0.2924
318,      53.5,    0.2912
319,     53.67,     0.292
320,     53.83,     0.296
321,        54,    0.2961
322,     54.17,    0.2948
323,     54.33,    0.2965
324,      54.5,    0.2966
325,     54.67,    0.2967
326,     54.83,    0.3012
327,        55,    0.2975
328,     55.17,     0.302
329,     55.33,    0.3002
330,      55.5,    0.3014
331,     55.67,    0.3022
332,     55.83,    0.3002
333,        56,    0.3016
334,     56.17,    0.3023
335,     56.33,    0.3027
336,      56.5,    0.3032
337,     56.67,    0.3043
338,     56.83,    0.3065
339,        57,    0.3081
340,     57.17,    0.3063
341,     57.33,     0.309
342,      57.5,    0.3083
343,     57.67,    0.3108
344,     57.83,    0.3093
345,        58,    0.3105
346,     58.17,    0.3113
347,     58.33,    0.3149
348,      58.5,    0.3123
349,     58.67,    0.3152
350,     58.83,    0.3144
351,        59,    0.3172
352,     59.17,     0.315
353,     59.33,    0.3149
354,      59.5,    0.3186
355,     59.67,    0.3169
356,     59.83,    0.3175
357,        60,    0.3176
