,time,abs
0,       0.5,-0.0008685
1,    0.6667, 0.0006673
2,    0.8333,-5.854e-05
3,         1, 0.0008611
4,     1.167,-0.0007418
5,     1.333, -0.000596
6,       1.5,-0.0001288
7,     1.667,-0.0004043
8,     1.833,  -2.8e-05
9,         2,-6.409e-07
10,     2.167,  0.002194
11,     2.333,-0.0003631
12,       2.5,   0.00281
13,     2.667,-0.0008306
14,     2.833, 0.0007447
15,         3, 0.0001438
16,     3.167, 0.0006975
17,     3.333,  0.001432
18,       3.5,-4.156e-05
19,     3.667,-0.0008598
20,     3.833, -0.000121
21,         4, 0.0002214
22,     4.167,-0.0008773
23,     4.333,  0.001533
24,       4.5, 0.0004844
25,     4.667, -0.001005
26,     4.833,-0.0002351
27,         5, 0.0008137
28,     5.167,-0.0007999
29,     5.333,  0.001892
30,       5.5, 1.604e-05
31,     5.667,  0.001709
32,     5.833, 0.0004909
33,         6,  0.001409
34,     6.167,  0.001302
35,     6.333,   0.00145
36,       6.5,  0.001216
37,     6.667, 0.0001038
38,     6.833,  0.001415
39,         7,  0.002006
40,     7.167,  0.001275
41,     7.333, -0.000238
42,       7.5,  0.001707
43,     7.667,  0.002199
44,     7.833,   0.00357
45,         8,  0.003388
46,     8.167,   0.00173
47,     8.333,  0.001559
48,       8.5,  0.003997
49,     8.667,  0.001412
50,     8.833,  0.004349
51,         9, 0.0005824
52,     9.167, 5.782e-06
53,     9.333,  0.002333
54,       9.5, 0.0008705
55,     9.667,  0.001547
56,     9.833,  0.001728
57,        10,  0.001234
58,     10.17,  0.002368
59,     10.33,  0.001296
60,      10.5,  0.003198
61,     10.67,  0.003177
62,     10.83,  0.001828
63,        11,  0.002429
64,     11.17,-0.0001629
65,     11.33,  0.001446
66,      11.5,  0.001317
67,     11.67,  0.001061
68,     11.83, 0.0005687
69,        12,  0.002129
70,     12.17,  0.002725
71,     12.33,  0.001833
72,      12.5,  0.001473
73,     12.67,  0.002553
74,     12.83, 0.0004344
75,        13,  0.002249
76,     13.17,-0.0005595
77,     13.33,  0.002147
78,      13.5,  0.001787
79,     13.67,  0.001095
80,     13.83,  0.002231
81,        14,  0.001626
82,     14.17,  0.003504
83,     14.33,  0.001944
84,      14.5,  0.003246
85,     14.67,  0.001709
86,     14.83,  0.002302
87,        15, -0.000454
88,     15.17,    0.0039
89,     15.33,  0.003274
90,      15.5,  0.001351
91,     15.67,  0.003182
92,     15.83,  0.003552
93,        16,  0.003701
94,     16.17,  0.003996
95,     16.33,  0.003116
96,      16.5,  0.003432
97,     16.67,  0.003074
98,     16.83,  0.001958
99,        17,  0.003786
100,     17.17,  0.003398
101,     17.33,  0.002029
102,      17.5,  0.001907
103,     17.67,  0.001384
104,     17.83,  0.002298
105,        18,  0.001624
106,     18.17,  0.001651
107,     18.33,  0.004068
108,      18.5,  0.003886
109,     18.67,  0.001527
110,     18.83,  0.001485
111,        19,   0.00356
112,     19.17,  0.002812
113,     19.33,  0.003382
114,      19.5,  0.002709
115,     19.67,   0.00267
116,     19.83,  0.003232
117,        20,  0.002559
118,     20.17,  0.004102
119,     20.33,   0.00114
120,      20.5,  0.002947
121,     20.67,  0.005804
122,     20.83,  0.002567
123,        21,  0.002763
124,     21.17,  0.003185
125,     21.33,  0.002147
126,      21.5,   0.00377
127,     21.67,  0.003215
128,     21.83,  0.003793
129,        22,  0.004621
130,     22.17,   0.00265
131,     22.33,  0.002428
132,      22.5,  0.004796
133,     22.67,   0.00381
134,     22.83,  0.004032
135,        23,  0.004219
136,     23.17,  0.001686
137,     23.33,  0.002764
138,      23.5,  0.002349
139,     23.67,   0.00452
140,     23.83,  0.005344
141,        24,  0.002189
142,     24.17,  0.002836
143,     24.33,    0.0035
144,      24.5,  0.004919
145,     24.67,  0.002744
146,     24.83,   0.00413
147,        25,  0.004306
148,     25.17,  0.003351
149,     25.33,  0.005007
150,      25.5,  0.004724
151,     25.67,  0.004394
152,     25.83,  0.003779
153,        26,  0.004148
154,     26.17,  0.002032
155,     26.33,  0.003007
156,      26.5,  0.004376
157,     26.67,  0.002902
158,     26.83,  0.002936
159,        27,  0.004314
160,     27.17,  0.005199
161,     27.33,  0.002939
162,      27.5,  0.003028
163,     27.67,  0.002999
164,     27.83,  0.002938
165,        28,  0.004048
166,     28.17,  0.005565
167,     28.33,  0.005152
168,      28.5,  0.005222
169,     28.67,  0.004344
170,     28.83,  0.006008
171,        29,  0.005472
172,     29.17,  0.004504
173,     29.33,  0.004327
174,      29.5,  0.002953
175,     29.67,  0.006035
176,     29.83,  0.005515
177,        30,  0.002788
178,     30.17,  0.006521
179,     30.33,  0.003679
180,      30.5,  0.004377
181,     30.67,  0.002941
182,     30.83,   0.00362
183,        31,  0.003801
184,     31.17,  0.004405
185,     31.33,  0.007015
186,      31.5,  0.003887
187,     31.67,  0.005369
188,     31.83,  0.003139
189,        32,  0.002591
190,     32.17,  0.004262
191,     32.33,  0.004402
192,      32.5,  0.006516
193,     32.67,  0.004343
194,     32.83,  0.005007
195,        33,  0.003541
196,     33.17,  0.002194
197,     33.33,  0.002787
198,      33.5,  0.005999
199,     33.67,  0.005968
200,     33.83,  0.006223
201,        34,  0.005463
202,     34.17,  0.004388
203,     34.33,  0.005737
204,      34.5,  0.005058
205,     34.67,  0.005555
206,     34.83,  0.005506
207,        35,   0.00668
208,     35.17,  0.004807
209,     35.33,  0.004598
210,      35.5,  0.004794
211,     35.67,  0.005987
212,     35.83,  0.005969
213,        36,  0.004666
214,     36.17,  0.006555
215,     36.33,  0.004829
216,      36.5,  0.005119
217,     36.67,  0.003938
218,     36.83,  0.005731
219,        37,   0.00362
220,     37.17,  0.005192
221,     37.33,  0.004954
222,      37.5,  0.005768
223,     37.67,  0.006003
224,     37.83,  0.003996
225,        38,  0.007166
226,     38.17,  0.004424
227,     38.33,  0.005171
228,      38.5,  0.004881
229,     38.67,  0.005161
230,     38.83,  0.005262
231,        39,   0.00706
232,     39.17,   0.00504
233,     39.33,  0.003656
234,      39.5,  0.005474
235,     39.67,  0.007316
236,     39.83,  0.006287
237,        40,    0.0069
238,     40.17,  0.006023
239,     40.33,  0.005864
240,      40.5,  0.005188
241,     40.67,  0.006887
242,     40.83,  0.006862
243,        41,  0.007069
244,     41.17,  0.004984
245,     41.33,  0.005841
246,      41.5,  0.007604
247,     41.67,  0.008237
248,     41.83,  0.006817
249,        42,  0.005392
250,     42.17,   0.00606
251,     42.33,  0.007209
252,      42.5,   0.00591
253,     42.67,  0.008161
254,     42.83,  0.006477
255,        43,  0.004542
256,     43.17,  0.005626
257,     43.33,  0.007016
258,      43.5,  0.006918
259,     43.67,  0.006293
260,     43.83,  0.006815
261,        44,  0.007632
262,     44.17,  0.006696
263,     44.33,  0.007321
264,      44.5,  0.006041
265,     44.67,  0.007228
266,     44.83,  0.006081
267,        45,  0.006117
268,     45.17,  0.004606
269,     45.33,  0.006735
270,      45.5,  0.006979
271,     45.67,  0.005642
272,     45.83,  0.006931
273,        46,  0.006433
274,     46.17,  0.006921
275,     46.33,  0.005899
276,      46.5,  0.007949
277,     46.67,   0.00734
278,     46.83,  0.005455
279,        47,  0.005039
280,     47.17,  0.006669
281,     47.33,  0.006109
282,      47.5,  0.007161
283,     47.67,   0.00798
284,     47.83,  0.008794
285,        48,  0.008104
286,     48.17,  0.007392
287,     48.33,  0.006119
288,      48.5,  0.005174
289,     48.67,  0.006951
290,     48.83,  0.007572
291,        49,  0.007249
292,     49.17,   0.00765
293,     49.33,  0.007641
294,      49.5,  0.007136
295,     49.67,   0.00662
296,     49.83,  0.006104
297,        50,  0.007955
298,     50.17,  0.005528
299,     50.33,   0.00713
300,      50.5,  0.006354
301,     50.67,  0.007518
302,     50.83,  0.006528
303,        51,  0.008223
304,     51.17,  0.007723
305,     51.33,  0.005233
306,      51.5,  0.007796
307,     51.67,   0.00757
308,     51.83,  0.007494
309,        52,  0.007422
310,     52.17,  0.007154
311,     52.33,  0.009136
312,      52.5,  0.006414
313,     52.67,  0.007517
314,     52.83,  0.008988
315,        53,  0.005434
316,     53.17,  0.008219
317,     53.33,  0.008014
318,      53.5,  0.007956
319,     53.67,  0.008124
320,     53.83,   0.00746
321,        54,  0.006954
322,     54.17,  0.008372
323,     54.33,  0.008448
324,      54.5,  0.008546
325,     54.67,  0.009274
326,     54.83,  0.009447
327,        55,  0.007433
328,     55.17,   0.00655
329,     55.33,  0.009533
330,      55.5,  0.008127
331,     55.67,  0.007003
332,     55.83,   0.01006
333,        56,  0.008681
334,     56.17,   0.00885
335,     56.33,  0.007491
336,      56.5,  0.009104
337,     56.67,  0.009232
338,     56.83,  0.009683
339,        57,  0.009206
340,     57.17,  0.008795
341,     57.33,   0.01021
342,      57.5,   0.00824
343,     57.67,  0.007515
344,     57.83,  0.008886
345,        58,  0.008112
346,     58.17,  0.008931
347,     58.33,  0.008812
348,      58.5,  0.008485
349,     58.67,   0.01072
350,     58.83,  0.009288
351,        59,  0.008397
352,     59.17,  0.009217
353,     59.33,  0.007577
354,      59.5,  0.009663
355,     59.67,  0.006661
356,     59.83,  0.008229
357,        60,  0.006697
