,time,abs
0,       0.5,   0.01832
1,    0.6667,   0.02519
2,    0.8333,   0.03052
3,         1,   0.03634
4,     1.167,   0.04391
5,     1.333,   0.05021
6,       1.5,   0.05832
7,     1.667,   0.06307
8,     1.833,   0.06946
9,         2,   0.07509
10,     2.167,   0.08225
11,     2.333,   0.08762
12,       2.5,   0.09377
13,     2.667,    0.1002
14,     2.833,    0.1057
15,         3,    0.1143
16,     3.167,    0.1196
17,     3.333,    0.1236
18,       3.5,    0.1329
19,     3.667,    0.1375
20,     3.833,     0.145
21,         4,    0.1514
22,     4.167,    0.1584
23,     4.333,     0.162
24,       4.5,    0.1698
25,     4.667,    0.1758
26,     4.833,    0.1811
27,         5,    0.1859
28,     5.167,    0.1945
29,     5.333,    0.2009
30,       5.5,    0.2058
31,     5.667,    0.2123
32,     5.833,    0.2198
33,         6,    0.2232
34,     6.167,    0.2316
35,     6.333,    0.2348
36,       6.5,    0.2439
37,     6.667,     0.246
38,     6.833,    0.2545
39,         7,    0.2615
40,     7.167,    0.2674
41,     7.333,    0.2735
42,       7.5,    0.2786
43,     7.667,    0.2853
44,     7.833,     0.292
45,         8,    0.2979
46,     8.167,    0.3021
47,     8.333,    0.3103
48,       8.5,    0.3133
49,     8.667,    0.3224
50,     8.833,    0.3251
51,         9,    0.3335
52,     9.167,    0.3387
53,     9.333,    0.3455
54,       9.5,    0.3505
55,     9.667,    0.3573
56,     9.833,    0.3632
57,        10,    0.3686
58,     10.17,    0.3747
59,     10.33,    0.3818
60,      10.5,    0.3863
61,     10.67,    0.3959
62,     10.83,    0.3985
63,        11,    0.4022
64,     11.17,    0.4098
65,     11.33,    0.4188
66,      11.5,    0.4227
67,     11.67,    0.4283
68,     11.83,    0.4351
69,        12,    0.4401
70,     12.17,    0.4474
71,     12.33,    0.4523
72,      12.5,    0.4591
73,     12.67,    0.4608
74,     12.83,    0.4704
75,        13,    0.4749
76,     13.17,    0.4816
77,     13.33,    0.4872
78,      13.5,    0.4924
79,     13.67,    0.4977
80,     13.83,    0.5041
81,        14,    0.5141
82,     14.17,    0.5146
83,     14.33,     0.523
84,      14.5,    0.5263
85,     14.67,    0.5346
86,     14.83,    0.5416
87,        15,    0.5474
88,     15.17,    0.5516
89,     15.33,     0.554
90,      15.5,    0.5646
91,     15.67,    0.5674
92,     15.83,    0.5724
93,        16,    0.5841
94,     16.17,    0.5889
95,     16.33,    0.5898
96,      16.5,    0.5952
97,     16.67,    0.6012
98,     16.83,    0.6073
99,        17,    0.6127
100,     17.17,    0.6135
101,     17.33,    0.6259
102,      17.5,    0.6284
