,time,abs
0,       0.5,   0.01428
1,    0.6667,   0.02087
2,    0.8333,   0.02621
3,         1,    0.0316
4,     1.167,   0.03523
5,     1.333,    0.0405
6,       1.5,   0.04676
7,     1.667,   0.04968
8,     1.833,   0.05632
9,         2,   0.06029
10,     2.167,   0.06684
11,     2.333,   0.07053
12,       2.5,   0.07692
13,     2.667,   0.08091
14,     2.833,   0.08666
15,         3,   0.09146
16,     3.167,    0.0955
17,     3.333,    0.1003
18,       3.5,    0.1042
19,     3.667,    0.1104
20,     3.833,    0.1169
21,         4,    0.1205
22,     4.167,    0.1269
23,     4.333,    0.1314
24,       4.5,    0.1346
25,     4.667,      0.14
26,     4.833,    0.1457
27,         5,    0.1501
28,     5.167,    0.1549
29,     5.333,    0.1592
30,       5.5,    0.1644
31,     5.667,     0.168
32,     5.833,    0.1733
33,         6,    0.1794
34,     6.167,     0.185
35,     6.333,    0.1871
36,       6.5,    0.1912
37,     6.667,    0.1976
38,     6.833,     0.202
39,         7,    0.2048
40,     7.167,     0.211
41,     7.333,    0.2185
42,       7.5,     0.219
43,     7.667,    0.2261
44,     7.833,    0.2279
45,         8,    0.2349
46,     8.167,    0.2408
47,     8.333,    0.2435
48,       8.5,    0.2474
49,     8.667,    0.2535
50,     8.833,      0.26
51,         9,    0.2626
52,     9.167,    0.2652
53,     9.333,    0.2716
54,       9.5,     0.273
55,     9.667,    0.2802
56,     9.833,    0.2817
57,        10,    0.2878
58,     10.17,     0.292
59,     10.33,    0.2971
60,      10.5,     0.303
61,     10.67,    0.3039
62,     10.83,    0.3094
63,        11,    0.3108
64,     11.17,    0.3195
65,     11.33,    0.3223
66,      11.5,    0.3262
67,     11.67,    0.3308
68,     11.83,    0.3358
69,        12,    0.3394
70,     12.17,    0.3436
71,     12.33,    0.3469
72,      12.5,    0.3504
73,     12.67,    0.3536
74,     12.83,    0.3592
75,        13,    0.3642
76,     13.17,    0.3695
77,     13.33,     0.371
78,      13.5,    0.3766
79,     13.67,    0.3771
80,     13.83,    0.3839
81,        14,      0.39
82,     14.17,    0.3934
83,     14.33,    0.3943
84,      14.5,    0.4001
85,     14.67,    0.4009
86,     14.83,    0.4033
87,        15,    0.4074
88,     15.17,    0.4116
89,     15.33,     0.417
90,      15.5,    0.4208
91,     15.67,    0.4235
92,     15.83,    0.4284
93,        16,    0.4316
94,     16.17,    0.4385
95,     16.33,    0.4413
96,      16.5,    0.4453
97,     16.67,    0.4471
98,     16.83,    0.4497
99,        17,    0.4547
100,     17.17,     0.459
101,     17.33,    0.4609
102,      17.5,    0.4654
103,     17.67,    0.4673
104,     17.83,    0.4712
105,        18,    0.4758
106,     18.17,    0.4782
107,     18.33,    0.4868
108,      18.5,    0.4851
109,     18.67,    0.4903
110,     18.83,    0.4926
111,        19,    0.4964
112,     19.17,    0.4977
113,     19.33,    0.5015
114,      19.5,    0.5068
115,     19.67,    0.5076
116,     19.83,    0.5127
117,        20,    0.5156
118,     20.17,    0.5204
119,     20.33,    0.5222
120,      20.5,    0.5245
121,     20.67,    0.5298
122,     20.83,    0.5323
123,        21,    0.5339
124,     21.17,    0.5402
125,     21.33,    0.5403
126,      21.5,    0.5433
127,     21.67,    0.5487
128,     21.83,    0.5485
129,        22,    0.5556
130,     22.17,    0.5543
131,     22.33,    0.5581
132,      22.5,    0.5588
133,     22.67,    0.5648
134,     22.83,    0.5656
135,        23,    0.5696
136,     23.17,    0.5724
137,     23.33,    0.5736
138,      23.5,    0.5802
139,     23.67,    0.5791
140,     23.83,    0.5842
141,        24,    0.5895
142,     24.17,    0.5851
143,     24.33,    0.5893
144,      24.5,    0.5959
145,     24.67,    0.5973
146,     24.83,    0.5981
147,        25,    0.6004
148,     25.17,     0.604
149,     25.33,    0.6043
150,      25.5,    0.6119
151,     25.67,    0.6102
152,     25.83,    0.6154
153,        26,    0.6185
154,     26.17,    0.6205
155,     26.33,    0.6148
156,      26.5,    0.6225
157,     26.67,    0.6268
158,     26.83,    0.6325
159,        27,    0.6319
160,     27.17,    0.6352
161,     27.33,    0.6329
162,      27.5,    0.6358
163,     27.67,    0.6352
164,     27.83,    0.6383
165,        28,     0.646
166,     28.17,    0.6444
167,     28.33,    0.6477
168,      28.5,    0.6517
169,     28.67,    0.6533
170,     28.83,    0.6516
171,        29,    0.6608
172,     29.17,    0.6601
173,     29.33,    0.6567
174,      29.5,    0.6631
175,     29.67,    0.6679
176,     29.83,    0.6642
177,        30,    0.6686
178,     30.17,    0.6696
179,     30.33,    0.6721
180,      30.5,    0.6732
181,     30.67,    0.6762
182,     30.83,    0.6739
183,        31,    0.6759
184,     31.17,    0.6792
185,     31.33,    0.6821
186,      31.5,    0.6875
187,     31.67,    0.6838
188,     31.83,    0.6875
189,        32,    0.6888
190,     32.17,    0.6917
191,     32.33,    0.6914
192,      32.5,    0.6904
193,     32.67,    0.6936
194,     32.83,    0.6946
195,        33,    0.6986
196,     33.17,    0.6966
197,     33.33,     0.702
198,      33.5,    0.7047
199,     33.67,    0.7064
200,     33.83,    0.7059
201,        34,    0.7089
202,     34.17,    0.7033
203,     34.33,    0.7142
204,      34.5,    0.7139
205,     34.67,    0.7091
206,     34.83,    0.7151
207,        35,    0.7087
208,     35.17,    0.7179
209,     35.33,    0.7144
210,      35.5,    0.7188
211,     35.67,    0.7177
212,     35.83,    0.7191
213,        36,    0.7233
214,     36.17,    0.7241
215,     36.33,    0.7278
216,      36.5,    0.7225
217,     36.67,    0.7307
218,     36.83,    0.7318
219,        37,    0.7277
220,     37.17,    0.7262
221,     37.33,    0.7342
222,      37.5,    0.7348
223,     37.67,      0.73
224,     37.83,    0.7341
225,        38,    0.7357
226,     38.17,    0.7386
227,     38.33,    0.7342
228,      38.5,    0.7403
229,     38.67,    0.7397
230,     38.83,    0.7432
231,        39,    0.7431
232,     39.17,    0.7433
233,     39.33,    0.7383
234,      39.5,    0.7446
235,     39.67,    0.7449
236,     39.83,    0.7418
237,        40,    0.7504
238,     40.17,    0.7443
239,     40.33,    0.7519
240,      40.5,    0.7463
241,     40.67,     0.748
242,     40.83,    0.7485
243,        41,    0.7478
244,     41.17,    0.7536
245,     41.33,    0.7537
246,      41.5,    0.7522
247,     41.67,    0.7503
248,     41.83,    0.7562
249,        42,    0.7597
250,     42.17,    0.7551
251,     42.33,     0.757
252,      42.5,    0.7548
253,     42.67,    0.7603
254,     42.83,    0.7577
255,        43,    0.7617
256,     43.17,    0.7639
257,     43.33,    0.7601
258,      43.5,    0.7662
259,     43.67,    0.7588
260,     43.83,    0.7663
261,        44,    0.7636
262,     44.17,    0.7666
263,     44.33,    0.7643
264,      44.5,    0.7666
265,     44.67,    0.7655
266,     44.83,    0.7713
267,        45,    0.7685
268,     45.17,    0.7685
269,     45.33,    0.7717
270,      45.5,    0.7691
271,     45.67,    0.7707
272,     45.83,    0.7735
273,        46,    0.7718
274,     46.17,    0.7754
275,     46.33,    0.7741
276,      46.5,    0.7763
277,     46.67,    0.7762
278,     46.83,    0.7717
279,        47,    0.7699
280,     47.17,    0.7771
281,     47.33,    0.7755
282,      47.5,    0.7786
283,     47.67,    0.7754
284,     47.83,    0.7739
285,        48,    0.7712
286,     48.17,    0.7783
287,     48.33,    0.7767
288,      48.5,    0.7762
289,     48.67,    0.7842
290,     48.83,    0.7774
291,        49,     0.778
292,     49.17,     0.782
293,     49.33,    0.7813
294,      49.5,    0.7762
295,     49.67,    0.7827
296,     49.83,    0.7811
297,        50,    0.7814
298,     50.17,    0.7794
299,     50.33,    0.7805
300,      50.5,    0.7813
301,     50.67,    0.7826
302,     50.83,    0.7888
303,        51,    0.7822
304,     51.17,    0.7873
305,     51.33,     0.779
306,      51.5,    0.7884
307,     51.67,    0.7849
308,     51.83,    0.7878
309,        52,    0.7861
310,     52.17,    0.7942
311,     52.33,     0.784
312,      52.5,    0.7898
313,     52.67,    0.7853
314,     52.83,    0.7892
315,        53,    0.7887
316,     53.17,    0.7882
317,     53.33,    0.7923
318,      53.5,    0.7901
319,     53.67,    0.7862
320,     53.83,    0.7935
321,        54,    0.7892
322,     54.17,    0.7914
323,     54.33,    0.7842
324,      54.5,    0.7916
325,     54.67,    0.7876
326,     54.83,    0.7921
327,        55,    0.7916
328,     55.17,    0.7922
329,     55.33,    0.7918
330,      55.5,    0.7943
331,     55.67,    0.7925
332,     55.83,    0.7917
333,        56,    0.7909
334,     56.17,    0.7939
335,     56.33,    0.7924
336,      56.5,    0.7946
337,     56.67,    0.7916
338,     56.83,    0.7945
339,        57,    0.7954
340,     57.17,    0.7997
341,     57.33,    0.7949
342,      57.5,    0.7921
343,     57.67,    0.7961
344,     57.83,    0.7935
345,        58,    0.7957
346,     58.17,    0.7939
347,     58.33,    0.7983
348,      58.5,    0.7982
349,     58.67,     0.795
350,     58.83,     0.791
351,        59,    0.7963
352,     59.17,    0.7993
353,     59.33,     0.798
354,      59.5,    0.8011
355,     59.67,    0.7968
356,     59.83,    0.7946
357,        60,    0.8005
