,time,abs
0,       0.5,   0.02332
1,    0.6667,   0.03027
2,    0.8333,    0.0379
3,         1,   0.04657
4,     1.167,   0.05099
5,     1.333,   0.05971
6,       1.5,   0.06568
7,     1.667,   0.07522
8,     1.833,   0.08271
9,         2,   0.08971
10,     2.167,   0.09624
11,     2.333,     0.106
12,       2.5,    0.1128
13,     2.667,    0.1215
14,     2.833,    0.1302
15,         3,    0.1361
16,     3.167,    0.1424
17,     3.333,    0.1517
18,       3.5,    0.1569
19,     3.667,    0.1655
20,     3.833,    0.1708
21,         4,    0.1809
22,     4.167,     0.188
23,     4.333,    0.1941
24,       4.5,    0.2034
25,     4.667,    0.2081
26,     4.833,    0.2177
27,         5,    0.2244
28,     5.167,    0.2325
29,     5.333,    0.2423
30,       5.5,     0.247
31,     5.667,    0.2531
32,     5.833,    0.2628
33,         6,    0.2689
34,     6.167,    0.2772
35,     6.333,    0.2874
36,       6.5,    0.2927
37,     6.667,    0.3013
38,     6.833,    0.3063
39,         7,     0.316
40,     7.167,    0.3235
41,     7.333,    0.3322
42,       7.5,    0.3354
43,     7.667,    0.3457
44,     7.833,    0.3526
45,         8,     0.361
46,     8.167,    0.3685
47,     8.333,    0.3743
48,       8.5,    0.3812
49,     8.667,    0.3889
50,     8.833,    0.3941
51,         9,    0.4056
52,     9.167,    0.4104
53,     9.333,    0.4168
54,       9.5,    0.4263
55,     9.667,    0.4354
56,     9.833,    0.4432
57,        10,    0.4492
58,     10.17,    0.4589
59,     10.33,    0.4631
60,      10.5,    0.4721
61,     10.67,    0.4764
62,     10.83,     0.487
63,        11,    0.4949
64,     11.17,    0.4981
65,     11.33,    0.5093
66,      11.5,    0.5179
67,     11.67,    0.5227
68,     11.83,    0.5334
69,        12,    0.5364
70,     12.17,    0.5478
71,     12.33,    0.5529
72,      12.5,    0.5599
73,     12.67,    0.5683
74,     12.83,    0.5731
75,        13,    0.5848
76,     13.17,    0.5906
77,     13.33,    0.5999
78,      13.5,    0.6042
79,     13.67,     0.612
80,     13.83,    0.6176
81,        14,    0.6269
82,     14.17,    0.6344
83,     14.33,    0.6444
84,      14.5,    0.6503
85,     14.67,    0.6561
86,     14.83,    0.6668
87,        15,    0.6665
88,     15.17,    0.6797
89,     15.33,    0.6869
90,      15.5,     0.693
91,     15.67,    0.6987
92,     15.83,    0.7039
93,        16,    0.7159
94,     16.17,    0.7245
95,     16.33,    0.7277
96,      16.5,    0.7401
97,     16.67,    0.7481
98,     16.83,    0.7551
99,        17,    0.7615
100,     17.17,    0.7699
101,     17.33,    0.7719
102,      17.5,    0.7824
103,     17.67,    0.7885
104,     17.83,    0.8006
105,        18,    0.8048
106,     18.17,    0.8115
107,     18.33,    0.8204
108,      18.5,    0.8286
109,     18.67,    0.8383
110,     18.83,    0.8462
111,        19,     0.851
112,     19.17,    0.8576
113,     19.33,    0.8682
114,      19.5,    0.8722
115,     19.67,    0.8762
116,     19.83,    0.8841
117,        20,    0.8966
118,     20.17,    0.8991
119,     20.33,    0.9004
120,      20.5,     0.918
121,     20.67,    0.9179
122,     20.83,    0.9345
123,        21,      0.94
124,     21.17,    0.9469
125,     21.33,    0.9578
126,      21.5,    0.9595
127,     21.67,    0.9669
128,     21.83,    0.9835
