,time,abs
0,       0.5,  0.009918
1,    0.6667,   0.01044
2,    0.8333,   0.01428
3,         1,   0.01442
4,     1.167,   0.01906
5,     1.333,   0.02244
6,       1.5,   0.02535
7,     1.667,   0.02633
8,     1.833,   0.03043
9,         2,   0.03393
10,     2.167,    0.0357
11,     2.333,   0.03851
12,       2.5,   0.03924
13,     2.667,   0.04424
14,     2.833,   0.04547
15,         3,   0.04623
16,     3.167,   0.05004
17,     3.333,   0.05152
18,       3.5,   0.05453
19,     3.667,   0.05559
20,     3.833,   0.05911
21,         4,   0.06105
22,     4.167,   0.06521
23,     4.333,   0.06711
24,       4.5,   0.06984
25,     4.667,   0.07259
26,     4.833,   0.07464
27,         5,   0.07761
28,     5.167,   0.07775
29,     5.333,   0.07883
30,       5.5,   0.08338
31,     5.667,   0.08378
32,     5.833,    0.0852
33,         6,   0.08956
34,     6.167,   0.09287
35,     6.333,   0.09424
36,       6.5,   0.09511
37,     6.667,   0.09664
38,     6.833,   0.09859
39,         7,   0.09895
40,     7.167,    0.1025
41,     7.333,    0.1057
42,       7.5,    0.1051
43,     7.667,    0.1104
44,     7.833,     0.112
45,         8,    0.1129
46,     8.167,    0.1151
47,     8.333,    0.1133
48,       8.5,    0.1192
49,     8.667,    0.1194
50,     8.833,    0.1203
51,         9,    0.1242
52,     9.167,    0.1249
53,     9.333,    0.1275
54,       9.5,     0.129
55,     9.667,    0.1306
56,     9.833,    0.1283
57,        10,    0.1335
58,     10.17,    0.1364
59,     10.33,    0.1364
60,      10.5,    0.1387
61,     10.67,    0.1394
62,     10.83,    0.1433
63,        11,    0.1425
64,     11.17,    0.1427
65,     11.33,    0.1443
66,      11.5,    0.1467
67,     11.67,    0.1472
68,     11.83,    0.1502
69,        12,    0.1503
70,     12.17,    0.1512
71,     12.33,    0.1544
72,      12.5,    0.1561
73,     12.67,    0.1556
74,     12.83,    0.1555
75,        13,    0.1601
76,     13.17,    0.1596
77,     13.33,    0.1598
78,      13.5,     0.162
79,     13.67,    0.1637
80,     13.83,    0.1667
81,        14,    0.1631
82,     14.17,    0.1674
83,     14.33,    0.1668
84,      14.5,    0.1691
85,     14.67,    0.1693
86,     14.83,    0.1707
87,        15,    0.1726
88,     15.17,    0.1725
89,     15.33,    0.1729
90,      15.5,    0.1777
91,     15.67,    0.1768
92,     15.83,    0.1766
93,        16,    0.1797
94,     16.17,    0.1787
95,     16.33,     0.181
96,      16.5,    0.1801
97,     16.67,    0.1832
98,     16.83,    0.1838
99,        17,     0.184
100,     17.17,    0.1832
101,     17.33,    0.1864
102,      17.5,    0.1848
103,     17.67,     0.188
104,     17.83,    0.1878
105,        18,    0.1874
106,     18.17,    0.1889
107,     18.33,    0.1897
108,      18.5,    0.1929
109,     18.67,     0.192
110,     18.83,    0.1909
111,        19,    0.1918
112,     19.17,    0.1944
113,     19.33,    0.1937
114,      19.5,    0.1961
115,     19.67,    0.1958
116,     19.83,    0.1982
117,        20,    0.1987
118,     20.17,    0.1977
119,     20.33,    0.1999
120,      20.5,    0.1981
121,     20.67,    0.2012
122,     20.83,    0.2001
123,        21,    0.2024
124,     21.17,     0.202
125,     21.33,    0.2052
126,      21.5,     0.201
127,     21.67,    0.2037
128,     21.83,    0.2042
129,        22,     0.206
130,     22.17,    0.2032
131,     22.33,    0.2063
132,      22.5,    0.2081
133,     22.67,    0.2061
134,     22.83,    0.2059
135,        23,    0.2085
136,     23.17,    0.2079
137,     23.33,    0.2116
138,      23.5,    0.2105
139,     23.67,    0.2096
140,     23.83,    0.2092
141,        24,    0.2092
142,     24.17,    0.2112
143,     24.33,    0.2129
144,      24.5,    0.2115
145,     24.67,    0.2125
146,     24.83,    0.2144
147,        25,     0.214
148,     25.17,    0.2118
149,     25.33,    0.2161
150,      25.5,    0.2174
151,     25.67,    0.2145
152,     25.83,    0.2172
153,        26,    0.2169
154,     26.17,     0.218
155,     26.33,    0.2192
156,      26.5,    0.2169
157,     26.67,    0.2172
