,time,abs
0,       0.5,  0.001813
1,    0.6667,   0.00197
2,    0.8333,  0.002289
3,         1,  0.003935
4,     1.167,  0.004206
5,     1.333,  0.005902
6,       1.5,  0.005822
7,     1.667,  0.006791
8,     1.833,  0.008438
9,         2,   0.00672
10,     2.167,  0.008377
11,     2.333,  0.007692
12,       2.5,  0.008776
13,     2.667,  0.009348
14,     2.833,   0.01225
15,         3,   0.01406
16,     3.167,   0.01266
17,     3.333,   0.01152
18,       3.5,   0.01356
19,     3.667,   0.01412
20,     3.833,   0.01575
21,         4,   0.01314
22,     4.167,   0.01523
23,     4.333,    0.0144
24,       4.5,   0.01482
25,     4.667,   0.01681
26,     4.833,   0.01641
27,         5,   0.01773
28,     5.167,   0.01693
29,     5.333,   0.01901
30,       5.5,   0.01665
31,     5.667,   0.01708
32,     5.833,   0.01939
33,         6,   0.02211
34,     6.167,   0.02218
35,     6.333,   0.02088
36,       6.5,   0.02288
37,     6.667,   0.02064
38,     6.833,   0.02159
39,         7,   0.02347
40,     7.167,   0.02434
41,     7.333,   0.02684
42,       7.5,   0.02419
43,     7.667,   0.02426
44,     7.833,   0.02584
45,         8,   0.02587
46,     8.167,   0.02719
47,     8.333,   0.02674
48,       8.5,   0.03051
49,     8.667,   0.02966
50,     8.833,    0.0297
51,         9,   0.02868
52,     9.167,   0.03013
53,     9.333,   0.03116
54,       9.5,   0.03229
55,     9.667,   0.03189
56,     9.833,   0.03155
57,        10,   0.03178
58,     10.17,    0.0319
59,     10.33,   0.03307
60,      10.5,   0.03336
61,     10.67,   0.03252
62,     10.83,   0.03361
63,        11,   0.03248
64,     11.17,   0.03268
65,     11.33,   0.03465
66,      11.5,   0.03643
67,     11.67,   0.03541
68,     11.83,   0.03755
69,        12,   0.03496
70,     12.17,   0.03597
71,     12.33,   0.03645
72,      12.5,   0.03771
73,     12.67,   0.03633
74,     12.83,    0.0381
75,        13,   0.03885
76,     13.17,   0.03948
77,     13.33,    0.0393
78,      13.5,   0.03957
79,     13.67,    0.0396
80,     13.83,   0.04019
81,        14,   0.03947
82,     14.17,   0.04157
83,     14.33,   0.04117
84,      14.5,   0.04134
85,     14.67,   0.04143
86,     14.83,   0.04347
87,        15,   0.04278
88,     15.17,   0.04371
89,     15.33,   0.04503
90,      15.5,     0.044
91,     15.67,   0.04605
92,     15.83,   0.04524
93,        16,   0.04529
94,     16.17,   0.04381
95,     16.33,   0.04445
96,      16.5,   0.04393
97,     16.67,   0.04611
98,     16.83,   0.04773
99,        17,   0.04648
100,     17.17,   0.04478
101,     17.33,   0.04893
102,      17.5,   0.04644
103,     17.67,   0.04933
104,     17.83,   0.04909
105,        18,   0.04866
106,     18.17,   0.05034
107,     18.33,   0.04865
108,      18.5,   0.04858
109,     18.67,   0.04873
110,     18.83,   0.04985
111,        19,   0.05023
112,     19.17,   0.04936
113,     19.33,   0.05133
114,      19.5,   0.04819
115,     19.67,   0.05209
116,     19.83,   0.05064
117,        20,    0.0521
118,     20.17,   0.05091
119,     20.33,   0.05049
120,      20.5,   0.05165
121,     20.67,   0.05236
122,     20.83,   0.05358
123,        21,   0.05211
124,     21.17,   0.05256
125,     21.33,   0.05424
126,      21.5,   0.05213
127,     21.67,   0.05415
128,     21.83,   0.05509
129,        22,   0.05465
130,     22.17,   0.05454
131,     22.33,   0.05633
132,      22.5,   0.05599
133,     22.67,   0.05468
134,     22.83,   0.05588
135,        23,   0.05638
136,     23.17,   0.05559
137,     23.33,   0.05729
138,      23.5,   0.05609
139,     23.67,   0.05669
140,     23.83,   0.05882
141,        24,   0.05591
142,     24.17,     0.057
143,     24.33,   0.05858
144,      24.5,   0.05932
145,     24.67,   0.05673
146,     24.83,   0.05752
147,        25,   0.05654
148,     25.17,   0.05763
149,     25.33,   0.05976
150,      25.5,   0.05948
151,     25.67,   0.05869
152,     25.83,   0.06044
153,        26,   0.05986
154,     26.17,   0.05877
155,     26.33,   0.06062
156,      26.5,   0.06033
157,     26.67,    0.0586
158,     26.83,   0.05867
159,        27,   0.06209
160,     27.17,   0.06257
161,     27.33,   0.06024
162,      27.5,   0.06292
163,     27.67,   0.06102
164,     27.83,   0.06036
165,        28,   0.06043
166,     28.17,   0.06312
167,     28.33,   0.06089
168,      28.5,    0.0619
169,     28.67,   0.06283
170,     28.83,   0.06298
171,        29,   0.06307
172,     29.17,   0.06279
173,     29.33,   0.06434
174,      29.5,   0.06154
175,     29.67,   0.06501
176,     29.83,   0.06249
177,        30,   0.06238
178,     30.17,   0.06501
179,     30.33,    0.0627
180,      30.5,    0.0646
181,     30.67,    0.0653
182,     30.83,   0.06446
183,        31,   0.06307
184,     31.17,   0.06583
185,     31.33,   0.06489
186,      31.5,   0.06407
187,     31.67,   0.06422
188,     31.83,   0.06601
189,        32,   0.06447
190,     32.17,   0.06607
191,     32.33,   0.06572
192,      32.5,   0.06501
193,     32.67,   0.06608
194,     32.83,    0.0663
195,        33,    0.0643
196,     33.17,    0.0679
197,     33.33,   0.06702
198,      33.5,   0.06642
199,     33.67,     0.065
200,     33.83,   0.06677
201,        34,    0.0665
202,     34.17,   0.06778
203,     34.33,   0.06784
204,      34.5,   0.06529
205,     34.67,   0.06848
206,     34.83,   0.06699
207,        35,   0.06666
208,     35.17,     0.068
209,     35.33,    0.0685
210,      35.5,   0.06628
211,     35.67,   0.06908
212,     35.83,   0.06669
213,        36,    0.0673
214,     36.17,   0.06836
215,     36.33,   0.06834
216,      36.5,   0.06711
217,     36.67,   0.06673
218,     36.83,   0.06988
219,        37,   0.07112
220,     37.17,   0.06992
221,     37.33,    0.0708
222,      37.5,   0.07007
223,     37.67,   0.06969
224,     37.83,   0.06963
225,        38,   0.07009
226,     38.17,   0.07009
227,     38.33,   0.06977
228,      38.5,   0.06904
229,     38.67,   0.07046
230,     38.83,   0.07035
231,        39,   0.06954
232,     39.17,   0.06851
233,     39.33,   0.06871
234,      39.5,   0.07021
235,     39.67,   0.07057
236,     39.83,   0.07157
237,        40,   0.07267
238,     40.17,   0.06862
239,     40.33,    0.0693
240,      40.5,   0.07291
241,     40.67,   0.06951
242,     40.83,   0.07131
243,        41,      0.07
