,time,abs
0,       0.5, 0.0002829
1,    0.6667,  0.002892
2,    0.8333,-0.0005633
3,         1,-0.0003597
4,     1.167, 0.0004261
5,     1.333,-0.0003068
6,       1.5,  0.001697
7,     1.667,-0.0003343
8,     1.833, 0.0003618
9,         2,  0.000477
10,     2.167,-0.0006771
11,     2.333,  0.003648
12,       2.5,  0.001964
13,     2.667,  0.002275
14,     2.833,  0.001247
15,         3,  0.002379
16,     3.167, 0.0002038
17,     3.333,  0.001698
18,       3.5,  0.001367
19,     3.667,  0.000676
20,     3.833,  0.002332
21,         4,  0.001789
22,     4.167,  0.003561
23,     4.333,  0.001185
24,       4.5,  0.001783
25,     4.667, 0.0004232
26,     4.833,  0.002328
27,         5,  0.003126
28,     5.167,  0.002342
29,     5.333,  0.001577
30,       5.5,  0.003172
31,     5.667,  0.001722
32,     5.833,  0.002402
33,         6,  0.003175
34,     6.167,  0.003449
35,     6.333,  0.001642
36,       6.5,  0.002813
37,     6.667,  0.001652
38,     6.833,  0.003708
39,         7,  0.002606
40,     7.167,  0.003431
41,     7.333,  0.002712
42,       7.5,  0.002248
43,     7.667,  0.003429
44,     7.833,  0.004057
45,         8,   0.00242
46,     8.167,  0.003473
47,     8.333,  0.003415
48,       8.5,  0.005719
49,     8.667,  0.002185
50,     8.833,   0.00316
51,         9,  0.004962
52,     9.167,  0.005251
53,     9.333,  0.005253
54,       9.5,   0.00424
55,     9.667,   0.00592
56,     9.833,  0.003991
57,        10,   0.00342
58,     10.17,  0.004726
59,     10.33,  0.005207
60,      10.5,  0.005239
61,     10.67,    0.0042
62,     10.83,  0.006183
63,        11,  0.005625
64,     11.17,  0.005181
65,     11.33,  0.004996
66,      11.5,  0.004944
67,     11.67,  0.006338
68,     11.83,   0.00406
69,        12,   0.00487
70,     12.17,  0.007336
71,     12.33,  0.004571
72,      12.5,  0.006662
73,     12.67,  0.005242
74,     12.83,  0.007294
75,        13,  0.008083
76,     13.17,  0.007025
77,     13.33,  0.007144
78,      13.5,  0.005172
79,     13.67,   0.00438
80,     13.83,  0.005803
81,        14,  0.006754
82,     14.17,  0.006637
83,     14.33,  0.005852
84,      14.5,  0.007057
85,     14.67,  0.006392
86,     14.83,   0.00639
87,        15,  0.009339
88,     15.17,  0.007779
89,     15.33,  0.008344
90,      15.5,   0.00532
91,     15.67,  0.007417
92,     15.83,  0.006663
93,        16,  0.007579
94,     16.17,  0.007667
95,     16.33,   0.00827
96,      16.5,  0.007757
97,     16.67,  0.008448
98,     16.83,  0.008305
