### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc", "kcat",  "KM"
"1",      "None",           0,        "A",   0.005,    1,      1 
"2",      "BL_GS0",         0.5,      "B",   0.01,     35,      0.5
"3",      "BL_A3M",         0.5,      "C",   0.02,     218,      0.08
"4",      "BL_9VI",         0.5,      "D",   0.03,     114,      0.14
"5",      "BL_XY2",         0.5,      "E",   0.06,     24,      0.26
"6",      "BL_MTK",         0.5,      "F",   0.10,     158,      0.74
"7",      "BL_6JO",         0.5,      "G",   0.20,     70,      0.04
"8",      "BL_J2I",         0.5,      "H",   0.50,     210,      0.39
"9",      "BL_NUN",         0.5,         ,       ,     41,      0.38
"10",     "BL_21E",         0.5,         ,       ,     32,      0.06
"11",     "BL_HRR",         0.5,         ,       ,     164,      0.44
"12",     "BL_2ZK",         0.5,         ,       ,     184,      0.74
