,time,abs
0,       0.5,  0.005045
1,    0.6667,  0.008887
2,    0.8333,  0.009881
3,         1,   0.01189
4,     1.167,   0.01337
5,     1.333,   0.01441
6,       1.5,   0.01557
7,     1.667,   0.01731
8,     1.833,   0.01963
9,         2,   0.01972
10,     2.167,   0.02225
11,     2.333,   0.02445
12,       2.5,   0.02554
13,     2.667,   0.02901
14,     2.833,   0.02956
15,         3,   0.03278
16,     3.167,   0.03289
17,     3.333,   0.03551
18,       3.5,   0.03668
19,     3.667,   0.04035
20,     3.833,   0.04113
21,         4,   0.04234
22,     4.167,   0.04456
23,     4.333,   0.04679
24,       4.5,   0.04814
25,     4.667,   0.05063
26,     4.833,   0.05268
27,         5,   0.05472
28,     5.167,   0.05472
29,     5.333,   0.05585
30,       5.5,   0.05951
31,     5.667,   0.06029
32,     5.833,   0.06061
33,         6,   0.06342
34,     6.167,   0.06515
35,     6.333,   0.06714
36,       6.5,   0.06893
37,     6.667,   0.07118
38,     6.833,    0.0716
39,         7,    0.0739
40,     7.167,   0.07597
41,     7.333,   0.07806
42,       7.5,   0.08093
43,     7.667,   0.08115
44,     7.833,   0.08061
45,         8,   0.08499
46,     8.167,    0.0857
47,     8.333,   0.08653
48,       8.5,   0.09178
49,     8.667,   0.09111
50,     8.833,   0.09407
51,         9,   0.09475
52,     9.167,   0.09639
53,     9.333,   0.09737
54,       9.5,    0.1004
55,     9.667,    0.1018
56,     9.833,    0.1028
57,        10,    0.1057
58,     10.17,    0.1081
59,     10.33,    0.1097
60,      10.5,    0.1109
61,     10.67,    0.1139
62,     10.83,    0.1138
63,        11,    0.1184
64,     11.17,    0.1167
65,     11.33,    0.1181
66,      11.5,    0.1205
67,     11.67,    0.1215
68,     11.83,    0.1246
69,        12,    0.1249
70,     12.17,    0.1267
71,     12.33,    0.1281
72,      12.5,    0.1333
73,     12.67,    0.1324
74,     12.83,    0.1351
75,        13,     0.137
76,     13.17,    0.1392
77,     13.33,    0.1405
78,      13.5,    0.1429
79,     13.67,    0.1457
80,     13.83,    0.1454
81,        14,      0.15
82,     14.17,    0.1489
83,     14.33,    0.1502
84,      14.5,    0.1518
85,     14.67,    0.1553
86,     14.83,     0.153
87,        15,    0.1586
88,     15.17,    0.1585
89,     15.33,    0.1611
90,      15.5,    0.1615
91,     15.67,    0.1634
92,     15.83,     0.165
93,        16,    0.1683
94,     16.17,    0.1703
95,     16.33,    0.1727
96,      16.5,    0.1738
97,     16.67,    0.1751
98,     16.83,    0.1735
99,        17,    0.1786
100,     17.17,    0.1806
101,     17.33,    0.1824
102,      17.5,    0.1839
103,     17.67,    0.1858
104,     17.83,    0.1862
105,        18,    0.1877
106,     18.17,    0.1909
107,     18.33,    0.1917
108,      18.5,     0.194
109,     18.67,     0.198
110,     18.83,    0.1997
111,        19,    0.1996
112,     19.17,    0.2022
113,     19.33,    0.2028
114,      19.5,    0.2058
115,     19.67,    0.2079
116,     19.83,    0.2066
117,        20,    0.2115
118,     20.17,     0.212
119,     20.33,    0.2146
120,      20.5,    0.2145
121,     20.67,    0.2172
122,     20.83,     0.218
123,        21,    0.2195
124,     21.17,    0.2234
125,     21.33,    0.2228
126,      21.5,    0.2252
127,     21.67,    0.2245
128,     21.83,    0.2283
129,        22,    0.2323
130,     22.17,    0.2311
131,     22.33,     0.233
132,      22.5,    0.2361
133,     22.67,    0.2371
134,     22.83,    0.2395
135,        23,    0.2401
136,     23.17,    0.2414
137,     23.33,    0.2455
138,      23.5,    0.2427
139,     23.67,    0.2485
140,     23.83,    0.2487
141,        24,    0.2501
142,     24.17,    0.2518
143,     24.33,    0.2546
144,      24.5,    0.2559
145,     24.67,    0.2585
146,     24.83,     0.259
147,        25,    0.2624
148,     25.17,    0.2636
149,     25.33,    0.2628
150,      25.5,     0.268
151,     25.67,    0.2679
152,     25.83,    0.2696
153,        26,     0.271
154,     26.17,     0.274
155,     26.33,    0.2754
156,      26.5,    0.2766
157,     26.67,    0.2774
158,     26.83,    0.2817
159,        27,    0.2848
160,     27.17,    0.2843
161,     27.33,    0.2845
162,      27.5,    0.2877
163,     27.67,    0.2893
164,     27.83,    0.2916
165,        28,     0.292
166,     28.17,    0.2952
167,     28.33,    0.2957
168,      28.5,    0.2978
169,     28.67,    0.3002
170,     28.83,    0.2992
171,        29,    0.3022
172,     29.17,    0.3034
173,     29.33,    0.3065
174,      29.5,    0.3074
175,     29.67,    0.3104
176,     29.83,    0.3085
177,        30,    0.3132
178,     30.17,    0.3155
179,     30.33,    0.3188
180,      30.5,     0.318
181,     30.67,    0.3177
182,     30.83,    0.3187
183,        31,    0.3268
184,     31.17,    0.3252
185,     31.33,    0.3253
186,      31.5,    0.3275
187,     31.67,     0.331
188,     31.83,     0.332
189,        32,     0.334
190,     32.17,    0.3331
191,     32.33,    0.3355
192,      32.5,    0.3355
193,     32.67,    0.3383
194,     32.83,    0.3403
195,        33,    0.3432
196,     33.17,    0.3453
197,     33.33,    0.3475
198,      33.5,    0.3469
199,     33.67,    0.3511
200,     33.83,    0.3524
201,        34,    0.3523
202,     34.17,    0.3564
203,     34.33,    0.3563
204,      34.5,    0.3578
205,     34.67,    0.3594
206,     34.83,    0.3628
207,        35,    0.3628
208,     35.17,    0.3658
209,     35.33,    0.3662
210,      35.5,    0.3696
211,     35.67,    0.3703
212,     35.83,    0.3716
213,        36,    0.3721
214,     36.17,    0.3748
215,     36.33,    0.3743
216,      36.5,    0.3781
217,     36.67,    0.3789
218,     36.83,    0.3852
219,        37,    0.3836
220,     37.17,    0.3848
221,     37.33,    0.3884
222,      37.5,    0.3881
223,     37.67,    0.3899
224,     37.83,    0.3911
225,        38,    0.3952
226,     38.17,    0.3947
227,     38.33,    0.3965
228,      38.5,    0.3976
229,     38.67,     0.401
230,     38.83,    0.4011
231,        39,    0.4028
232,     39.17,    0.4057
233,     39.33,    0.4075
234,      39.5,    0.4111
235,     39.67,    0.4102
236,     39.83,    0.4098
237,        40,    0.4135
238,     40.17,    0.4158
239,     40.33,    0.4166
240,      40.5,    0.4181
241,     40.67,    0.4199
242,     40.83,    0.4217
243,        41,    0.4255
244,     41.17,    0.4269
245,     41.33,    0.4294
246,      41.5,    0.4323
247,     41.67,    0.4307
248,     41.83,     0.432
249,        42,    0.4339
250,     42.17,     0.435
251,     42.33,    0.4379
252,      42.5,    0.4381
253,     42.67,    0.4405
254,     42.83,    0.4407
255,        43,    0.4431
256,     43.17,    0.4487
257,     43.33,    0.4484
258,      43.5,    0.4486
259,     43.67,    0.4485
260,     43.83,    0.4508
261,        44,    0.4533
262,     44.17,    0.4558
263,     44.33,    0.4584
264,      44.5,    0.4583
265,     44.67,    0.4617
266,     44.83,    0.4622
267,        45,    0.4622
268,     45.17,    0.4652
269,     45.33,    0.4666
270,      45.5,    0.4671
271,     45.67,    0.4697
272,     45.83,     0.473
273,        46,     0.475
274,     46.17,    0.4734
275,     46.33,     0.477
276,      46.5,    0.4787
