,time,abs
0,       0.5, 0.0005563
1,    0.6667, -0.000722
2,    0.8333,   0.00106
3,         1, 0.0006531
4,     1.167,  0.001467
5,     1.333,-0.0003416
6,       1.5,  0.002534
7,     1.667,  0.001552
8,     1.833, 0.0002333
9,         2,-0.0004744
10,     2.167, 0.0001571
11,     2.333,   0.00182
12,       2.5,  0.002002
13,     2.667, 0.0008211
14,     2.833,  0.002183
15,         3, 0.0002237
16,     3.167,  0.002402
17,     3.333,   0.00102
18,       3.5,  0.001645
19,     3.667,  0.003022
20,     3.833,  0.002463
21,         4,  0.001687
22,     4.167,  0.003388
23,     4.333,  0.002683
24,       4.5,  0.001787
25,     4.667,  0.002747
26,     4.833,  0.002451
27,         5,  0.002291
28,     5.167, 0.0008255
29,     5.333,  0.002202
30,       5.5,  0.003301
31,     5.667,  0.004335
32,     5.833,  0.001188
33,         6,  0.003879
34,     6.167,  0.002421
35,     6.333,  0.002604
36,       6.5, 0.0008168
37,     6.667,  0.002123
38,     6.833,  0.002108
39,         7,  0.001581
40,     7.167,  0.002092
41,     7.333,  0.004431
42,       7.5,  0.004161
43,     7.667,  0.003937
44,     7.833,  0.002119
45,         8,  0.003192
46,     8.167,  0.001465
47,     8.333,  0.004859
48,       8.5,  0.005192
49,     8.667,   0.00471
50,     8.833,  0.004771
51,         9,   0.00329
52,     9.167,  0.004067
53,     9.333,  0.005747
54,       9.5,  0.004211
55,     9.667,  0.003875
56,     9.833,  0.004934
57,        10,  0.004946
58,     10.17,  0.004968
59,     10.33,   0.00629
60,      10.5,  0.004966
61,     10.67,  0.005383
62,     10.83,  0.004393
63,        11,  0.005943
64,     11.17,  0.005358
65,     11.33,  0.006303
66,      11.5,  0.005775
67,     11.67,  0.003734
68,     11.83,  0.005944
69,        12,  0.004546
70,     12.17,  0.003707
71,     12.33,   0.00479
72,      12.5,  0.004599
73,     12.67,   0.00657
74,     12.83,  0.007378
75,        13,  0.007457
76,     13.17,  0.007601
77,     13.33,   0.00671
78,      13.5,   0.00752
79,     13.67,  0.005009
80,     13.83,  0.008526
81,        14,  0.006462
82,     14.17,  0.004727
83,     14.33,  0.005473
84,      14.5,  0.007223
85,     14.67,  0.006143
86,     14.83,   0.00536
87,        15,  0.007575
88,     15.17,  0.007263
89,     15.33,  0.007129
90,      15.5,  0.007714
91,     15.67,  0.005222
92,     15.83,  0.007815
93,        16,  0.005886
94,     16.17,  0.005728
95,     16.33,  0.008035
96,      16.5,  0.007063
97,     16.67,  0.007409
98,     16.83,  0.009271
99,        17,  0.008337
100,     17.17,  0.008452
101,     17.33,  0.008314
102,      17.5,  0.008208
103,     17.67,  0.007689
104,     17.83,    0.0082
105,        18,   0.01029
106,     18.17,  0.008554
107,     18.33,   0.01104
108,      18.5,  0.009153
109,     18.67,  0.009741
110,     18.83,  0.007272
111,        19,  0.007797
112,     19.17,  0.007428
113,     19.33,  0.009535
114,      19.5,    0.0092
115,     19.67,  0.008628
116,     19.83,   0.01026
117,        20,  0.008173
118,     20.17,  0.009273
119,     20.33,  0.009893
120,      20.5,   0.01026
121,     20.67,  0.008615
122,     20.83,  0.009546
123,        21,  0.009126
124,     21.17,  0.009889
125,     21.33,  0.009679
126,      21.5,   0.01001
127,     21.67,  0.008258
128,     21.83,  0.009618
129,        22,  0.008648
130,     22.17,   0.01144
131,     22.33,   0.01046
132,      22.5,   0.00861
133,     22.67,  0.008176
134,     22.83,   0.01023
135,        23,   0.01222
136,     23.17,   0.01023
137,     23.33,   0.01076
138,      23.5,   0.01088
139,     23.67,    0.0107
140,     23.83,   0.01211
141,        24,   0.01296
142,     24.17,   0.01033
143,     24.33,   0.01006
144,      24.5,   0.01077
145,     24.67,   0.01086
146,     24.83,   0.01187
147,        25,   0.01016
148,     25.17,   0.01093
149,     25.33,  0.009638
150,      25.5,  0.009401
151,     25.67,   0.01338
152,     25.83,     0.011
153,        26,  0.009511
154,     26.17,     0.012
155,     26.33,   0.01308
156,      26.5,   0.01254
157,     26.67,   0.01078
158,     26.83,   0.01152
159,        27,   0.01022
160,     27.17,   0.01203
161,     27.33,   0.01273
162,      27.5,   0.01176
163,     27.67,   0.01357
164,     27.83,   0.01071
165,        28,   0.01259
166,     28.17,   0.01174
167,     28.33,   0.01363
168,      28.5,   0.01206
169,     28.67,   0.01009
170,     28.83,   0.01223
171,        29,   0.01214
172,     29.17,   0.01538
173,     29.33,   0.01214
174,      29.5,   0.01339
175,     29.67,   0.01405
176,     29.83,   0.01241
177,        30,   0.01507
178,     30.17,   0.01432
179,     30.33,   0.01378
180,      30.5,   0.01354
181,     30.67,    0.0135
182,     30.83,   0.01315
183,        31,    0.0147
184,     31.17,   0.01503
185,     31.33,   0.01305
186,      31.5,   0.01558
187,     31.67,   0.01288
188,     31.83,   0.01271
189,        32,    0.0141
190,     32.17,   0.01548
191,     32.33,   0.01209
192,      32.5,   0.01302
193,     32.67,   0.01293
194,     32.83,   0.01564
195,        33,    0.0136
196,     33.17,   0.01466
197,     33.33,   0.01455
198,      33.5,   0.01344
199,     33.67,   0.01418
200,     33.83,   0.01432
201,        34,   0.01624
202,     34.17,   0.01345
203,     34.33,   0.01556
204,      34.5,    0.0175
205,     34.67,   0.01523
206,     34.83,   0.01479
207,        35,   0.01659
208,     35.17,   0.01515
209,     35.33,   0.01678
210,      35.5,   0.01689
211,     35.67,   0.01573
212,     35.83,   0.01477
213,        36,   0.01551
214,     36.17,   0.01621
215,     36.33,   0.01561
216,      36.5,   0.01572
217,     36.67,   0.01802
218,     36.83,    0.0163
219,        37,   0.01773
220,     37.17,   0.01634
221,     37.33,   0.01763
222,      37.5,   0.01783
223,     37.67,   0.01716
224,     37.83,   0.01697
225,        38,   0.01465
226,     38.17,   0.01817
227,     38.33,   0.01476
228,      38.5,   0.01778
229,     38.67,   0.01646
230,     38.83,   0.01684
231,        39,   0.01775
232,     39.17,   0.01773
233,     39.33,   0.01718
234,      39.5,   0.01809
235,     39.67,   0.01703
236,     39.83,   0.01919
237,        40,   0.01557
238,     40.17,   0.01646
239,     40.33,   0.01921
240,      40.5,   0.01858
241,     40.67,   0.01844
242,     40.83,   0.01697
243,        41,   0.01639
244,     41.17,   0.01636
245,     41.33,   0.01767
246,      41.5,    0.0202
247,     41.67,   0.01967
248,     41.83,   0.01937
249,        42,   0.01748
250,     42.17,    0.0188
251,     42.33,   0.01805
252,      42.5,    0.0205
253,     42.67,   0.01851
254,     42.83,   0.01927
255,        43,      0.02
256,     43.17,   0.01827
257,     43.33,   0.01915
258,      43.5,    0.0204
259,     43.67,   0.01986
260,     43.83,   0.01841
261,        44,   0.01867
262,     44.17,    0.0199
263,     44.33,   0.02015
264,      44.5,   0.01898
265,     44.67,   0.01993
266,     44.83,   0.01819
267,        45,   0.02051
268,     45.17,   0.01971
269,     45.33,   0.01885
270,      45.5,     0.021
271,     45.67,   0.02086
272,     45.83,   0.01871
273,        46,   0.02038
274,     46.17,   0.02063
275,     46.33,   0.01884
276,      46.5,     0.021
277,     46.67,   0.02071
278,     46.83,   0.01907
279,        47,   0.02027
280,     47.17,   0.02088
281,     47.33,   0.02079
282,      47.5,   0.02089
283,     47.67,   0.01928
284,     47.83,   0.02214
285,        48,   0.01965
286,     48.17,   0.01975
287,     48.33,   0.02252
288,      48.5,   0.02003
289,     48.67,     0.022
290,     48.83,   0.02194
291,        49,   0.02185
292,     49.17,   0.02386
293,     49.33,   0.02195
294,      49.5,   0.02289
295,     49.67,   0.02428
296,     49.83,   0.02112
297,        50,   0.02126
298,     50.17,   0.02292
299,     50.33,   0.02257
300,      50.5,   0.02291
301,     50.67,   0.02384
302,     50.83,    0.0223
303,        51,   0.02178
304,     51.17,   0.02232
305,     51.33,   0.02297
306,      51.5,   0.02092
307,     51.67,   0.02472
308,     51.83,   0.02222
309,        52,   0.02433
310,     52.17,   0.02491
311,     52.33,   0.02367
312,      52.5,   0.02392
313,     52.67,   0.02224
314,     52.83,   0.02358
315,        53,   0.02139
316,     53.17,   0.02513
317,     53.33,   0.02396
318,      53.5,   0.02295
319,     53.67,   0.02585
320,     53.83,   0.02686
321,        54,   0.02394
322,     54.17,   0.02221
323,     54.33,   0.02462
324,      54.5,   0.02411
325,     54.67,   0.02543
326,     54.83,   0.02295
327,        55,   0.02529
328,     55.17,   0.02308
329,     55.33,    0.0249
330,      55.5,   0.02428
331,     55.67,   0.02349
332,     55.83,   0.02753
333,        56,    0.0239
334,     56.17,   0.02505
335,     56.33,   0.02588
336,      56.5,   0.02467
337,     56.67,   0.02455
338,     56.83,   0.02437
339,        57,     0.024
340,     57.17,   0.02555
341,     57.33,   0.02549
342,      57.5,   0.02606
343,     57.67,   0.02423
344,     57.83,   0.02544
345,        58,   0.02446
346,     58.17,   0.02335
347,     58.33,   0.02724
348,      58.5,   0.02766
349,     58.67,   0.02683
350,     58.83,   0.02738
351,        59,   0.02605
352,     59.17,   0.02456
353,     59.33,   0.02719
354,      59.5,   0.02556
355,     59.67,   0.02674
356,     59.83,    0.0258
357,        60,   0.02792
