,time,abs
0,       0.5,    0.0145
1,    0.6667,   0.02059
2,    0.8333,    0.0258
3,         1,    0.0328
4,     1.167,   0.03602
5,     1.333,   0.04052
6,       1.5,   0.04537
7,     1.667,   0.05076
8,     1.833,   0.05684
9,         2,   0.06057
10,     2.167,   0.06619
11,     2.333,    0.0706
12,       2.5,   0.07734
13,     2.667,   0.08037
14,     2.833,   0.08829
15,         3,   0.09035
16,     3.167,   0.09553
17,     3.333,    0.1014
18,       3.5,    0.1053
19,     3.667,    0.1108
20,     3.833,    0.1167
21,         4,    0.1194
22,     4.167,    0.1265
23,     4.333,     0.132
24,       4.5,    0.1344
25,     4.667,     0.141
26,     4.833,    0.1457
27,         5,    0.1493
28,     5.167,    0.1542
29,     5.333,    0.1612
30,       5.5,    0.1666
31,     5.667,    0.1688
32,     5.833,    0.1741
33,         6,    0.1793
34,     6.167,    0.1835
35,     6.333,    0.1863
36,       6.5,    0.1927
37,     6.667,    0.1975
38,     6.833,    0.2028
39,         7,     0.205
40,     7.167,    0.2123
41,     7.333,    0.2167
42,       7.5,    0.2188
43,     7.667,    0.2235
44,     7.833,    0.2315
45,         8,    0.2338
46,     8.167,    0.2407
47,     8.333,    0.2442
48,       8.5,    0.2475
49,     8.667,    0.2526
50,     8.833,     0.256
51,         9,    0.2606
52,     9.167,    0.2619
53,     9.333,    0.2715
54,       9.5,    0.2744
55,     9.667,    0.2784
56,     9.833,    0.2833
57,        10,    0.2886
58,     10.17,    0.2929
59,     10.33,    0.2989
60,      10.5,    0.3008
61,     10.67,    0.3074
62,     10.83,    0.3105
63,        11,    0.3123
64,     11.17,    0.3185
65,     11.33,    0.3208
66,      11.5,    0.3257
67,     11.67,    0.3297
68,     11.83,    0.3358
69,        12,    0.3396
70,     12.17,    0.3426
71,     12.33,    0.3459
72,      12.5,    0.3505
73,     12.67,    0.3559
74,     12.83,    0.3568
75,        13,    0.3639
76,     13.17,    0.3678
77,     13.33,    0.3714
78,      13.5,     0.376
79,     13.67,    0.3785
80,     13.83,    0.3833
81,        14,     0.388
82,     14.17,    0.3935
83,     14.33,    0.3931
84,      14.5,    0.3972
85,     14.67,    0.4032
86,     14.83,    0.4064
87,        15,    0.4098
88,     15.17,    0.4136
89,     15.33,    0.4191
90,      15.5,    0.4226
91,     15.67,    0.4258
92,     15.83,    0.4299
93,        16,    0.4308
94,     16.17,    0.4371
95,     16.33,     0.435
96,      16.5,    0.4436
97,     16.67,    0.4459
98,     16.83,    0.4509
99,        17,    0.4535
100,     17.17,    0.4589
101,     17.33,    0.4627
102,      17.5,    0.4666
103,     17.67,    0.4704
104,     17.83,    0.4739
105,        18,     0.476
106,     18.17,    0.4817
107,     18.33,    0.4797
108,      18.5,    0.4862
109,     18.67,    0.4896
110,     18.83,    0.4945
111,        19,    0.4969
112,     19.17,    0.4998
113,     19.33,    0.5027
114,      19.5,    0.5059
115,     19.67,    0.5106
116,     19.83,    0.5138
117,        20,    0.5145
118,     20.17,    0.5186
119,     20.33,     0.521
120,      20.5,    0.5238
121,     20.67,    0.5293
122,     20.83,    0.5314
123,        21,    0.5347
124,     21.17,    0.5372
125,     21.33,    0.5406
126,      21.5,    0.5421
127,     21.67,    0.5471
128,     21.83,    0.5501
129,        22,    0.5532
130,     22.17,     0.558
131,     22.33,    0.5606
132,      22.5,    0.5602
133,     22.67,    0.5644
134,     22.83,    0.5681
135,        23,    0.5697
136,     23.17,    0.5756
137,     23.33,    0.5732
138,      23.5,     0.577
139,     23.67,    0.5832
140,     23.83,     0.582
141,        24,    0.5855
142,     24.17,    0.5896
143,     24.33,    0.5897
144,      24.5,    0.5933
145,     24.67,    0.5972
146,     24.83,    0.5992
147,        25,    0.6039
148,     25.17,    0.6036
149,     25.33,      0.61
150,      25.5,    0.6115
151,     25.67,    0.6097
152,     25.83,    0.6189
153,        26,    0.6152
154,     26.17,    0.6166
155,     26.33,    0.6227
156,      26.5,    0.6241
157,     26.67,    0.6236
158,     26.83,     0.626
159,        27,    0.6288
160,     27.17,    0.6319
161,     27.33,    0.6348
162,      27.5,    0.6363
163,     27.67,    0.6362
164,     27.83,    0.6427
165,        28,    0.6431
166,     28.17,    0.6464
167,     28.33,    0.6472
168,      28.5,    0.6493
169,     28.67,    0.6532
170,     28.83,    0.6528
171,        29,    0.6598
172,     29.17,    0.6634
173,     29.33,    0.6629
174,      29.5,    0.6623
175,     29.67,    0.6633
176,     29.83,    0.6643
177,        30,     0.666
178,     30.17,    0.6721
179,     30.33,    0.6725
180,      30.5,    0.6696
181,     30.67,    0.6728
182,     30.83,    0.6756
183,        31,    0.6784
184,     31.17,    0.6768
185,     31.33,    0.6817
186,      31.5,    0.6853
187,     31.67,    0.6868
188,     31.83,    0.6846
189,        32,    0.6884
190,     32.17,      0.69
191,     32.33,    0.6929
192,      32.5,    0.6924
193,     32.67,    0.6941
194,     32.83,    0.6984
195,        33,     0.699
196,     33.17,    0.7029
197,     33.33,    0.7009
198,      33.5,    0.7029
199,     33.67,    0.7057
200,     33.83,    0.7017
201,        34,    0.7089
202,     34.17,     0.708
203,     34.33,    0.7127
204,      34.5,    0.7053
205,     34.67,    0.7141
206,     34.83,    0.7085
207,        35,    0.7124
208,     35.17,    0.7149
209,     35.33,    0.7198
210,      35.5,    0.7176
211,     35.67,    0.7156
212,     35.83,    0.7223
213,        36,    0.7218
214,     36.17,    0.7238
215,     36.33,    0.7208
216,      36.5,     0.723
217,     36.67,     0.728
218,     36.83,    0.7246
219,        37,    0.7302
220,     37.17,    0.7305
221,     37.33,    0.7298
222,      37.5,    0.7322
223,     37.67,    0.7348
224,     37.83,    0.7365
225,        38,    0.7356
226,     38.17,    0.7385
227,     38.33,    0.7371
228,      38.5,    0.7352
229,     38.67,    0.7351
230,     38.83,    0.7376
231,        39,    0.7424
232,     39.17,    0.7406
233,     39.33,    0.7451
234,      39.5,    0.7452
235,     39.67,    0.7454
236,     39.83,    0.7473
237,        40,    0.7472
238,     40.17,     0.747
239,     40.33,    0.7471
240,      40.5,     0.754
241,     40.67,    0.7521
242,     40.83,    0.7539
243,        41,    0.7534
244,     41.17,     0.751
245,     41.33,    0.7536
246,      41.5,    0.7526
247,     41.67,    0.7563
248,     41.83,    0.7551
249,        42,    0.7544
250,     42.17,    0.7597
251,     42.33,    0.7562
252,      42.5,    0.7549
253,     42.67,    0.7573
254,     42.83,    0.7603
255,        43,     0.758
256,     43.17,    0.7576
257,     43.33,    0.7606
258,      43.5,     0.769
259,     43.67,    0.7665
260,     43.83,    0.7626
261,        44,    0.7666
262,     44.17,    0.7666
263,     44.33,    0.7659
264,      44.5,    0.7703
265,     44.67,    0.7651
266,     44.83,    0.7645
267,        45,    0.7694
268,     45.17,    0.7707
269,     45.33,    0.7721
270,      45.5,    0.7711
271,     45.67,    0.7736
272,     45.83,    0.7698
273,        46,    0.7746
274,     46.17,    0.7693
275,     46.33,    0.7759
276,      46.5,    0.7735
277,     46.67,    0.7758
278,     46.83,    0.7762
279,        47,    0.7741
280,     47.17,    0.7741
281,     47.33,    0.7754
282,      47.5,    0.7766
283,     47.67,    0.7763
284,     47.83,    0.7776
285,        48,    0.7771
286,     48.17,    0.7743
287,     48.33,     0.776
288,      48.5,    0.7839
289,     48.67,    0.7765
290,     48.83,    0.7746
291,        49,     0.778
292,     49.17,    0.7816
293,     49.33,    0.7822
294,      49.5,    0.7762
295,     49.67,     0.782
296,     49.83,    0.7847
297,        50,     0.781
298,     50.17,     0.781
299,     50.33,    0.7809
300,      50.5,    0.7825
301,     50.67,    0.7886
302,     50.83,    0.7824
303,        51,    0.7875
304,     51.17,    0.7846
305,     51.33,    0.7844
306,      51.5,    0.7839
307,     51.67,    0.7864
308,     51.83,    0.7888
309,        52,    0.7878
310,     52.17,     0.789
311,     52.33,    0.7858
312,      52.5,     0.791
313,     52.67,    0.7861
314,     52.83,    0.7905
315,        53,    0.7895
316,     53.17,    0.7921
317,     53.33,    0.7858
318,      53.5,    0.7907
319,     53.67,    0.7822
320,     53.83,    0.7872
321,        54,    0.7879
322,     54.17,    0.7893
323,     54.33,     0.794
324,      54.5,    0.7868
325,     54.67,    0.7921
326,     54.83,    0.7931
327,        55,    0.7884
328,     55.17,    0.7928
329,     55.33,    0.7965
330,      55.5,    0.7904
331,     55.67,    0.7893
332,     55.83,    0.7943
333,        56,    0.7958
334,     56.17,    0.7939
335,     56.33,    0.7994
336,      56.5,    0.7955
337,     56.67,     0.796
338,     56.83,    0.7914
339,        57,    0.7951
340,     57.17,    0.7997
341,     57.33,    0.7961
342,      57.5,    0.7913
343,     57.67,    0.7913
344,     57.83,    0.7988
345,        58,    0.7984
346,     58.17,     0.795
347,     58.33,    0.7978
348,      58.5,    0.7972
349,     58.67,    0.8003
350,     58.83,    0.8015
351,        59,    0.7975
352,     59.17,    0.7943
353,     59.33,    0.7989
354,      59.5,    0.7974
355,     59.67,    0.7975
356,     59.83,    0.7955
357,        60,    0.7966
