,time,abs
0,       0.5,   0.01092
1,    0.6667,   0.01495
2,    0.8333,   0.01988
3,         1,   0.02468
4,     1.167,   0.02818
5,     1.333,   0.03229
6,       1.5,   0.03612
7,     1.667,   0.04074
8,     1.833,   0.04505
9,         2,   0.04732
10,     2.167,   0.05399
11,     2.333,   0.05716
12,       2.5,   0.06277
13,     2.667,   0.06524
14,     2.833,   0.07117
15,         3,   0.07326
16,     3.167,   0.07803
17,     3.333,   0.08316
18,       3.5,   0.08697
19,     3.667,   0.08834
20,     3.833,   0.09296
21,         4,   0.09741
22,     4.167,    0.1032
23,     4.333,    0.1067
24,       4.5,    0.1094
25,     4.667,    0.1147
26,     4.833,    0.1184
27,         5,    0.1201
28,     5.167,    0.1275
29,     5.333,    0.1319
30,       5.5,    0.1332
31,     5.667,    0.1379
32,     5.833,     0.141
33,         6,    0.1464
34,     6.167,    0.1494
35,     6.333,    0.1557
36,       6.5,    0.1615
37,     6.667,    0.1626
38,     6.833,    0.1654
39,         7,    0.1702
40,     7.167,    0.1748
41,     7.333,    0.1791
42,       7.5,    0.1854
43,     7.667,    0.1879
44,     7.833,    0.1888
45,         8,    0.1985
46,     8.167,    0.2023
47,     8.333,    0.2035
48,       8.5,    0.2085
49,     8.667,    0.2103
50,     8.833,    0.2161
51,         9,    0.2198
52,     9.167,    0.2218
53,     9.333,    0.2283
54,       9.5,    0.2314
55,     9.667,     0.234
56,     9.833,    0.2387
57,        10,    0.2425
58,     10.17,    0.2477
59,     10.33,     0.251
60,      10.5,    0.2589
61,     10.67,    0.2621
62,     10.83,    0.2653
63,        11,    0.2673
64,     11.17,    0.2719
65,     11.33,    0.2769
66,      11.5,    0.2825
67,     11.67,    0.2855
68,     11.83,    0.2863
69,        12,    0.2916
70,     12.17,    0.2937
71,     12.33,    0.3003
72,      12.5,    0.3044
73,     12.67,    0.3101
74,     12.83,    0.3139
75,        13,     0.316
76,     13.17,    0.3234
77,     13.33,     0.324
78,      13.5,    0.3302
79,     13.67,    0.3336
80,     13.83,    0.3349
81,        14,    0.3416
82,     14.17,    0.3427
83,     14.33,    0.3488
84,      14.5,    0.3537
85,     14.67,    0.3559
86,     14.83,    0.3641
87,        15,    0.3675
88,     15.17,    0.3688
89,     15.33,    0.3742
90,      15.5,    0.3779
91,     15.67,    0.3812
92,     15.83,    0.3859
93,        16,    0.3916
94,     16.17,    0.3937
95,     16.33,    0.3977
96,      16.5,     0.404
97,     16.67,    0.4065
98,     16.83,    0.4075
99,        17,    0.4127
100,     17.17,    0.4161
101,     17.33,    0.4242
102,      17.5,    0.4268
103,     17.67,    0.4296
104,     17.83,    0.4375
105,        18,    0.4397
106,     18.17,    0.4423
107,     18.33,    0.4461
108,      18.5,    0.4483
109,     18.67,    0.4545
110,     18.83,      0.46
111,        19,    0.4613
112,     19.17,    0.4671
113,     19.33,    0.4686
114,      19.5,    0.4746
115,     19.67,    0.4771
116,     19.83,    0.4862
117,        20,    0.4873
118,     20.17,    0.4883
119,     20.33,    0.4962
120,      20.5,    0.5006
121,     20.67,    0.5003
122,     20.83,    0.5092
123,        21,    0.5108
124,     21.17,    0.5155
125,     21.33,    0.5185
126,      21.5,    0.5222
127,     21.67,    0.5259
128,     21.83,    0.5266
129,        22,    0.5344
130,     22.17,    0.5402
131,     22.33,    0.5439
132,      22.5,    0.5455
133,     22.67,    0.5519
134,     22.83,    0.5568
135,        23,     0.559
136,     23.17,    0.5623
137,     23.33,    0.5654
138,      23.5,    0.5723
139,     23.67,    0.5751
140,     23.83,    0.5809
141,        24,    0.5835
142,     24.17,    0.5877
143,     24.33,    0.5936
144,      24.5,    0.5942
145,     24.67,    0.6004
146,     24.83,    0.6046
147,        25,    0.6079
148,     25.17,    0.6112
149,     25.33,    0.6177
150,      25.5,    0.6185
151,     25.67,     0.623
152,     25.83,    0.6271
153,        26,    0.6303
154,     26.17,     0.635
155,     26.33,    0.6381
156,      26.5,    0.6411
157,     26.67,    0.6493
158,     26.83,    0.6495
159,        27,    0.6581
160,     27.17,    0.6611
161,     27.33,    0.6591
162,      27.5,    0.6681
163,     27.67,    0.6699
164,     27.83,    0.6767
165,        28,    0.6777
166,     28.17,    0.6808
167,     28.33,    0.6907
168,      28.5,    0.6945
169,     28.67,    0.6971
170,     28.83,     0.704
171,        29,    0.7041
172,     29.17,    0.7058
173,     29.33,    0.7111
174,      29.5,    0.7145
175,     29.67,     0.722
176,     29.83,    0.7286
177,        30,    0.7242
178,     30.17,      0.73
179,     30.33,    0.7374
180,      30.5,    0.7352
181,     30.67,    0.7436
182,     30.83,     0.747
183,        31,    0.7538
184,     31.17,    0.7566
185,     31.33,    0.7604
186,      31.5,    0.7656
187,     31.67,    0.7711
188,     31.83,    0.7757
189,        32,    0.7768
190,     32.17,    0.7793
191,     32.33,    0.7838
192,      32.5,    0.7882
193,     32.67,    0.7862
194,     32.83,    0.7913
195,        33,    0.8053
196,     33.17,    0.8007
197,     33.33,    0.8087
198,      33.5,     0.811
