### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc"
"1",      "None",           0,        "A",   0.005
"2",      "BL_IA3",         0.5,      "B",   0.01
"3",      "BL_M37",         0.5,      "C",   0.02
"4",      "BL_58D",         0.5,      "D",   0.03
"5",      "BL_LOG",         0.5,      "E",   0.06
"6",      "BL_T9W",         0.5,      "F",   0.10
"7",      "BL_JR6",         0.5,      "G",   0.20
"8",      "BL_0G3",         0.5,      "H",   0.50
"9",      "BL_IMR",         0.5,         ,       
"10",     "BL_BF2",         0.5,         ,       
"11",     "BL_Q4E",         0.5,         ,       
"12",     "BL_S8Q",         0.5,         ,       
